run,shot_id,bitstring,probability,sum_x,feasible
10,1,'100101011101110000100,0.000125,10,False
10,1,'011101101110000000110,0.000125,10,False
10,1,'101010010011101010011,0.000125,11,False
10,1,'110100000011001100010,0.000125,8,False
10,1,'101101010010110000001,0.000125,9,False
10,1,'100110000111101011111,0.000125,13,False
10,1,'000100000001100000010,0.000125,4,False
10,1,'110011011111010110101,0.000125,14,False
10,1,'011100110011111000110,0.000125,12,False
10,1,'000101011000101100100,0.000125,8,False
10,1,'011101110001010000111,0.000125,11,False
10,1,'100111011010100000101,0.000125,10,False
10,1,'101111101011010111100,0.000125,14,False
10,1,'010110001010111011110,0.000125,12,False
10,1,'111111010010010000010,0.000125,10,False
10,1,'110001011111000100111,0.000125,12,False
10,1,'100101001111011101011,0.000125,13,False
10,1,'111010111010111111111,0.000125,17,False
10,1,'110010100000110101001,0.000125,9,False
10,1,'011000101000010111101,0.000125,10,False
10,1,'101010111001110110011,0.000125,13,False
10,1,'000100111101010101011,0.000125,11,False
10,1,'111110011110101001010,0.000125,13,False
10,1,'101111001111100111000,0.000125,13,False
10,1,'110000010010001010110,0.000125,8,False
10,1,'110000101101111011010,0.000125,12,False
10,1,'001011101100000011101,0.000125,10,False
10,1,'110100100000000101100,0.000125,7,False
10,1,'000000111101101010011,0.000125,10,False
10,1,'001101000001111101101,0.000125,11,False
10,1,'100101101111110111010,0.000125,14,False
10,1,'110101101111011001011,0.000125,14,False
10,1,'011000011011000010000,0.000125,7,False
10,1,'001100000011010010111,0.000125,9,False
10,1,'111000001010110101011,0.000125,11,False
10,1,'100101110000111101010,0.000125,11,False
10,1,'111100100111001100001,0.000125,11,False
10,1,'001111000100111110011,0.000125,12,False
10,1,'111111110010110110001,0.000125,14,False
10,1,'011110100110001001001,0.000125,10,False
10,1,'101000011100101110101,0.000125,11,False
10,1,'010101101011010010001,0.000125,10,False
10,1,'110100111101000111011,0.000125,13,False
10,1,'101101001110010000111,0.000125,11,False
10,1,'111000011000000110110,0.000125,9,False
10,1,'110101000110001100010,0.000125,9,False
10,1,'001101101100111010001,0.000125,11,False
10,1,'101101111001111011110,0.000125,15,False
10,1,'000100001000011001010,0.000125,6,False
10,1,'110110001110010000010,0.000125,9,False
10,1,'001000110010100100000,0.000125,6,False
10,1,'010001100110101101111,0.000125,12,False
10,1,'011011101110011000110,0.000125,12,False
10,1,'000101011110000001110,0.000125,9,False
10,1,'101110001101011100101,0.000125,12,False
10,1,'110010010011101010001,0.000125,10,False
10,1,'101100110000101110001,0.000125,10,False
10,1,'111110011100110110000,0.000125,12,False
10,1,'101110001100101111111,0.000125,14,False
10,1,'101011101000100001110,0.000125,10,False
10,1,'111111001010000100111,0.000125,12,False
10,1,'101000000001011010100,0.000125,7,False
10,1,'001110010001110101000,0.000125,9,False
10,1,'110110110110110001111,0.000125,14,False
10,1,'110110101111001100100,0.000125,12,False
10,1,'111010011110011110001,0.000125,13,False
10,1,'011011110000101111001,0.000125,12,False
10,1,'110000010101100110101,0.000125,10,False
10,1,'001110100010000110010,0.000125,8,False
10,1,'100100101011110001110,0.000125,11,False
10,1,'110111100000101000110,0.000125,10,False
10,1,'011000101111010001111,0.000125,12,False
10,1,'000011010111100000011,0.000125,9,False
10,1,'000000101000010001110,0.000125,6,False
10,1,'111101000111001001001,0.000125,11,False
10,1,'011010000111011101010,0.000125,11,False
10,1,'100111110001011100010,0.000125,11,False
10,1,'011111011000011010011,0.000125,12,False
10,1,'111001110010111011011,0.000125,14,False
10,1,'000111011000011111011,0.000125,12,False
10,1,'011111110110101110110,0.000125,15,False
10,1,'101000011010001100010,0.000125,8,False
10,1,'001011101010000001010,0.000125,8,False
10,1,'001101011001110000011,0.000125,10,False
10,1,'111101010010011010001,0.000125,11,False
10,1,'111011101011010011110,0.000125,14,False
10,1,'001100011101011111001,0.000125,12,False
10,1,'010101011101100100100,0.000125,10,False
10,1,'101110110001101110000,0.000125,11,False
10,1,'110100010001000011101,0.000125,9,False
10,1,'000101111000111000111,0.000125,11,False
10,1,'110011010111010101011,0.000125,13,False
10,1,'001100100100001001010,0.000125,7,False
10,1,'100011110110100100001,0.000125,10,False
10,1,'100000101011110011001,0.000125,10,False
10,1,'100010101110111011100,0.000125,12,False
10,1,'100011101100110111000,0.000125,11,False
10,1,'111001101000100101011,0.000125,11,False
10,1,'000100101000010100010,0.000125,6,False
10,1,'000101100010011111110,0.000125,11,False
10,1,'111100010100000101100,0.000125,9,False
10,1,'110111100110010100010,0.000125,11,False
10,1,'110111111010100010010,0.000125,12,False
10,1,'110111101111011101100,0.000125,15,False
10,1,'100001001010000110111,0.000125,9,False
10,1,'011101001101110110000,0.000125,11,False
10,1,'010010110010110011010,0.000125,10,False
10,1,'100110110111010001010,0.000125,11,False
10,1,'100001001110110111111,0.000125,13,False
10,1,'010111001101011110010,0.000125,12,False
10,1,'011101001010000100111,0.000125,10,False
10,1,'110110011000010111011,0.000125,12,False
10,1,'010110110011110110001,0.000125,12,False
10,1,'110000100110001000101,0.000125,8,False
10,1,'001101010001011100101,0.000125,10,False
10,1,'100011100101110000100,0.000125,9,False
10,1,'111100111011101011000,0.000125,13,False
10,1,'011001000000011000010,0.000125,6,False
10,1,'011110010010001111101,0.000125,12,False
10,1,'111101101000100100110,0.000125,11,False
10,1,'101011100011011111110,0.000125,14,False
10,1,'111001101000111011010,0.000125,12,False
10,1,'110111001101110000101,0.000125,12,False
10,1,'111000100110110010010,0.000125,10,False
10,1,'000110100011001100111,0.000125,10,False
10,1,'101010000011001100100,0.000125,8,False
10,1,'110000101001000100110,0.000125,8,False
10,1,'010000011101000101110,0.000125,9,False
10,1,'010101011010100111101,0.000125,12,False
10,1,'100110011111000111011,0.000125,13,False
10,1,'100110111010010110110,0.000125,12,False
10,1,'000101111101000011111,0.000125,12,False
10,1,'110100011101111010111,0.000125,14,False
10,1,'000100001100001011110,0.000125,8,False
10,1,'111111110101110111010,0.000125,16,False
10,1,'101111001101010000101,0.000125,11,False
10,1,'110000101101010000111,0.000125,10,False
10,1,'011010110101110111101,0.000125,14,False
10,1,'010111010100000101000,0.000125,8,False
10,1,'010110101110001010111,0.000125,12,False
10,1,'101001000001101011001,0.000125,9,False
10,1,'101111101110110100101,0.000125,14,False
10,1,'111000001111000011000,0.000125,9,False
10,1,'110010100110101011010,0.000125,11,False
10,1,'101001110111101001000,0.000125,11,False
10,1,'110100001101110110110,0.000125,12,False
10,1,'100101010111110110100,0.000125,12,False
10,1,'101100100001100010001,0.000125,8,False
10,1,'110110110111111000010,0.000125,13,False
10,1,'111101001001100110110,0.000125,12,False
10,1,'110000111100010001110,0.000125,10,False
10,1,'011000011011100101111,0.000125,12,False
10,1,'111100010111000001101,0.000125,11,False
10,1,'010001010110111010010,0.000125,10,False
10,1,'110110011101101011110,0.000125,14,False
10,1,'011110010101010100001,0.000125,10,False
10,1,'111000011010101101111,0.000125,13,False
10,1,'111111011011101101000,0.000125,14,False
10,1,'010101100010011111000,0.000125,10,False
10,1,'110110111000100100001,0.000125,10,False
10,1,'111010110110010101001,0.000125,12,False
10,1,'111001010101000000010,0.000125,8,False
10,1,'001011001101110000000,0.000125,8,False
10,1,'100100110110100111010,0.000125,11,False
10,1,'100001110101010110000,0.000125,9,False
10,1,'001011011001101010111,0.000125,12,False
10,1,'110110111101111101101,0.000125,16,False
10,1,'101010111011000011000,0.000125,10,False
10,1,'101110010101010001101,0.000125,11,False
10,1,'001011101111111000000,0.000125,11,False
10,1,'000000101110100000101,0.000125,7,False
10,1,'010111001011111111101,0.000125,15,False
10,1,'110001110100010011001,0.000125,10,False
10,1,'001101101101101101101,0.000125,13,False
10,1,'100101110000110111101,0.000125,12,False
10,1,'101011101101011010001,0.000125,12,False
10,1,'110010100000001010101,0.000125,8,False
10,1,'100001101001011010100,0.000125,9,False
10,1,'011011000111011001101,0.000125,12,False
10,1,'100001111001010111100,0.000125,11,False
10,1,'010001010001100011101,0.000125,9,False
10,1,'010001001100111011111,0.000125,12,False
10,1,'011100111101011101001,0.000125,13,False
10,1,'101001101000110000010,0.000125,8,False
10,1,'000010000011101110100,0.000125,8,False
10,1,'110011010001100000111,0.000125,10,False
10,1,'000101100011000101101,0.000125,9,False
10,1,'111010010011001110011,0.000125,12,False
10,1,'000100001100011011110,0.000125,9,False
10,1,'011101011011111000101,0.000125,13,False
10,1,'100011010011010010010,0.000125,9,False
10,1,'101000000001000001110,0.000125,6,False
10,1,'000001101110101001001,0.000125,9,False
10,1,'000010000011011111110,0.000125,10,False
10,1,'100110100100100000110,0.000125,8,False
10,1,'001011010000100010010,0.000125,7,False
10,1,'000000110000100100110,0.000125,6,False
10,1,'111001111100101011011,0.000125,14,False
10,1,'100010101001110000101,0.000125,9,False
10,1,'001000110110111101000,0.000125,10,False
10,1,'010000001110011011111,0.000125,11,False
10,1,'110100101110011111001,0.000125,13,False
10,1,'101011110110011110111,0.000125,15,False
10,1,'101011100011100100001,0.000125,10,False
10,1,'010100011010101000011,0.000125,9,False
10,1,'001100111000000011001,0.000125,8,False
10,1,'001111000011101000001,0.000125,9,False
10,1,'110000111000101100101,0.000125,10,False
10,1,'101001101010100011000,0.000125,9,False
10,1,'001011110011010011010,0.000125,11,False
10,1,'101111010101101001011,0.000125,13,False
10,1,'111100101010010000101,0.000125,10,False
10,1,'000100101010011100011,0.000125,9,False
10,1,'010000100001111110111,0.000125,11,False
10,1,'110100010100001110010,0.000125,9,False
10,1,'010100001011010011101,0.000125,10,False
10,1,'001000011010100000110,0.000125,7,False
10,1,'010011000010011010001,0.000125,8,False
10,1,'000101110101101010001,0.000125,10,False
10,1,'011010101100011011011,0.000125,12,False
10,1,'001000111110100011001,0.000125,10,False
10,1,'001010111110001001101,0.000125,11,False
10,1,'111100100100101000110,0.000125,10,False
10,1,'110100001100000000111,0.000125,8,False
10,1,'110100010110001111101,0.000125,12,False
10,1,'100010111111111111001,0.000125,15,False
10,1,'000101101101100100011,0.000125,10,False
10,1,'111111110101000100100,0.000125,12,False
10,1,'100110000101010011101,0.000125,10,False
10,1,'000000001001001100010,0.000125,5,False
10,1,'101010101010000010111,0.000125,10,False
10,1,'001111010101011010010,0.000125,11,False
10,1,'100001000100101101010,0.000125,8,False
10,1,'111110010001100000001,0.000125,9,False
10,1,'011100111000111011001,0.000125,12,False
10,1,'101011010111000011011,0.000125,12,False
10,1,'010100101111010001011,0.000125,11,False
10,1,'100111010100001010010,0.000125,9,False
10,1,'000111101011100111101,0.000125,13,False
10,1,'110111010010100000110,0.000125,10,False
10,1,'001010000011011101111,0.000125,11,False
10,1,'011010000111001100100,0.000125,9,False
10,1,'011011011100111101110,0.000125,14,False
10,1,'011100110001001000100,0.000125,8,False
10,1,'100001000001001001011,0.000125,7,False
10,1,'000001101000110100011,0.000125,8,False
10,1,'100101100010010100100,0.000125,8,False
10,1,'001000001111110010110,0.000125,10,False
10,1,'101001000100011110001,0.000125,9,False
10,1,'110110100010001010110,0.000125,10,False
10,1,'001110100101110101110,0.000125,12,False
10,1,'111000010100100001011,0.000125,9,False
10,1,'010011011001100111110,0.000125,12,False
10,1,'010100001111011001000,0.000125,9,False
10,1,'000000100001100011101,0.000125,7,False
10,1,'001101010001101001001,0.000125,9,False
10,1,'011100111100111011001,0.000125,13,False
10,1,'100101010011101001010,0.000125,10,False
10,1,'111100001010001111111,0.000125,13,False
10,1,'001101111110111000010,0.000125,12,False
10,1,'010100100011100101010,0.000125,9,False
10,1,'001011000111100011011,0.000125,11,False
10,1,'011111111010011011110,0.000125,15,False
10,1,'001000100001110111110,0.000125,10,False
10,1,'111000110001000100100,0.000125,8,False
10,1,'000110100111000100001,0.000125,8,False
10,1,'111010100111101001011,0.000125,13,False
10,1,'110001111111100110111,0.000125,15,False
10,1,'011101010010111011101,0.000125,13,False
10,1,'011111110001100110000,0.000125,11,False
10,1,'000011101010101010010,0.000125,9,False
10,1,'111011011111111111011,0.000125,18,False
10,1,'011001010000000100101,0.000125,7,False
10,1,'111100111101110001100,0.000125,13,False
10,1,'111100010111101111001,0.000125,14,False
10,1,'000011001010000010100,0.000125,6,False
10,1,'000100000000100101110,0.000125,6,False
10,1,'011100101101010011110,0.000125,12,False
10,1,'110111111111110111110,0.000125,18,False
10,1,'010011011111111111001,0.000125,15,False
10,1,'000011010111001100000,0.000125,8,False
10,1,'000000100010011110110,0.000125,8,False
10,1,'110111100010011111100,0.000125,13,False
10,1,'101111011011101100111,0.000125,15,False
10,1,'010001010000000000111,0.000125,6,False
10,1,'001110101001101110010,0.000125,11,False
10,1,'000010001001101000111,0.000125,8,False
10,1,'001010110101110100011,0.000125,11,False
10,1,'001100000011010010001,0.000125,7,False
10,1,'100000110100101011001,0.000125,9,False
10,1,'010100110011001000000,0.000125,7,False
10,1,'100111101000101001110,0.000125,11,False
10,1,'000011100011110110101,0.000125,11,False
10,1,'101000100001100000111,0.000125,8,False
10,1,'110000010111010110010,0.000125,10,False
10,1,'110011000100010001101,0.000125,9,False
10,1,'001101001111101111010,0.000125,13,False
10,1,'011011100011010100100,0.000125,10,False
10,1,'110101010011111111001,0.000125,14,False
10,1,'101101001010100001111,0.000125,11,False
10,1,'000000000010100001110,0.000125,5,False
10,1,'111001011111111100110,0.000125,15,False
10,1,'101110000100100000011,0.000125,8,False
10,1,'111111100111011110011,0.000125,16,False
10,1,'001100000000111001100,0.000125,7,False
10,1,'011000011010110000001,0.000125,8,False
10,1,'111100111011111101010,0.000125,15,False
10,1,'101110010010111011010,0.000125,12,False
10,1,'110111110111111011111,0.000125,18,False
10,1,'111100110101111101000,0.000125,13,False
10,1,'110111111001101000010,0.000125,12,False
10,1,'101000000101110100001,0.000125,8,False
10,1,'101010000101111111101,0.000125,13,False
10,1,'010010110010110100010,0.000125,9,False
10,1,'101111000000010011011,0.000125,10,False
10,1,'111110100000101110111,0.000125,13,False
10,1,'111100000000011010001,0.000125,8,False
10,1,'101110000011001101101,0.000125,11,False
10,1,'001000111000110111110,0.000125,11,False
10,1,'100110111101000010010,0.000125,10,False
10,1,'011001101101100011010,0.000125,11,False
10,1,'000001001110000001101,0.000125,7,False
10,1,'011100010010011010011,0.000125,10,False
10,1,'000111011100001111000,0.000125,10,False
10,1,'100010001100100010111,0.000125,9,False
10,1,'011000110010001001110,0.000125,9,False
10,1,'101000101001000101110,0.000125,9,False
10,1,'110010101011101100100,0.000125,11,False
10,1,'101001110000111010010,0.000125,10,False
10,1,'001110011100011011011,0.000125,12,False
10,1,'110110100111101011000,0.000125,12,False
10,1,'001011101100011100111,0.000125,12,False
10,1,'101000110101000000011,0.000125,8,False
10,1,'111001101100111100010,0.000125,12,False
10,1,'110000101000001101101,0.000125,9,False
10,1,'011110011100001111011,0.000125,13,False
10,1,'010111100101100011001,0.000125,11,False
10,1,'111001111001110000001,0.000125,11,False
10,1,'000011000001000001111,0.000125,7,False
10,1,'001000001011101111011,0.000125,11,False
10,1,'000011010101001110110,0.000125,10,False
10,1,'000001100011000011101,0.000125,8,False
10,1,'000111010011000100100,0.000125,8,False
10,1,'101001110011110110001,0.000125,12,False
10,1,'101100011011000000000,0.000125,7,False
10,1,'100000111000010110001,0.000125,8,False
10,1,'111001000011110011110,0.000125,12,False
10,1,'011000011110010010011,0.000125,10,False
10,1,'010001101110011110000,0.000125,10,False
10,1,'011010101000010101010,0.000125,9,False
10,1,'011010001111110001110,0.000125,12,False
10,1,'110001111010000010111,0.000125,11,False
10,1,'001001000011101111001,0.000125,10,False
10,1,'000000111101100010100,0.000125,8,False
10,1,'110111101100111110000,0.000125,13,False
10,1,'001101000000011110011,0.000125,9,False
10,1,'010100110111000101001,0.000125,10,False
10,1,'111111100000101111010,0.000125,13,False
10,1,'101111000111000101100,0.000125,11,False
10,1,'110100111101111101011,0.000125,15,False
10,1,'000001111000111001100,0.000125,9,False
10,1,'111011100100101001101,0.000125,12,False
10,1,'010100101101110010110,0.000125,11,False
10,1,'101001111110010111011,0.000125,14,False
10,1,'111011010110000001011,0.000125,11,False
10,1,'001011011110011111111,0.000125,15,False
10,1,'101011000011000100001,0.000125,8,False
10,1,'011100100001111010111,0.000125,12,False
10,1,'001101000000110011101,0.000125,9,False
10,1,'110100000110101100111,0.000125,11,False
10,1,'110010110001001100111,0.000125,11,False
10,1,'111011000000100100011,0.000125,9,False
10,1,'110100100001001110011,0.000125,10,False
10,1,'010111011110110010000,0.000125,11,False
10,1,'110110001101000010000,0.000125,8,False
10,1,'000010001100001110110,0.000125,8,False
10,1,'100001101000101101011,0.000125,10,False
10,1,'110101001101111011010,0.000125,13,False
10,1,'110101011011010100110,0.000125,12,False
10,1,'010000011110111011101,0.000125,12,False
10,1,'100001011111110110100,0.000125,12,False
10,1,'100001101110011011100,0.000125,11,False
10,1,'011010101110001111011,0.000125,13,False
10,1,'100111000111110011100,0.000125,12,False
10,1,'000000111100110011011,0.000125,10,False
10,1,'100111100000001000101,0.000125,8,False
10,1,'000011110001100001110,0.000125,9,False
10,1,'110000111110011110110,0.000125,13,False
10,1,'010110101100100111100,0.000125,11,False
10,1,'100000011101010010100,0.000125,8,False
10,1,'000001110101011010110,0.000125,10,False
10,1,'000100100001010100110,0.000125,7,False
10,1,'111011110100011100110,0.000125,13,False
10,1,'010011110100100101001,0.000125,10,False
10,1,'110101001100010001110,0.000125,10,False
10,1,'110111111111111001000,0.000125,15,False
10,1,'011010110110110000010,0.000125,10,False
10,1,'010001111100110111001,0.000125,12,False
10,1,'100001110100101011001,0.000125,10,False
10,1,'001011010100100010100,0.000125,8,False
10,1,'000001000111001110001,0.000125,8,False
10,1,'101111000011100100010,0.000125,10,False
10,1,'001010001100011100100,0.000125,8,False
10,1,'001110001101100101101,0.000125,11,False
10,1,'011111011100100111111,0.000125,15,False
10,1,'111010011101001101000,0.000125,11,False
10,1,'011001001111011110111,0.000125,14,False
10,1,'101001000001010010010,0.000125,7,False
10,1,'011001111111110011100,0.000125,14,False
10,1,'111011110100101010110,0.000125,13,False
10,1,'010111101000100101100,0.000125,10,False
10,1,'110110110001101110100,0.000125,12,False
10,1,'001111000011000000111,0.000125,9,False
10,1,'010010111111010110000,0.000125,11,False
10,1,'101110111100000100101,0.000125,11,False
10,1,'111000011010000101101,0.000125,10,False
10,1,'100111000101001011111,0.000125,12,False
10,1,'000111111000101001010,0.000125,10,False
10,1,'111100101001100111110,0.000125,13,False
10,1,'101000100001010010011,0.000125,8,False
10,1,'111100111010111010010,0.000125,13,False
10,1,'000101011011111001101,0.000125,12,False
10,1,'101010000011101101100,0.000125,10,False
10,1,'001100001010110001101,0.000125,9,False
10,1,'001110101011100111000,0.000125,11,False
10,1,'011100000001100011101,0.000125,9,False
10,1,'100110100000000100110,0.000125,7,False
10,1,'000011010010110111111,0.000125,12,False
10,1,'011110110010110011111,0.000125,14,False
10,1,'111100010110001001010,0.000125,10,False
10,1,'100111100101101000111,0.000125,12,False
10,1,'001111110011001100111,0.000125,13,False
10,1,'001000001000010000111,0.000125,6,False
10,1,'000010010010010111001,0.000125,8,False
10,1,'000101110110000010110,0.000125,9,False
10,1,'100111010101100010111,0.000125,12,False
10,1,'111000001110011010001,0.000125,10,False
10,1,'101011111010001110110,0.000125,13,False
10,1,'011111110100110011111,0.000125,15,False
10,1,'110100010010011000100,0.000125,8,False
10,1,'100001001101101101101,0.000125,11,False
10,1,'110101100100111000110,0.000125,11,False
10,1,'110001110001011101000,0.000125,10,False
10,1,'000101011001010011010,0.000125,9,False
10,1,'000011001100110111011,0.000125,11,False
10,1,'011101110111100000001,0.000125,11,False
10,1,'010011111101000100101,0.000125,11,False
10,1,'100111100101101011000,0.000125,11,False
10,1,'110000110111000010111,0.000125,11,False
10,1,'001100110000110110100,0.000125,9,False
10,1,'110100000111000011111,0.000125,11,False
10,1,'101100001001100110011,0.000125,10,False
10,1,'100111001110100001011,0.000125,11,False
10,1,'101011001101001100100,0.000125,10,False
10,1,'100111111101101110101,0.000125,15,False
10,1,'101010011111011011111,0.000125,15,False
10,1,'111010010100000101001,0.000125,9,False
10,1,'111111000010000010111,0.000125,11,False
10,1,'001100110000000010011,0.000125,7,False
10,1,'100111001100111111100,0.000125,13,False
10,1,'101100100010000100011,0.000125,8,False
10,1,'001001100010101011101,0.000125,10,False
10,1,'000010000100010000110,0.000125,5,False
10,1,'000100101100010000010,0.000125,6,False
10,1,'001001001001110100100,0.000125,8,False
10,1,'011110101010000011001,0.000125,10,False
10,1,'001010100011011011011,0.000125,11,False
10,1,'100011000101110110010,0.000125,10,False
