string,counts,energy_M,feasible
'00000000,82,0,infeasible
'00000100,86,1,infeasible
'00000001,69,1,infeasible
'00001000,60,1,infeasible
'00010000,58,1,infeasible
'01000000,57,1,infeasible
'00100000,55,1,infeasible
'10000000,50,1,infeasible
'00000010,10,1,infeasible
'00100001,78,2,infeasible
'01000100,64,2,infeasible
'00011000,61,2,infeasible
'00010001,56,2,infeasible
'11000000,48,2,infeasible
'01000001,48,2,infeasible
'01100000,48,2,infeasible
'10000100,45,2,infeasible
'10100000,45,2,infeasible
'00010100,44,2,infeasible
'00001001,43,2,infeasible
'00000101,42,2,infeasible
'01010000,40,2,infeasible
'00100100,36,2,infeasible
'01001000,34,2,infeasible
'10000001,33,2,infeasible
'10001000,32,2,infeasible
'00101000,31,2,infeasible
'00001100,29,2,infeasible
'10010000,26,2,infeasible
'00110000,24,2,infeasible
'00001010,13,2,infeasible
'01000010,12,2,infeasible
'00000110,12,2,infeasible
'00000011,12,2,infeasible
'10000010,11,2,infeasible
'00010010,9,2,infeasible
'00011001,65,3,infeasible
'01001100,36,3,infeasible
'10100100,35,3,infeasible
'01000101,34,3,infeasible
'01100100,34,3,infeasible
'00010101,32,3,infeasible
'01100001,32,3,infeasible
'00011100,32,3,infeasible
'11000100,31,3,infeasible
'00100101,31,3,infeasible
'10010001,30,3,infeasible
'11000001,29,3,infeasible
'01010100,29,3,infeasible
'11010000,28,3,infeasible
'01110000,27,3,infeasible
'00110100,27,3,infeasible
'00111000,27,3,infeasible
'00001101,26,3,infeasible
'10001001,26,3,infeasible
'01001001,26,3,infeasible
'10011000,25,3,infeasible
'10101000,25,3,infeasible
'10001100,24,3,infeasible
'10000101,23,3,infeasible
'11100000,23,3,infeasible
'01011000,22,3,infeasible
'10010100,22,3,infeasible
'01010001,21,3,infeasible
'10110000,20,3,infeasible
'01000110,19,3,infeasible
'00101100,16,3,infeasible
'01101000,16,3,infeasible
'11001000,14,3,infeasible
'00011010,14,3,infeasible
'00000111,11,3,infeasible
'00001110,10,3,infeasible
'00001011,9,3,infeasible
'10000110,9,3,infeasible
'00010110,8,3,infeasible
'00010011,7,3,infeasible
'10000011,7,3,infeasible
'10010010,5,3,infeasible
'10001010,5,3,infeasible
'01000011,5,3,infeasible
'10011001,47,4,infeasible
'00011101,45,4,infeasible
'01011001,34,4,infeasible
'01100101,32,4,infeasible
'01011100,31,4,infeasible
'11100100,29,4,infeasible
'11010100,24,4,infeasible
'11001100,23,4,infeasible
'10011100,22,4,infeasible
'11011000,22,4,infeasible
'01110100,21,4,infeasible
'01111000,21,4,infeasible
'00111100,21,4,infeasible
'01101100,20,4,infeasible
'11010001,20,4,infeasible
'11001001,20,4,infeasible
'10010101,16,4,infeasible
'00011011,16,4,infeasible
'10110100,15,4,infeasible
'10111000,15,4,infeasible
'01000111,14,4,infeasible
'11101000,14,4,infeasible
'11110000,12,4,infeasible
'00011110,12,4,infeasible
'10101100,11,4,infeasible
'10001101,10,4,infeasible
'00001111,10,4,infeasible
'10010110,9,4,infeasible
'10000111,9,4,infeasible
'00010111,8,4,infeasible
'10011010,7,4,infeasible
'10001110,7,4,infeasible
'10001011,5,4,infeasible
'10010011,4,4,infeasible
'11011001,32,5,infeasible
'10011101,28,5,infeasible
'11011100,24,5,infeasible
'11110100,19,5,infeasible
'11111000,17,5,infeasible
'01111100,16,5,infeasible
'11101100,13,5,infeasible
'00011111,11,5,infeasible
'10111100,10,5,infeasible
'10011110,10,5,infeasible
'10010111,8,5,infeasible
'10011011,7,5,infeasible
'10001111,4,5,infeasible
'11111100,11,6,infeasible
'10011111,6,6,infeasible
'00100010,17,2,feasible
'10100001,42,3,feasible
'00110001,39,3,feasible
'00101001,36,3,feasible
'00100011,19,3,feasible
'01100010,13,3,feasible
'10100010,11,3,feasible
'01001010,10,3,feasible
'01010010,10,3,feasible
'00110010,10,3,feasible
'00100110,8,3,feasible
'00101010,7,3,feasible
'11000010,5,3,feasible
'00111001,40,4,feasible
'11100001,28,4,feasible
'01110001,27,4,feasible
'00101101,27,4,feasible
'10110001,26,4,feasible
'01101001,24,4,feasible
'10100101,23,4,feasible
'01001101,22,4,feasible
'11000101,22,4,feasible
'00110101,20,4,feasible
'10101001,19,4,feasible
'01010101,19,4,feasible
'01010110,17,4,feasible
'01100110,13,4,feasible
'01011010,13,4,feasible
'01001011,12,4,feasible
'11100010,10,4,feasible
'00101011,10,4,feasible
'00100111,9,4,feasible
'00110110,9,4,feasible
'11001010,8,4,feasible
'00110011,7,4,feasible
'10110010,7,4,feasible
'10100011,7,4,feasible
'00111010,7,4,feasible
'01001110,7,4,feasible
'11010010,6,4,feasible
'11000011,6,4,feasible
'01100011,6,4,feasible
'10100110,6,4,feasible
'10101010,6,4,feasible
'01110010,6,4,feasible
'00101110,5,4,feasible
'01010011,5,4,feasible
'11000110,4,4,feasible
'01101010,4,4,feasible
'11110001,33,5,feasible
'01111001,30,5,feasible
'00111101,29,5,feasible
'10111001,27,5,feasible
'01011101,25,5,feasible
'01110101,23,5,feasible
'10110101,21,5,feasible
'11101001,20,5,feasible
'11001101,18,5,feasible
'10101101,18,5,feasible
'01101101,17,5,feasible
'11010101,17,5,feasible
'11000111,17,5,feasible
'11100101,17,5,feasible
'01011011,15,5,feasible
'11010110,13,5,feasible
'11001110,12,5,feasible
'01110110,11,5,feasible
'11011010,11,5,feasible
'01111010,10,5,feasible
'01001111,10,5,feasible
'11100011,10,5,feasible
'01100111,9,5,feasible
'10110011,9,5,feasible
'10101011,9,5,feasible
'01011110,9,5,feasible
'01110011,8,5,feasible
'11110010,8,5,feasible
'00101111,7,5,feasible
'01101011,7,5,feasible
'11101010,7,5,feasible
'00110111,7,5,feasible
'00111011,7,5,feasible
'00111110,6,5,feasible
'01010111,6,5,feasible
'10100111,6,5,feasible
