string,counts,energy_M,feasible
'00000000,31,0,infeasible
'00100000,56,1,infeasible
'00000100,41,1,infeasible
'01000000,38,1,infeasible
'00010000,35,1,infeasible
'00000001,34,1,infeasible
'00001000,28,1,infeasible
'10000000,16,1,infeasible
'00000010,7,1,infeasible
'00100001,54,2,infeasible
'00011000,52,2,infeasible
'01100000,50,2,infeasible
'00100100,45,2,infeasible
'10100000,43,2,infeasible
'00110000,42,2,infeasible
'10000100,40,2,infeasible
'01000001,36,2,infeasible
'00101000,33,2,infeasible
'01001000,33,2,infeasible
'00000101,33,2,infeasible
'01010000,32,2,infeasible
'00001100,32,2,infeasible
'10010000,31,2,infeasible
'00001001,31,2,infeasible
'00010001,29,2,infeasible
'01000100,29,2,infeasible
'10000001,28,2,infeasible
'00010100,22,2,infeasible
'11000000,21,2,infeasible
'00000110,19,2,infeasible
'01000010,17,2,infeasible
'00001010,14,2,infeasible
'00010010,14,2,infeasible
'10001000,13,2,infeasible
'00000011,13,2,infeasible
'10000010,5,2,infeasible
'00011100,48,3,infeasible
'01100001,42,3,infeasible
'00011001,40,3,infeasible
'10100100,39,3,infeasible
'01100100,38,3,infeasible
'00110100,38,3,infeasible
'01110000,37,3,infeasible
'10101000,37,3,infeasible
'01011000,36,3,infeasible
'00111000,35,3,infeasible
'00100101,33,3,infeasible
'01000101,33,3,infeasible
'11100000,31,3,infeasible
'00010101,31,3,infeasible
'01010001,31,3,infeasible
'00101100,28,3,infeasible
'01010100,28,3,infeasible
'10010001,28,3,infeasible
'11000100,28,3,infeasible
'10110000,27,3,infeasible
'11000001,27,3,infeasible
'01001100,26,3,infeasible
'10011000,26,3,infeasible
'01101000,25,3,infeasible
'11010000,24,3,infeasible
'01001001,24,3,infeasible
'00001101,22,3,infeasible
'10001001,21,3,infeasible
'10001100,18,3,infeasible
'10010100,17,3,infeasible
'00010011,16,3,infeasible
'10000101,16,3,infeasible
'10010010,16,3,infeasible
'11001000,14,3,infeasible
'10001010,14,3,infeasible
'10000110,12,3,infeasible
'00010110,11,3,infeasible
'01000011,10,3,infeasible
'10000011,10,3,infeasible
'01000110,10,3,infeasible
'00001011,9,3,infeasible
'00000111,9,3,infeasible
'00001110,6,3,infeasible
'00011010,6,3,infeasible
'01011001,39,4,infeasible
'01011100,38,4,infeasible
'01110100,34,4,infeasible
'11010100,32,4,infeasible
'01101100,28,4,infeasible
'11100100,27,4,infeasible
'01111000,26,4,infeasible
'11011000,26,4,infeasible
'10101100,26,4,infeasible
'00011101,25,4,infeasible
'01100101,22,4,infeasible
'00011011,22,4,infeasible
'00111100,22,4,infeasible
'10011100,21,4,infeasible
'11001100,21,4,infeasible
'11101000,21,4,infeasible
'10111000,21,4,infeasible
'10110100,19,4,infeasible
'10011001,19,4,infeasible
'11001001,19,4,infeasible
'10001101,17,4,infeasible
'00011110,17,4,infeasible
'11010001,17,4,infeasible
'11110000,17,4,infeasible
'10001011,14,4,infeasible
'10010101,13,4,infeasible
'01000111,11,4,infeasible
'10011010,11,4,infeasible
'10010011,9,4,infeasible
'00010111,9,4,infeasible
'10000111,9,4,infeasible
'10001110,8,4,infeasible
'10010110,8,4,infeasible
'00001111,2,4,infeasible
'11011100,38,5,infeasible
'01111100,27,5,infeasible
'11011001,27,5,infeasible
'11110100,23,5,infeasible
'11111000,19,5,infeasible
'10111100,18,5,infeasible
'10011101,18,5,infeasible
'11101100,17,5,infeasible
'10011011,11,5,infeasible
'10001111,9,5,infeasible
'10011110,7,5,infeasible
'00011111,6,5,infeasible
'10010111,5,5,infeasible
'11111100,17,6,infeasible
'10011111,7,6,infeasible
'00100010,19,2,feasible
'00101001,52,3,feasible
'10100001,37,3,feasible
'00110001,36,3,feasible
'01100010,18,3,feasible
'00101010,17,3,feasible
'10100010,13,3,feasible
'01001010,12,3,feasible
'00100110,12,3,feasible
'00110010,11,3,feasible
'00100011,10,3,feasible
'01010010,10,3,feasible
'11000010,9,3,feasible
'00110101,37,4,feasible
'01101001,33,4,feasible
'10101001,32,4,feasible
'10110001,30,4,feasible
'01010101,29,4,feasible
'01110001,29,4,feasible
'00101101,28,4,feasible
'00111001,27,4,feasible
'01001101,24,4,feasible
'11000101,22,4,feasible
'10100101,19,4,feasible
'01011010,19,4,feasible
'00101011,19,4,feasible
'01100011,17,4,feasible
'11100001,16,4,feasible
'01001110,13,4,feasible
'01101010,13,4,feasible
'01110010,12,4,feasible
'10100011,12,4,feasible
'00101110,12,4,feasible
'01010110,11,4,feasible
'00111010,11,4,feasible
'00100111,11,4,feasible
'00110011,11,4,feasible
'11100010,10,4,feasible
'01100110,10,4,feasible
'11010010,9,4,feasible
'11001010,9,4,feasible
'10100110,9,4,feasible
'10101010,8,4,feasible
'11000110,8,4,feasible
'11000011,7,4,feasible
'10110010,7,4,feasible
'01001011,7,4,feasible
'00110110,5,4,feasible
'01010011,5,4,feasible
'01111001,33,5,feasible
'01110101,32,5,feasible
'10110101,30,5,feasible
'00111101,29,5,feasible
'01011101,27,5,feasible
'01101101,27,5,feasible
'11100101,23,5,feasible
'11010101,23,5,feasible
'10111001,23,5,feasible
'11001101,21,5,feasible
'11101001,20,5,feasible
'01010111,19,5,feasible
'10101101,17,5,feasible
