string,counts,energy_M,feasible
'00000000,40,0,infeasible
'00000100,50,1,infeasible
'00001000,49,1,infeasible
'00100000,48,1,infeasible
'00000001,44,1,infeasible
'01000000,43,1,infeasible
'10000000,40,1,infeasible
'00010000,29,1,infeasible
'00000010,14,1,infeasible
'00100001,62,2,infeasible
'01000001,51,2,infeasible
'00101000,51,2,infeasible
'00000101,46,2,infeasible
'01100000,44,2,infeasible
'01001000,41,2,infeasible
'00110000,38,2,infeasible
'00001001,38,2,infeasible
'10100000,38,2,infeasible
'10001000,37,2,infeasible
'00011000,37,2,infeasible
'10000100,36,2,infeasible
'00010001,36,2,infeasible
'00100100,35,2,infeasible
'00001100,35,2,infeasible
'10000001,35,2,infeasible
'01000100,29,2,infeasible
'00010100,28,2,infeasible
'01010000,25,2,infeasible
'10010000,21,2,infeasible
'11000000,18,2,infeasible
'00000110,15,2,infeasible
'10000010,14,2,infeasible
'00001010,13,2,infeasible
'00010010,12,2,infeasible
'01000010,11,2,infeasible
'00000011,9,2,infeasible
'00111000,59,3,infeasible
'01100001,44,3,infeasible
'01101000,43,3,infeasible
'00011001,43,3,infeasible
'00011100,35,3,infeasible
'00101100,35,3,infeasible
'10101000,35,3,infeasible
'01011000,34,3,infeasible
'01110000,34,3,infeasible
'10000101,34,3,infeasible
'01001100,32,3,infeasible
'01001001,30,3,infeasible
'10011000,29,3,infeasible
'01000101,29,3,infeasible
'11100000,28,3,infeasible
'00100101,27,3,infeasible
'11000001,27,3,infeasible
'00110100,27,3,infeasible
'10001100,26,3,infeasible
'10010001,25,3,infeasible
'10110000,25,3,infeasible
'01010100,25,3,infeasible
'00010101,23,3,infeasible
'01100100,23,3,infeasible
'10001001,23,3,infeasible
'00001101,21,3,infeasible
'01010001,21,3,infeasible
'11000100,21,3,infeasible
'00000111,20,3,infeasible
'10100100,19,3,infeasible
'11010000,19,3,infeasible
'10010100,17,3,infeasible
'01000110,15,3,infeasible
'11001000,14,3,infeasible
'00010110,13,3,infeasible
'00001011,12,3,infeasible
'00011010,12,3,infeasible
'10000011,11,3,infeasible
'10001010,11,3,infeasible
'10010010,11,3,infeasible
'00010011,10,3,infeasible
'01000011,10,3,infeasible
'00001110,8,3,infeasible
'10000110,8,3,infeasible
'01111000,49,4,infeasible
'10111000,36,4,infeasible
'01011100,34,4,infeasible
'00111100,34,4,infeasible
'01110100,33,4,infeasible
'10011001,33,4,infeasible
'01011001,30,4,infeasible
'01101100,29,4,infeasible
'11100100,28,4,infeasible
'00011101,28,4,infeasible
'10011100,28,4,infeasible
'11001001,28,4,infeasible
'10001101,26,4,infeasible
'01100101,25,4,infeasible
'11011000,25,4,infeasible
'10101100,23,4,infeasible
'11101000,22,4,infeasible
'11001100,19,4,infeasible
'11010001,18,4,infeasible
'11010100,18,4,infeasible
'00011011,16,4,infeasible
'10110100,16,4,infeasible
'10010101,15,4,infeasible
'11110000,14,4,infeasible
'10010110,13,4,infeasible
'00010111,10,4,infeasible
'00001111,10,4,infeasible
'10011010,10,4,infeasible
'10010011,9,4,infeasible
'01000111,8,4,infeasible
'00011110,8,4,infeasible
'10001011,5,4,infeasible
'10000111,4,4,infeasible
'10001110,3,4,infeasible
'01111100,38,5,infeasible
'11111000,30,5,infeasible
'10011101,23,5,infeasible
'11101100,22,5,infeasible
'10111100,22,5,infeasible
'11011100,19,5,infeasible
'11011001,17,5,infeasible
'11110100,14,5,infeasible
'10011011,12,5,infeasible
'10010111,11,5,infeasible
'10001111,8,5,infeasible
'10011110,7,5,infeasible
'00011111,5,5,infeasible
'11111100,26,6,infeasible
'10011111,5,6,infeasible
'00100010,15,2,feasible
'00110001,46,3,feasible
'00101001,44,3,feasible
'10100001,26,3,feasible
'00100011,22,3,feasible
'00100110,12,3,feasible
'00110010,12,3,feasible
'00101010,12,3,feasible
'01010010,11,3,feasible
'01100010,10,3,feasible
'10100010,9,3,feasible
'01001010,8,3,feasible
'11000010,6,3,feasible
'00111001,55,4,feasible
'01010101,32,4,feasible
'01001101,29,4,feasible
'00101101,29,4,feasible
'01101001,28,4,feasible
