string,counts,energy_M,feasible
'00000000,106,0,infeasible
'01000000,77,1,infeasible
'10000000,67,1,infeasible
'00000100,63,1,infeasible
'00000001,63,1,infeasible
'00000010,59,1,infeasible
'00010000,33,1,infeasible
'00001000,29,1,infeasible
'00100000,23,1,infeasible
'10000010,61,2,infeasible
'01000001,60,2,infeasible
'11000000,60,2,infeasible
'00000101,58,2,infeasible
'01000100,56,2,infeasible
'10000001,47,2,infeasible
'10000100,46,2,infeasible
'00010100,45,2,infeasible
'01100000,43,2,infeasible
'10100000,40,2,infeasible
'10010000,39,2,infeasible
'00100001,39,2,infeasible
'01010000,36,2,infeasible
'00001001,33,2,infeasible
'00110000,33,2,infeasible
'00010001,32,2,infeasible
'00100100,31,2,infeasible
'00101000,30,2,infeasible
'00011000,30,2,infeasible
'01000010,28,2,infeasible
'00000011,27,2,infeasible
'00000110,25,2,infeasible
'00001100,24,2,infeasible
'10001000,20,2,infeasible
'00001010,19,2,infeasible
'00010010,17,2,infeasible
'01001000,16,2,infeasible
'01000101,52,3,infeasible
'11000100,43,3,infeasible
'01100100,41,3,infeasible
'01100001,40,3,infeasible
'11000001,39,3,infeasible
'10000101,38,3,infeasible
'01011000,36,3,infeasible
'00011001,36,3,infeasible
'01010100,36,3,infeasible
'00011100,33,3,infeasible
'00100101,32,3,infeasible
'11010000,31,3,infeasible
'01010001,30,3,infeasible
'00010101,30,3,infeasible
'01001100,30,3,infeasible
'10110000,30,3,infeasible
'00110100,29,3,infeasible
'10100100,28,3,infeasible
'01001001,28,3,infeasible
'10010001,27,3,infeasible
'10000011,26,3,infeasible
'00101100,25,3,infeasible
'00111000,25,3,infeasible
'10011000,24,3,infeasible
'00011010,23,3,infeasible
'10101000,23,3,infeasible
'11100000,23,3,infeasible
'10001100,22,3,infeasible
'10010010,22,3,infeasible
'10010100,22,3,infeasible
'10001001,21,3,infeasible
'01110000,21,3,infeasible
'01101000,20,3,infeasible
'00001101,20,3,infeasible
'11001000,19,3,infeasible
'10001010,18,3,infeasible
'10000110,16,3,infeasible
'00000111,16,3,infeasible
'01000011,15,3,infeasible
'00010011,14,3,infeasible
'01000110,14,3,infeasible
'00010110,12,3,infeasible
'00001110,6,3,infeasible
'00001011,5,3,infeasible
'01100101,35,4,infeasible
'00111100,33,4,infeasible
'01110100,30,4,infeasible
'01011100,29,4,infeasible
'11010100,27,4,infeasible
'11100100,25,4,infeasible
'11001001,25,4,infeasible
'11001100,22,4,infeasible
'10111000,21,4,infeasible
'00011101,21,4,infeasible
'11010001,21,4,infeasible
'10010101,21,4,infeasible
'11011000,21,4,infeasible
'10110100,20,4,infeasible
'11110000,19,4,infeasible
'10011100,19,4,infeasible
'01011001,19,4,infeasible
'01111000,19,4,infeasible
'10011001,18,4,infeasible
'01101100,18,4,infeasible
'10101100,15,4,infeasible
'11101000,13,4,infeasible
'10001101,13,4,infeasible
'10000111,13,4,infeasible
'01000111,12,4,infeasible
'10011010,12,4,infeasible
'00001111,10,4,infeasible
'10010110,8,4,infeasible
'00011110,8,4,infeasible
'10010011,7,4,infeasible
'00010111,7,4,infeasible
'10001110,6,4,infeasible
'00011011,6,4,infeasible
'10001011,5,4,infeasible
'11110100,24,5,infeasible
'11011100,22,5,infeasible
'11011001,22,5,infeasible
'10011101,21,5,infeasible
'10111100,20,5,infeasible
'11101100,20,5,infeasible
'01111100,17,5,infeasible
'11111000,13,5,infeasible
'00011111,10,5,infeasible
'10011110,9,5,infeasible
'10001111,4,5,infeasible
'10010111,3,5,infeasible
'10011011,3,5,infeasible
'11111100,15,6,infeasible
'10011111,7,6,infeasible
'00100010,16,2,feasible
'00110001,31,3,feasible
'00101001,30,3,feasible
'10100001,27,3,feasible
'11000010,23,3,feasible
'10100010,23,3,feasible
'00101010,13,3,feasible
'01100010,12,3,feasible
'00110010,12,3,feasible
'01010010,12,3,feasible
'00100110,11,3,feasible
'01001010,9,3,feasible
'00100011,9,3,feasible
'11000101,44,4,feasible
'01010101,35,4,feasible
'11100001,32,4,feasible
'00110101,29,4,feasible
'00101101,25,4,feasible
'10100101,24,4,feasible
'01101001,23,4,feasible
'01001101,22,4,feasible
'10110001,21,4,feasible
'10101001,21,4,feasible
'00111001,20,4,feasible
'11000110,16,4,feasible
'01110001,15,4,feasible
'01010011,13,4,feasible
'01011010,12,4,feasible
'01100110,12,4,feasible
'00101110,11,4,feasible
'01110010,11,4,feasible
'00110011,10,4,feasible
'11010010,10,4,feasible
'01100011,9,4,feasible
'10100011,9,4,feasible
'10100110,9,4,feasible
'01001110,9,4,feasible
'00111010,9,4,feasible
'10101010,9,4,feasible
'00110110,8,4,feasible
'10110010,8,4,feasible
'11100010,8,4,feasible
'01010110,7,4,feasible
'01101010,6,4,feasible
'00100111,6,4,feasible
'11000011,5,4,feasible
'11001010,5,4,feasible
'00101011,4,4,feasible
'01001011,1,4,feasible
'11010101,35,5,feasible
'01011101,27,5,feasible
'11100101,26,5,feasible
'11110001,21,5,feasible
'00111101,21,5,feasible
'01110101,19,5,feasible
'01111001,18,5,feasible
'01100111,17,5,feasible
'01101101,17,5,feasible
'11101001,16,5,feasible
'10110101,15,5,feasible
'10110011,14,5,feasible
'10111001,14,5,feasible
'10101101,13,5,feasible
'11100110,12,5,feasible
'11010110,11,5,feasible
'11001101,11,5,feasible
'01101110,10,5,feasible
'11110010,10,5,feasible
'11100011,9,5,feasible
'10101110,8,5,feasible
'11000111,8,5,feasible
'01010111,8,5,feasible
'10101011,8,5,feasible
'01011011,8,5,feasible
'11011010,8,5,feasible
'01111010,8,5,feasible
'00110111,8,5,feasible
'01001111,8,5,feasible
'01011110,7,5,feasible
'01101011,7,5,feasible
'10110110,7,5,feasible
'00111011,7,5,feasible
'10100111,6,5,feasible
'11001011,6,5,feasible
'00111110,6,5,feasible
'11001110,5,5,feasible
'11010011,4,5,feasible
'01110011,4,5,feasible
'11101010,3,5,feasible
'00101111,3,5,feasible
'10111010,3,5,feasible
'01110110,2,5,feasible
'01111101,33,6,feasible
'11110101,25,6,feasible
