string,counts,energy_M,feasible
'000000,637,0,infeasible
'001000,388,1,infeasible
'100000,341,1,infeasible
'010000,325,1,infeasible
'000100,213,1,infeasible
'000001,123,1,infeasible
'000010,80,1,infeasible
'101000,430,2,infeasible
'011000,210,2,infeasible
'110000,149,2,infeasible
'001100,111,2,infeasible
'001010,78,2,infeasible
'001001,65,2,infeasible
'000011,63,2,infeasible
'100010,41,2,infeasible
'010010,41,2,infeasible
'000101,37,2,infeasible
'000110,29,2,infeasible
'111000,195,3,infeasible
'000111,37,3,infeasible
'001011,29,3,infeasible
'001110,29,3,infeasible
'110010,18,3,infeasible
'001101,17,3,infeasible
'001111,17,4,infeasible
'010100,100,2,feasible
'100100,82,2,feasible
'010001,63,2,feasible
'100001,46,2,feasible
'101001,96,3,feasible
'101100,80,3,feasible
'110100,73,3,feasible
'011100,68,3,feasible
'101010,53,3,feasible
'010011,34,3,feasible
'011001,34,3,feasible
'010110,30,3,feasible
'011010,28,3,feasible
'110001,25,3,feasible
'100110,24,3,feasible
'100011,17,3,feasible
'100101,13,3,feasible
'010101,7,3,feasible
'111100,59,4,feasible
'111001,43,4,feasible
'110110,38,4,feasible
'111010,26,4,feasible
'101011,22,4,feasible
'101101,21,4,feasible
'011011,20,4,feasible
'100111,20,4,feasible
'011110,19,4,feasible
'110011,18,4,feasible
'010111,16,4,feasible
'101110,14,4,feasible
'011101,12,4,feasible
'110101,10,4,feasible
'110111,20,5,feasible
'111101,17,5,feasible
'111110,17,5,feasible
'111011,12,5,feasible
'011111,8,5,feasible
'101111,8,5,feasible
'111111,4,6,feasible
