string,counts,energy_M,feasible
'000000,728,0,infeasible
'000001,288,1,infeasible
'100000,264,1,infeasible
'010000,238,1,infeasible
'001000,205,1,infeasible
'000100,177,1,infeasible
'000010,169,1,infeasible
'110000,157,2,infeasible
'101000,141,2,infeasible
'011000,112,2,infeasible
'001001,104,2,infeasible
'001010,85,2,infeasible
'001100,81,2,infeasible
'100010,63,2,infeasible
'000101,58,2,infeasible
'000011,55,2,infeasible
'000110,52,2,infeasible
'010010,49,2,infeasible
'111000,103,3,infeasible
'110010,49,3,infeasible
'001110,39,3,infeasible
'001101,30,3,infeasible
'001011,21,3,infeasible
'000111,20,3,infeasible
'001111,7,4,infeasible
'100100,123,2,feasible
'010001,96,2,feasible
'100001,94,2,feasible
'010100,80,2,feasible
'110001,77,3,feasible
'101100,75,3,feasible
'101010,57,3,feasible
'011001,56,3,feasible
'100011,52,3,feasible
'101001,47,3,feasible
'011100,46,3,feasible
'110100,46,3,feasible
'100101,46,3,feasible
'100110,36,3,feasible
'010101,34,3,feasible
'011010,34,3,feasible
'010011,33,3,feasible
'010110,21,3,feasible
'111100,82,4,feasible
'101110,49,4,feasible
'111001,43,4,feasible
'111010,40,4,feasible
'101101,38,4,feasible
'011110,37,4,feasible
'110110,34,4,feasible
'110101,27,4,feasible
'100111,25,4,feasible
'110011,21,4,feasible
'101011,21,4,feasible
'011101,18,4,feasible
'011011,15,4,feasible
'010111,13,4,feasible
'111110,50,5,feasible
'111101,37,5,feasible
'101111,24,5,feasible
'011111,19,5,feasible
'111011,18,5,feasible
'110111,17,5,feasible
'111111,24,6,feasible
