string,counts,energy_M,feasible
'000000,312,0,infeasible
'000010,548,1,infeasible
'100000,140,1,infeasible
'010000,105,1,infeasible
'000001,91,1,infeasible
'001000,83,1,infeasible
'000100,65,1,infeasible
'100010,206,2,infeasible
'010010,172,2,infeasible
'000110,129,2,infeasible
'000011,126,2,infeasible
'001010,125,2,infeasible
'110000,70,2,infeasible
'001100,69,2,infeasible
'001001,63,2,infeasible
'101000,61,2,infeasible
'011000,59,2,infeasible
'000101,30,2,infeasible
'110010,121,3,infeasible
'001110,115,3,infeasible
'001011,49,3,infeasible
'000111,41,3,infeasible
'111000,35,3,infeasible
'001101,28,3,infeasible
'001111,31,4,infeasible
'100001,57,2,feasible
'010001,56,2,feasible
'010100,49,2,feasible
'100100,41,2,feasible
'101010,127,3,feasible
'010110,103,3,feasible
'011010,99,3,feasible
'100110,79,3,feasible
'100011,65,3,feasible
'101001,58,3,feasible
'010011,58,3,feasible
'110100,57,3,feasible
'011100,51,3,feasible
'101100,45,3,feasible
'011001,42,3,feasible
'110001,26,3,feasible
'100101,22,3,feasible
'010101,17,3,feasible
'101110,119,4,feasible
'011110,103,4,feasible
'110110,95,4,feasible
'111010,83,4,feasible
'111100,75,4,feasible
'101011,43,4,feasible
'110011,42,4,feasible
'011011,40,4,feasible
'010111,38,4,feasible
'100111,28,4,feasible
'101101,28,4,feasible
'111001,27,4,feasible
'011101,23,4,feasible
'110101,23,4,feasible
'111110,121,5,feasible
'101111,35,5,feasible
'111101,32,5,feasible
'011111,30,5,feasible
'110111,29,5,feasible
'111011,29,5,feasible
'111111,31,6,feasible
