string,counts,energy_M,energy_Q,feasible
'0000010111001000000001000,1,1,29.0,infeasible
'1110001001001010100100000,1,1,69.0,infeasible
'1100000101000010010000000,1,1,52.0,infeasible
'0100001010111001000000010,1,1,22.0,infeasible
'0110010011110010001000000,1,1,60.0,infeasible
'0011100111101110101000000,1,1,111.0,infeasible
'1101011110110011100000010,1,1,81.0,infeasible
'0001001100101100101000000,1,1,50.0,infeasible
'0011001001101000000000010,1,1,18.0,infeasible
'1100011100110000110000000,1,1,65.0,infeasible
'1001101110001110100001001,1,2,97.0,infeasible
'0101010110100010000000011,1,2,33.0,infeasible
'1010101010011011000110000,1,2,53.0,infeasible
'1100000100100010000101000,1,2,31.0,infeasible
'1111110000001010000100100,1,2,80.0,infeasible
'0101111000010000000110000,1,2,46.0,infeasible
'1100000111010000101000001,1,2,86.0,infeasible
'1100001110101100000000011,1,2,68.0,infeasible
'0100001000011010010000001,1,2,25.0,infeasible
'1001000010000010100100001,1,2,23.0,infeasible
'0001110010010011010000010,1,2,42.0,infeasible
'0001100111001010000101000,1,2,31.0,infeasible
'0101010011111100100011000,1,2,51.0,infeasible
'0111111000001001100000110,1,2,53.0,infeasible
'1011001011000110011000000,1,2,71.0,infeasible
'1110010010011010001100000,1,2,69.0,infeasible
'1100110010100100100110000,1,2,73.0,infeasible
'0001000110001010100001100,1,2,21.0,infeasible
'0000111110010000000000110,1,2,57.0,infeasible
'1011111111100010000010010,1,2,75.0,infeasible
'0010000100111000000010010,1,2,17.0,infeasible
'0010011010000000101000001,1,2,22.0,infeasible
'1001101111100010101000100,1,2,84.0,infeasible
'0001011110111000010000010,1,2,30.0,infeasible
'0010111000000110101001000,1,2,93.0,infeasible
'0100110011100000101010000,1,2,47.0,infeasible
'1001000011000010001001000,1,2,30.0,infeasible
'1111111000111000001010000,1,2,107.0,infeasible
'1011010001001010010100000,1,2,28.0,infeasible
'0111000100101000000000110,1,2,27.0,infeasible
'1011101111001010001000010,1,2,69.0,infeasible
'0011101101101011001100000,1,2,50.0,infeasible
'0010111100110010101000001,1,2,82.0,infeasible
'0101100111100100101011000,1,3,43.0,infeasible
'1011011001011010100011010,1,3,32.0,infeasible
'1100001111101011010000110,1,3,44.0,infeasible
'1110100100111010001000101,1,3,99.0,infeasible
'0010001111000111110101000,1,3,35.0,infeasible
'1110001000111010101100100,1,3,67.0,infeasible
'1000101010001010110001100,1,3,35.0,infeasible
'0011100000000000010010010,1,3,18.0,infeasible
'1010110010011010100101100,1,3,52.0,infeasible
'1101000001011110100011010,1,3,60.0,infeasible
'0001011010010000000001110,1,3,19.0,infeasible
'0001000001000011101100001,1,3,18.0,infeasible
'0111010011011000100110100,1,3,21.0,infeasible
'1101000100001000000000111,1,3,58.0,infeasible
'0101111100000000001110000,1,3,31.0,infeasible
'0001111110011100110000101,1,3,66.0,infeasible
'1111110101101010000010101,1,3,96.0,infeasible
'0101001011110001010010010,1,3,13.0,infeasible
'0010011111101000010000101,1,3,32.0,infeasible
'1110101110100110110100100,1,3,74.0,infeasible
'1101111100011100000001110,1,3,81.0,infeasible
'0011110111111001001000011,1,3,65.0,infeasible
'0010011101010010100100101,1,3,23.0,infeasible
'1110000010010011001011000,1,3,60.0,infeasible
'1011101011101000100011100,1,3,49.0,infeasible
'1011011010100110101100100,1,3,64.0,infeasible
'1010111100010000011000001,1,3,78.0,infeasible
'1101110101000010000011010,1,3,50.0,infeasible
'0100000110000001010001010,1,3,14.0,infeasible
'1101110001011000100011001,1,3,88.0,infeasible
'1101100000111000010100100,1,3,44.0,infeasible
'1010110000010010101101000,1,3,55.0,infeasible
'0011110110111000001000101,1,3,63.0,infeasible
'0010010111110010100001110,1,3,20.0,infeasible
'0011101000111100110001010,1,3,40.0,infeasible
'1011000000100000001001100,1,3,33.0,infeasible
'0000101001100000000010101,1,3,30.0,infeasible
'1010110001010010101100001,1,3,69.0,infeasible
'1111101100101010000010011,1,3,66.0,infeasible
'1101111000111010101011001,1,4,85.0,infeasible
'0011010001110000100011011,1,4,20.0,infeasible
'1011000101101100110001110,1,4,25.0,infeasible
'1011010110101010101111000,1,4,20.0,infeasible
'1011110100011010011010100,1,4,43.0,infeasible
'1000000000001000100011101,1,4,23.0,infeasible
'0101000111001000110101100,1,4,24.0,infeasible
'1110100011010001000111100,1,4,38.0,infeasible
'1011110111001010000111100,1,4,33.0,infeasible
'0010011011101111111001100,1,4,39.0,infeasible
'0100111111001010110001101,1,4,50.0,infeasible
'0101001100000000100111100,1,4,16.0,infeasible
'1110111010000001110001110,1,4,65.0,infeasible
'1101001011111000110011010,1,4,33.0,infeasible
'0001011011101010101000111,1,4,19.0,infeasible
'1101101101101000000001111,1,4,67.0,infeasible
'0100110000010000101000111,1,4,30.0,infeasible
'0101010011100000111010001,1,4,13.0,infeasible
'1011001011101100000011110,1,4,23.0,infeasible
'1100011000110110100011110,1,4,42.0,infeasible
'1110011000101000000001111,1,4,55.0,infeasible
'1101110100011000101101100,1,4,58.0,infeasible
'0000111101011110100011011,1,4,71.0,infeasible
'0011010101011100101011001,1,4,34.0,infeasible
'0000100111000111110011001,1,4,46.0,infeasible
'1100101011001000000001111,1,4,58.0,infeasible
'0011010010110011111010100,1,4,18.0,infeasible
'0110000001110001111011100,1,5,29.0,infeasible
'1010110010101110000011111,1,5,42.0,infeasible
'0111111100101100111011001,1,5,42.0,infeasible
'0010100010111000010001111,1,5,33.0,infeasible
'1111000101001100111011100,1,5,49.0,infeasible
'1011100100111110011111000,1,5,38.0,infeasible
'0111001000010010111011001,1,5,26.0,infeasible
'1110011010001010001111100,1,5,34.0,infeasible
'0110100101100001111110100,1,5,17.0,infeasible
'1111010101111011101111100,1,5,44.0,infeasible
'0110011110010000110011111,1,6,34.0,infeasible
'1010100010001010100110010,1,3,19.0,feasible
'0111110010111100100100110,1,3,32.0,feasible
'1011111111101010001010010,1,3,63.0,feasible
'0100011101111000101100010,1,3,25.0,feasible
'0111100110100110000100011,1,3,45.0,feasible
'0101000111100001001010010,1,3,23.0,feasible
'1001011111101010101001010,1,3,33.0,feasible
'1001000110001010100101001,1,3,19.0,feasible
'0111101000100110001001010,1,3,49.0,feasible
'1011111110101000000100110,1,3,60.0,feasible
'1000001101101000101001010,1,3,23.0,feasible
'1101001101111010000100011,1,3,47.0,feasible
'1000001100101110111000010,1,3,44.0,feasible
'0001011100000000000110001,1,3,11.0,feasible
'0100110011010000101001010,1,3,37.0,feasible
'0111111010100111100100110,1,3,65.0,feasible
'0000111110111000001100010,1,3,45.0,feasible
