string,counts,energy_M,energy_Q,feasible
'0111100011010011100000100,1,1,67.0,infeasible
'0000110001011000101000000,1,1,69.0,infeasible
'1110010010011000000010000,1,1,74.0,infeasible
'1010100101100101000000010,1,1,86.0,infeasible
'1010011001110100000100000,1,1,72.0,infeasible
'1010001000001100110000000,1,1,52.0,infeasible
'0100011011010010110000000,1,1,37.0,infeasible
'1111001101000111110010000,1,2,98.0,infeasible
'0010001001111000101000010,1,2,23.0,infeasible
'1001110101010101101000100,1,2,104.0,infeasible
'0010100000010001100010010,1,2,19.0,infeasible
'1111011001001111000010010,1,2,97.0,infeasible
'0010001100010100010000010,1,2,21.0,infeasible
'1110101101101011000000011,1,2,101.0,infeasible
'0110000101110101100000110,1,2,49.0,infeasible
'1001101001010100100010100,1,2,66.0,infeasible
'1010000101011000110000001,1,2,54.0,infeasible
'1000100101001010000000011,1,2,51.0,infeasible
'0010000000011000011000000,1,2,21.0,infeasible
'0001100101010010010010000,1,2,32.0,infeasible
'1000111000011010000010010,1,2,62.0,infeasible
'1001100010000000001000001,1,2,50.0,infeasible
'1001110111101001010001000,1,2,64.0,infeasible
'1101000110110101001010000,1,2,96.0,infeasible
'0100110010111100000010010,1,2,55.0,infeasible
'0010100110110001100110000,1,2,25.0,infeasible
'0010111101001110101001000,1,2,104.0,infeasible
'1010001011101000100011000,1,2,32.0,infeasible
'1101001100010000000011000,1,2,44.0,infeasible
'0110110110000111000010001,1,2,107.0,infeasible
'0000010100010000000110000,1,2,10.0,infeasible
'0001011010001010100100100,1,2,14.0,infeasible
'0111011111001101100000110,1,2,56.0,infeasible
'1010011001000100010100000,1,2,37.0,infeasible
'1010000011010111001010000,1,2,107.0,infeasible
'1100100101100001101000100,1,2,90.0,infeasible
'0111001001000110110001010,1,3,26.0,infeasible
'0011001000010001010010001,1,3,18.0,infeasible
'1010000010010101101101000,1,3,45.0,infeasible
'1101001010000001000001110,1,3,36.0,infeasible
'0100000011001110001000101,1,3,52.0,infeasible
'1100000101110100001100100,1,3,75.0,infeasible
'0000110100011001010000101,1,3,43.0,infeasible
'0000001101011010101010001,1,3,32.0,infeasible
'1111100001100101101100001,1,3,94.0,infeasible
'0111110000100100101101000,1,3,47.0,infeasible
'1111000111110011111010000,1,3,74.0,infeasible
'0010001100101010110000101,1,3,12.0,infeasible
'0011110101000111100011010,1,3,71.0,infeasible
'1001011010101000010010001,1,3,25.0,infeasible
'0011100101000000001000101,1,3,36.0,infeasible
'1011001000110100101100001,1,3,46.0,infeasible
'0001000010110010111000001,1,3,18.0,infeasible
'1001100111100011010010010,1,3,24.0,infeasible
'1000111001011000011000100,1,3,59.0,infeasible
'0000010001010100001000101,1,3,28.0,infeasible
'1000101010000000111001000,1,3,35.0,infeasible
'1000001011110100111100000,1,3,40.0,infeasible
'0000101000011100110001001,1,3,53.0,infeasible
'1110001111001101010001010,1,3,43.0,infeasible
'0111011111001111100001101,1,3,65.0,infeasible
'0100110101000001111000001,1,3,42.0,infeasible
'1001100011100011010010100,1,3,29.0,infeasible
'0010110101001011011001000,1,3,39.0,infeasible
'1100100100001010101011000,1,3,51.0,infeasible
'1100000101010010110110000,1,3,33.0,infeasible
'1110011100111001000110100,1,3,47.0,infeasible
'1110111100011001101011000,1,3,98.0,infeasible
'0101110011010001010101000,1,3,37.0,infeasible
'0100101011010100000010101,1,3,42.0,infeasible
'0011001101011110010101000,1,3,32.0,infeasible
'0110011111100100000010101,1,3,44.0,infeasible
'1010010111001101110110000,1,3,35.0,infeasible
'1010101100110100011000100,1,3,56.0,infeasible
'1010111101010011100010011,1,3,69.0,infeasible
'1000000001100000001010001,1,3,30.0,infeasible
'1110100100111100011010001,1,4,70.0,infeasible
'0111111011010100111010001,1,4,54.0,infeasible
'0110010100011011111001100,1,4,24.0,infeasible
'1011011010001001110010011,1,4,24.0,infeasible
'0001000111100011111100100,1,4,33.0,infeasible
'1010111000100000000011110,1,4,46.0,infeasible
'0111000010000110011010001,1,4,40.0,infeasible
'0011110100100110011001001,1,4,48.0,infeasible
'1000101101100110000011101,1,4,51.0,infeasible
'0100010111100011101101100,1,4,25.0,infeasible
'0111101011010011101111000,1,4,28.0,infeasible
'1110111000110110110001110,1,4,68.0,infeasible
'0101011000010100010101100,1,4,14.0,infeasible
'0010100111010100111001001,1,4,32.0,infeasible
'1000111000010100000010111,1,4,46.0,infeasible
'0100110100111111100011011,1,4,66.0,infeasible
'1000010010011000011001100,1,4,28.0,infeasible
'1011011011010111110111000,1,4,47.0,infeasible
'1011000001100000100010111,1,4,37.0,infeasible
'0001011001110000110101100,1,4,32.0,infeasible
'1010011001011010010010101,1,4,33.0,infeasible
'0000101001101010101011100,1,4,25.0,infeasible
'0000101000000001101011100,1,4,20.0,infeasible
'0110110101010101110011010,1,4,36.0,infeasible
'0110110110101011110010011,1,4,29.0,infeasible
'0101110100010101010001101,1,4,44.0,infeasible
'0001100000110110011001001,1,4,41.0,infeasible
'0000110101010010011101000,1,4,31.0,infeasible
'1000101001010000110011001,1,4,43.0,infeasible
'1110011000111010100010111,1,4,46.0,infeasible
'0100011010001100001111000,1,4,19.0,infeasible
'1001101110110011101111000,1,4,30.0,infeasible
'0111100101011001001100101,1,4,35.0,infeasible
'0011100101100111001011100,1,4,51.0,infeasible
'1001101100010010111010100,1,4,29.0,infeasible
'0011111101110011011100100,1,4,33.0,infeasible
'1011000111101100101011001,1,4,44.0,infeasible
'0101100011000011001111000,1,4,15.0,infeasible
'0101110110111010010011001,1,4,51.0,infeasible
'1110001001011101010110100,1,4,52.0,infeasible
'0000011001111000011011001,1,5,35.0,infeasible
'1011011011111000011011100,1,5,31.0,infeasible
'1100110100100010010111100,1,5,28.0,infeasible
'1000010100010100000011111,1,5,18.0,infeasible
'0010000100001010110010111,1,5,22.0,infeasible
'0010100010001001011101100,1,5,15.0,infeasible
'0111010010011111011101100,1,5,30.0,infeasible
'0001001100010001110010111,1,5,27.0,infeasible
'1011100100000101000011111,1,5,33.0,infeasible
'0101001100011000001111100,1,5,19.0,infeasible
'1101011100111000010111100,1,5,31.0,infeasible
'1100111110011001111110100,1,5,42.0,infeasible
'0011010110000111110011011,1,5,39.0,infeasible
'1111110000001110000011111,1,5,65.0,infeasible
'1111011010110011010010111,1,5,37.0,infeasible
'1101011101011011011111100,1,6,22.0,infeasible
'0101100010001101011000010,1,3,28.0,feasible
'1101110110110110100101001,1,3,91.0,feasible
'1010011011110001000110010,1,3,18.0,feasible
'0000101101110110000101001,1,3,59.0,feasible
'0010011001000100100100110,1,3,17.0,feasible
'0111100111010001001010010,1,3,27.0,feasible
'0100111111100011111000010,1,3,47.0,feasible
'0001100011111011011000010,1,3,27.0,feasible
'0001111001010101011000010,1,3,51.0,feasible
'1010100011110011100100110,1,3,35.0,feasible
'1010100011001100111100010,1,4,21.0,feasible
'1110110101000111100110011,1,4,73.0,feasible
'0011000000000001001010101,1,4,10.0,feasible
'1001001111100011000110011,1,4,21.0,feasible
'0001110000011101001010101,1,4,46.0,feasible
'0000001000101100010110001,1,4,18.0,feasible
'0011000100110101011010010,1,4,37.0,feasible
'0011110101011001000100111,1,4,35.0,feasible
'0011101101000111101101010,1,4,43.0,feasible
'0010111001000001100100111,1,4,41.0,feasible
'1111000010110001001110010,1,4,39.0,feasible
'0110011110001111011000101,1,4,49.0,feasible
'0100101101001010001001101,1,4,33.0,feasible
'0000100100101111101010110,1,4,47.0,feasible
'0001100001110110101110001,1,4,49.0,feasible
'1111001010010011011000011,1,4,50.0,feasible
'0110000100000011000110101,1,4,15.0,feasible
'1010000111000001010100011,1,4,28.0,feasible
'0000011000001100001010011,1,4,18.0,feasible
'1001100010100000001010011,1,4,21.0,feasible
'0001011000001000001010101,1,4,8.0,feasible
'0000001011010100011010010,1,4,25.0,feasible
'1010110001011000100110101,1,4,50.0,feasible
'0100010111010101101110001,1,4,35.0,feasible
'0100110100110111101001011,1,4,63.0,feasible
'1011010010111110001100110,1,4,40.0,feasible
'0010101001000000000111001,1,4,30.0,feasible
'1001011100000000000111001,1,4,18.0,feasible
'1101010110100010100101101,1,4,39.0,feasible
'0100010110011111010110001,1,4,40.0,feasible
'0011110100100001110101001,1,4,36.0,feasible
'1010001000001000011010010,1,4,24.0,feasible
'0011011001010110011100001,1,4,30.0,feasible
'0011111000011010011000110,1,4,26.0,feasible
'0101110111011111111100010,1,4,48.0,feasible
'1101000011000111000101101,1,4,52.0,feasible
'0011110111001011010101010,1,4,26.0,feasible
'1010100000111110000110110,1,4,32.0,feasible
'0001001110110101000101011,1,4,19.0,feasible
'1110101111111000001101001,1,4,83.0,feasible
'1011110110010010101001011,1,4,60.0,feasible
'0101111111010011001110001,1,4,46.0,feasible
'0111111011110010111100010,1,4,27.0,feasible
'0011101000011101000111110,1,5,27.0,feasible
'1001101001000000101001111,1,5,35.0,feasible
'0010111101111100010110101,1,5,31.0,feasible
'0001001000111000011011010,1,5,40.0,feasible
'1001111011010111011001011,1,5,56.0,feasible
'0001010110100101001001111,1,5,22.0,feasible
'0001011111110000001110110,1,5,22.0,feasible
'1101111101000101011100110,1,5,40.0,feasible
'0101100011101101001110110,1,5,19.0,feasible
'1101110101001010111010110,1,5,28.0,feasible
'0111001110110110011000111,1,5,34.0,feasible
'1010100011001000011100101,1,5,36.0,feasible
'0001011001101110010110110,1,5,31.0,feasible
'1010000111111111011101001,1,5,49.0,feasible
'1010011011100100101011101,1,5,31.0,feasible
'0101010010101100100101111,1,5,7.0,feasible
'0100110111000001011001011,1,5,30.0,feasible
'1010100101011010101111001,1,5,30.0,feasible
'0000100000111010110111001,1,5,39.0,feasible
'0101110101101011110101011,1,5,25.0,feasible
'1111001100110011001101011,1,5,34.0,feasible
'0010000110011100111100101,1,5,25.0,feasible
'0001101110100010010111001,1,5,26.0,feasible
'1110001101000111011011010,1,5,51.0,feasible
'1111010001110111101101011,1,5,52.0,feasible
'1101010110111011101011011,1,5,37.0,feasible
'0001100000011101110101101,1,5,25.0,feasible
'1001001010110010101011110,1,5,17.0,feasible
'0000100000011100111101001,1,5,30.0,feasible
'1100010110110111001110110,1,5,55.0,feasible
'1100110001100011110110110,1,5,28.0,feasible
'0001110010000111001011101,1,5,49.0,feasible
'1000001101011011001101011,1,5,18.0,feasible
'0001101100001101001011011,1,5,35.0,feasible
'1011110011001001011110010,1,5,15.0,feasible
'0001111101100101101011101,1,5,47.0,feasible
'1001011110001100110101011,1,5,13.0,feasible
'0001110111111001111001011,1,5,44.0,feasible
'0100110100011000011100110,1,5,22.0,feasible
'0100011011000110011001110,1,5,15.0,feasible
'0011110001101100110101101,1,5,32.0,feasible
'1010010110110000101011101,1,5,34.0,feasible
