string,counts,energy_M,energy_Q,feasible
'1110111010000000000000000,1,0,137.0,infeasible
'1000111110001011100000000,1,0,131.0,infeasible
'1111000111100010100000100,1,1,109.0,infeasible
'1110011100000101001000000,1,1,122.0,infeasible
'0100100101000010000000001,1,1,59.0,infeasible
'1110101110110110100000001,1,1,168.0,infeasible
'0101110001100010100000010,1,1,60.0,infeasible
'0011111100101101000010001,1,2,90.0,infeasible
'0111111110001110101001000,1,2,114.0,infeasible
'1110111111000100100010010,1,2,102.0,infeasible
'0001001010010011010000001,1,2,21.0,infeasible
'0110010110100001100101000,1,2,19.0,infeasible
'0110101101110010000000011,1,2,61.0,infeasible
'0111111100111101010000010,1,2,75.0,infeasible
'0010101000111100101000010,1,2,47.0,infeasible
'0111111010001010001000010,1,2,57.0,infeasible
'1010100101000000000010001,1,2,53.0,infeasible
'0100111111110010000010100,1,2,70.0,infeasible
'0001110100110011101100000,1,2,52.0,infeasible
'0101101110001010101000001,1,2,63.0,infeasible
'0110011001100001000001001,1,2,38.0,infeasible
'1110111000001001100011000,1,2,99.0,infeasible
'1111000111000000100000110,1,2,79.0,infeasible
'1011111100111100101001000,1,2,118.0,infeasible
'1011001110011110000110000,1,2,69.0,infeasible
'1111101111111110001000100,1,2,161.0,infeasible
'0101111010101010110010000,1,2,55.0,infeasible
'1011010110011100101001000,1,2,77.0,infeasible
'0000001101101111000010001,1,2,70.0,infeasible
'0010000101110001110000110,1,3,19.0,infeasible
'1110101100000001111100000,1,3,54.0,infeasible
'1101101100110011000010110,1,3,50.0,infeasible
'1110010001110100110011000,1,3,57.0,infeasible
'0000010011111000101010001,1,3,31.0,infeasible
'1001100101001111010001100,1,3,54.0,infeasible
'1100100110101001110000011,1,3,49.0,infeasible
'1110011010011100110010001,1,3,71.0,infeasible
'0111110110011110100101100,1,3,61.0,infeasible
'1100001001000100001000011,1,3,54.0,infeasible
'0100011100010110010000101,1,3,36.0,infeasible
'0100001111100011000010101,1,3,30.0,infeasible
'0100101101110100001000011,1,3,55.0,infeasible
'0110101010001000001001001,1,3,43.0,infeasible
'1111101111100101010101000,1,3,60.0,infeasible
'1001111111011111110011000,1,3,104.0,infeasible
'1000100000000010100001101,1,3,37.0,infeasible
'1000111001100000110110000,1,3,45.0,infeasible
'0110110111011110100001101,1,3,88.0,infeasible
'0011101110110010000010101,1,3,39.0,infeasible
'1100000010010001110001001,1,3,41.0,infeasible
'0111011100100110001000011,1,3,53.0,infeasible
'1011000110110000101010100,1,3,51.0,infeasible
'1010000111101011100000111,1,3,56.0,infeasible
'0100001001111101100001110,1,3,23.0,infeasible
'1001101111111111010000110,1,3,67.0,infeasible
'0111001100010001010011000,1,3,22.0,infeasible
'1010010010101101000010011,1,3,40.0,infeasible
'1011111110011101100001110,1,3,83.0,infeasible
'0001001111001101100010110,1,3,36.0,infeasible
'1011011001000110110001010,1,3,38.0,infeasible
'0111010010101111000000111,1,3,48.0,infeasible
'1010011011110110001101000,1,3,63.0,infeasible
'0001110100110010110001010,1,3,43.0,infeasible
'1010001000110100111000100,1,3,47.0,infeasible
'1110101101000101100011010,1,3,63.0,infeasible
'1010110100001111100001011,1,3,87.0,infeasible
'1101110101111110001000011,1,3,118.0,infeasible
'0111111011101001100001110,1,3,54.0,infeasible
'0111110111000111101010001,1,3,102.0,infeasible
'0100100110100001010001101,1,4,23.0,infeasible
'0010011111110000001011001,1,4,26.0,infeasible
'1100100000111011101100101,1,4,55.0,infeasible
'0111010111100110111001100,1,4,37.0,infeasible
'0110100010111010101110100,1,4,20.0,infeasible
'0101110011010010111001001,1,4,42.0,infeasible
'0101111100011010110000111,1,4,44.0,infeasible
'1111100011010001000011011,1,4,48.0,infeasible
'1100011010110010011101000,1,4,28.0,infeasible
'1101111000100001110110100,1,4,47.0,infeasible
'0111101100011110101100101,1,4,48.0,infeasible
'1010010000110111100011011,1,4,46.0,infeasible
'0001011101110010101000111,1,4,25.0,infeasible
'0111000101100001011001001,1,4,17.0,infeasible
'1101010000100001100010111,1,4,35.0,infeasible
'1000001110011011110010011,1,4,28.0,infeasible
'1110100111011000110001110,1,4,52.0,infeasible
'1010000010110011011101000,1,4,25.0,infeasible
'0000000111010000001101100,1,4,24.0,infeasible
'0010011010010011110001101,1,4,15.0,infeasible
'1111010101111001010000111,1,4,61.0,infeasible
'1101111111011001001111000,1,4,57.0,infeasible
'0111100001100011111101000,1,4,22.0,infeasible
'0011101010001000001011001,1,4,27.0,infeasible
'1000011100011101010010101,1,4,35.0,infeasible
'1110000101110110111010100,1,4,87.0,infeasible
'1110101001001110010001011,1,4,58.0,infeasible
'1011001011010001110001101,1,4,34.0,infeasible
'0101100111011111010001101,1,4,48.0,infeasible
'0110000111111100010101100,1,4,20.0,infeasible
'1100111011001111110110100,1,4,67.0,infeasible
'0110011000000100011001100,1,4,16.0,infeasible
'1010011010100010100011101,1,4,26.0,infeasible
'0100111111100010001011001,1,4,51.0,infeasible
'0110001010101010010111100,1,5,16.0,infeasible
'0000011001111101111011100,1,5,36.0,infeasible
'0111110001010001110011110,1,5,29.0,infeasible
'1100010010110000011101100,1,5,35.0,infeasible
'1101101000010000110011101,1,5,56.0,infeasible
'1010110011110011011110100,1,5,27.0,infeasible
'0101100111010000110011110,1,5,24.0,infeasible
'1110001100010011010010111,1,5,42.0,infeasible
'0011000111111101111011001,1,5,39.0,infeasible
'0110100100110011010010111,1,5,12.0,infeasible
'0101100111101001110011011,1,5,20.0,infeasible
'1100111010110011110011011,1,5,49.0,infeasible
