string,counts,energy_M,energy_Q,feasible
'1000010001110011000000000,1,0,78.0,infeasible
'0110010111000000000000000,1,0,54.0,infeasible
'0111111101100101000000000,1,0,147.0,infeasible
'0001100000001011100000000,1,0,56.0,infeasible
'0001110101011101001000000,1,1,110.0,infeasible
'0101010001001101100000100,1,1,58.0,infeasible
'0010010111100000100000010,1,1,33.0,infeasible
'0000010100001111100100000,1,1,64.0,infeasible
'1100010001001101101000000,1,1,108.0,infeasible
'1101111001000001000000100,1,1,115.0,infeasible
'1011110010000101100000100,1,1,111.0,infeasible
'0001111100101000100000100,1,1,73.0,infeasible
'0010010101110110010000000,1,1,66.0,infeasible
'0100011010100101000001000,1,1,51.0,infeasible
'1010101100101100000100000,1,1,77.0,infeasible
'1000100000110010100000100,1,1,60.0,infeasible
'0111001001001000001100000,1,2,22.0,infeasible
'1010100111001011001000010,1,2,66.0,infeasible
'0110100000101010001010000,1,2,35.0,infeasible
'1111000000011001011000000,1,2,71.0,infeasible
'0110101110100001000100100,1,2,42.0,infeasible
'1110011011001001001000100,1,2,86.0,infeasible
'1001101000100100100001010,1,2,50.0,infeasible
'1000010110110000000110000,1,2,22.0,infeasible
'0010011111101001110000010,1,2,22.0,infeasible
'1010100100001010010100000,1,2,31.0,infeasible
'1111110000101010101100000,1,2,89.0,infeasible
'1011100001100101101000001,1,2,99.0,infeasible
'0000100000111001000101000,1,2,31.0,infeasible
'0111110100010110101010000,1,2,103.0,infeasible
'0010111000011101100010001,1,2,95.0,infeasible
'1000110101100000100101000,1,2,62.0,infeasible
'0101001111111100001000100,1,2,70.0,infeasible
'1000111100100101001001000,1,2,99.0,infeasible
'1111010001011110100000110,1,2,91.0,infeasible
'0011101010000010100100001,1,2,33.0,infeasible
'0001101000001010000010001,1,2,39.0,infeasible
'1100100010000001011000000,1,2,51.0,infeasible
'1110111011000000010001000,1,2,92.0,infeasible
'1100000010110010000001001,1,2,52.0,infeasible
'0001000100000110001000010,1,2,49.0,infeasible
'1110111101010110011000000,1,2,141.0,infeasible
'0010110000110010001100000,1,2,42.0,infeasible
'0100010111111110101000100,1,2,93.0,infeasible
'1010011100101111100011000,1,2,86.0,infeasible
'1101010100111111110010000,1,2,102.0,infeasible
'1011110101100011101000010,1,2,81.0,infeasible
'1110011001010101110100000,1,2,71.0,infeasible
'1101111001101110100110000,1,2,115.0,infeasible
'0101111100011101110000100,1,2,79.0,infeasible
'1001101100110110100001010,1,2,74.0,infeasible
'0100010100000011100101100,1,3,12.0,infeasible
'1101001101100100010010100,1,3,48.0,infeasible
'0111100001000001110000110,1,3,19.0,infeasible
'0000100010100101111000100,1,3,29.0,infeasible
'0111011001101011110010001,1,3,29.0,infeasible
'1001110001001000001100100,1,3,46.0,infeasible
'0111101100100101000011010,1,3,42.0,infeasible
'1011011000000011110001010,1,3,27.0,infeasible
'1101001010001110110000011,1,3,51.0,infeasible
'0010101101001101110110000,1,3,35.0,infeasible
'1100000111101000001010001,1,3,62.0,infeasible
'0101110010111000001000110,1,3,34.0,infeasible
'1001110000011001101100100,1,3,44.0,infeasible
'0011010011000001010110000,1,3,8.0,infeasible
'1001001110100101000111000,1,3,26.0,infeasible
'0111010001011011010000101,1,3,31.0,infeasible
'0011010000011010011010000,1,3,27.0,infeasible
'1010110001101000001100100,1,3,63.0,infeasible
'1000001101011010000100101,1,3,36.0,infeasible
'1010100100010101011010000,1,3,60.0,infeasible
'1001000001110000000101100,1,3,30.0,infeasible
'0010010010100100011000100,1,3,16.0,infeasible
'1101010011100101010000110,1,3,47.0,infeasible
'0011110011110000110000101,1,3,52.0,infeasible
'1000011001101001001100100,1,3,38.0,infeasible
'1100000111100111001010100,1,3,111.0,infeasible
'0001000110000011100001101,1,3,18.0,infeasible
'1000101010000000101000101,1,3,51.0,infeasible
'0100000101100110110100100,1,3,39.0,infeasible
'0101001101101110010101000,1,3,26.0,infeasible
'0010001010001110000101100,1,3,20.0,infeasible
'1110001010011111001100001,1,3,100.0,infeasible
'0111000110001110000111000,1,3,35.0,infeasible
'1001011000100001100011001,1,3,28.0,infeasible
'0011001100001100110000011,1,3,17.0,infeasible
'0111101100100100000010101,1,3,46.0,infeasible
'1111001010000000010000011,1,3,50.0,infeasible
'0001011001000010000110100,1,3,14.0,infeasible
'0000101011000100000001110,1,3,28.0,infeasible
'0010111000001001101000110,1,3,31.0,infeasible
'0110100101101100010001001,1,3,37.0,infeasible
'1011010100011001101001001,1,3,54.0,infeasible
'1000000110111010000101100,1,3,23.0,infeasible
'0001011101000010011010100,1,4,10.0,infeasible
'1111011101010001111101000,1,4,40.0,infeasible
'1000001000111100110110100,1,4,28.0,infeasible
'1001110011101110011101000,1,4,47.0,infeasible
'1101111010011101011010100,1,4,73.0,infeasible
'1000000010101111101110100,1,4,64.0,infeasible
'0111000000100111101110100,1,4,60.0,infeasible
'0110110100001010011010100,1,4,22.0,infeasible
'1010000001000011100011011,1,4,17.0,infeasible
'0111100101011110111011000,1,4,55.0,infeasible
'0011000101011011101111000,1,4,27.0,infeasible
'0111110101001111111010001,1,4,68.0,infeasible
'0010011110010110101110100,1,4,39.0,infeasible
'0110100001010101010001101,1,4,28.0,infeasible
'0001011001110101001110100,1,4,33.0,infeasible
'0100100011110101010010110,1,4,17.0,infeasible
'0100001010000101010010110,1,4,23.0,infeasible
'0001000110110101010011100,1,4,32.0,infeasible
'0000101001001011011100100,1,4,17.0,infeasible
'1011110100101011110110100,1,4,28.0,infeasible
'0111010000100111110000111,1,4,29.0,infeasible
'1001100000100010110010101,1,4,23.0,infeasible
'0101001000001011001000111,1,4,13.0,infeasible
'1100010100000111111101000,1,4,51.0,infeasible
'1111010000100001000011110,1,4,37.0,infeasible
'0110000001000011011001100,1,4,16.0,infeasible
'0010010000000101111100100,1,4,21.0,infeasible
'1000100000111010100011011,1,4,29.0,infeasible
'0000011000101111100010111,1,4,32.0,infeasible
'0101111001011011011001001,1,4,61.0,infeasible
'1111110111100110011101100,1,5,55.0,infeasible
'1000110010001011111101100,1,5,25.0,infeasible
'1011010100110010010011011,1,5,23.0,infeasible
'1011001000101100010111100,1,5,26.0,infeasible
'0000110010111001011101100,1,5,29.0,infeasible
'0000011001001001011011100,1,5,16.0,infeasible
'0010001111010010011101100,1,5,16.0,infeasible
'1101000101110000000100010,1,2,44.0,feasible
'1101010100000110101100010,1,3,59.0,feasible
'0000101000101000000101001,1,3,36.0,feasible
'1000111000000110101001010,1,3,75.0,feasible
'0010011101110100010100001,1,3,25.0,feasible
'0011101100110100000101010,1,3,27.0,feasible
'1001111011011010000100110,1,3,44.0,feasible
'0101100001000111111000010,1,3,47.0,feasible
'1000110000101010001100010,1,3,31.0,feasible
'0000100100110110100110001,1,3,45.0,feasible
'0000110000100010000100110,1,3,25.0,feasible
'0101101001100010011000010,1,3,19.0,feasible
'0001000001100101000110001,1,3,32.0,feasible
'1111110100001110100110001,1,3,93.0,feasible
'0010000110100010100101001,1,3,9.0,feasible
'0000100000100010101100010,1,3,13.0,feasible
'0111000011111110010100010,1,3,33.0,feasible
'0001110001001100100100110,1,3,31.0,feasible
'0110011100110101010100001,1,3,26.0,feasible
'1001011010110100101101010,1,4,15.0,feasible
'0001110100000000111000101,1,4,30.0,feasible
'0110001010100010110110010,1,4,12.0,feasible
'1100111100111000110110001,1,4,59.0,feasible
'1100101010001110010110010,1,4,38.0,feasible
'0001011001110110010110010,1,4,36.0,feasible
'1100000000100000110101010,1,4,33.0,feasible
'1011010100100011101101010,1,4,17.0,feasible
'0001000101101001011001010,1,4,17.0,feasible
'0110101000100011100110110,1,4,16.0,feasible
'1000001101011011110100110,1,4,16.0,feasible
'0100010001100010101010110,1,4,13.0,feasible
'0001101110110111001100011,1,4,51.0,feasible
'1101110001111101000100111,1,4,61.0,feasible
'1000010000101110000101011,1,4,20.0,feasible
'1000011100101101000110110,1,4,19.0,feasible
'0001101101010010010110010,1,4,19.0,feasible
'1000100101100101101010110,1,4,40.0,feasible
'0111111101010011101010101,1,4,56.0,feasible
'0011010100010001100100111,1,4,13.0,feasible
'0000000001101010110100011,1,4,18.0,feasible
'1100001001101100000100111,1,4,42.0,feasible
'1111001100010111110110001,1,4,62.0,feasible
'0111010101100101010101001,1,4,15.0,feasible
'1111100000100000100101011,1,4,50.0,feasible
'0000010001000011000110011,1,4,13.0,feasible
'0111011000110011000110110,1,4,8.0,feasible
'1010101001100010011100010,1,4,24.0,feasible
'0011001111110111001110010,1,4,54.0,feasible
'0001111000010001110101001,1,4,59.0,feasible
'0101101001111011010100011,1,4,24.0,feasible
'0001100001001011111000101,1,4,16.0,feasible
'1110100111000101001100110,1,4,68.0,feasible
'1000010001100011111000011,1,4,18.0,feasible
