string,counts,energy_M,energy_Q,feasible
'0110101011111010110100000,1,2,45.0,infeasible
'1110010001111100100000101,1,2,107.0,infeasible
'0010000001111110100001100,1,2,51.0,infeasible
'0101101001010000110010000,1,2,38.0,infeasible
'0100110111101011001000010,1,2,66.0,infeasible
'1100010010110000100001010,1,2,39.0,infeasible
'0010101100000000110000100,1,2,29.0,infeasible
'1100011000100010010000001,1,2,51.0,infeasible
'0001011010100011000101000,1,2,19.0,infeasible
'0001011010011110101001000,1,2,69.0,infeasible
'1001000001110100001000010,1,2,50.0,infeasible
'1010111111100000100011000,1,2,81.0,infeasible
'0000111100010010100110000,1,2,52.0,infeasible
'0100000000001111001000010,1,2,58.0,infeasible
'0000101000111101100100100,1,2,46.0,infeasible
'1101011110111111100110000,1,2,99.0,infeasible
'1101000001100000001010000,1,2,52.0,infeasible
'0111111010111001010100000,1,2,54.0,infeasible
'0010011110011000000001001,1,2,46.0,infeasible
'0001000101010000100010100,1,2,23.0,infeasible
'1000001101101011000010100,1,2,43.0,infeasible
'0101111111100011000001010,1,2,73.0,infeasible
'0100010110010000111000000,1,2,29.0,infeasible
'1001011000111000100010110,1,3,23.0,infeasible
'1101101100010110100001110,1,3,71.0,infeasible
'1011001101001011101001100,1,3,46.0,infeasible
'1111110001000100000011001,1,3,91.0,infeasible
'1110001000001100100010110,1,3,52.0,infeasible
'1100111110100010000100101,1,3,89.0,infeasible
'0111110010001010101100100,1,3,35.0,infeasible
'1100011001101101110010010,1,3,41.0,infeasible
'1000010010100010001110000,1,3,19.0,infeasible
'1010100110111001001110000,1,3,40.0,infeasible
'0001111010110111010110000,1,3,75.0,infeasible
'0001111100011011110000101,1,3,58.0,infeasible
'1110001011100010000011001,1,3,47.0,infeasible
'0001101011110000100111000,1,3,38.0,infeasible
'1001100011111001100011100,1,3,42.0,infeasible
'1111111011000000000011010,1,3,69.0,infeasible
'1111100111101010000001011,1,3,74.0,infeasible
'1000010110111001100010011,1,3,32.0,infeasible
'1010011101100100001001100,1,3,55.0,infeasible
'1111110111001111100010101,1,3,132.0,infeasible
'0000110100111000100011100,1,3,45.0,infeasible
'0101101111011001111010000,1,3,40.0,infeasible
'0100111010100111000110100,1,3,68.0,infeasible
'0101010100101000101100100,1,3,20.0,infeasible
'0110101110001011100101100,1,3,32.0,infeasible
'1011111010111100100100101,1,3,79.0,infeasible
'0100110111100011110000011,1,3,44.0,infeasible
'0000001011101101110110000,1,3,34.0,infeasible
'0001000001000001100101100,1,3,17.0,infeasible
'1111101110100111101110000,1,3,106.0,infeasible
'0001110111100100001000011,1,3,64.0,infeasible
'1000000010011111110100100,1,3,49.0,infeasible
'0000010011001111101000110,1,3,48.0,infeasible
'1010101000110111101110000,1,3,88.0,infeasible
'0101001000101000101100100,1,3,17.0,infeasible
'0111010000110000100010011,1,3,17.0,infeasible
'1111111100101000010110000,1,3,57.0,infeasible
'0100000100100101001101000,1,3,25.0,infeasible
'1001011001100010101010001,1,3,39.0,infeasible
'0010011110001100011001001,1,4,21.0,infeasible
'0101101110100111110011010,1,4,49.0,infeasible
'0110000101011011100011011,1,4,18.0,infeasible
'1100101111110110111101000,1,4,59.0,infeasible
'1010011101011110010001101,1,4,45.0,infeasible
