string,counts,energy_M,energy_Q,feasible
'1100111011101101100010000,1,1,141.0,infeasible
'0111101110011010100100000,1,1,63.0,infeasible
'0110101110011101000000100,1,1,95.0,infeasible
'1001010111001110100000100,1,1,100.0,infeasible
'0000100111101010000000100,1,1,57.0,infeasible
'1110111110111110110000000,1,1,166.0,infeasible
'0111000000101101100001001,1,2,38.0,infeasible
'0001000110001101000001010,1,2,34.0,infeasible
'0101110010101001000000101,1,2,60.0,infeasible
'1011001000000100101010000,1,2,58.0,infeasible
'1100110110001001111000000,1,2,81.0,infeasible
'1110010110011111110001000,1,2,104.0,infeasible
'1011011110001001000101000,1,2,34.0,infeasible
'0111001010010101010000010,1,2,32.0,infeasible
'0100111110000110100010010,1,2,87.0,infeasible
'0010111011101110010001000,1,2,86.0,infeasible
'1110111000101111101100000,1,2,146.0,infeasible
'1111001110101010000010001,1,2,74.0,infeasible
'0000110110110111001100000,1,2,95.0,infeasible
'0001001101110101100101000,1,2,39.0,infeasible
'1101101110000110010100000,1,2,74.0,infeasible
'0111101011011010110100000,1,2,41.0,infeasible
'1101100010001110101010000,1,2,106.0,infeasible
'1111100101101100100000110,1,2,92.0,infeasible
'0001010111110111001000010,1,2,82.0,infeasible
'0001100001000110000110000,1,2,55.0,infeasible
'0100001101000101000000110,1,2,37.0,infeasible
'0111111011011001110011000,1,3,65.0,infeasible
'0101100001011010100100101,1,3,31.0,infeasible
'0011110001010100100100101,1,3,45.0,infeasible
'0010111011100101001110000,1,3,64.0,infeasible
'0000000111011010001101000,1,3,25.0,infeasible
'0000010000011000101100001,1,3,17.0,infeasible
'0010100101011010000001011,1,3,35.0,infeasible
'0001101001001110100001110,1,3,42.0,infeasible
'1000001011011100001100100,1,3,45.0,infeasible
'1110110110011001101000101,1,3,119.0,infeasible
'0011101111011010010000101,1,3,46.0,infeasible
'0110110101011011100010110,1,3,38.0,infeasible
'0100011101111110010001010,1,3,35.0,infeasible
'1011110101101101111000001,1,3,88.0,infeasible
'1000011110101001101000110,1,3,38.0,infeasible
'0000001110110101110010100,1,3,34.0,infeasible
'0110101011011111001000110,1,3,69.0,infeasible
'0000100111010110001011000,1,3,64.0,infeasible
'1001100010001010011000001,1,3,35.0,infeasible
'0101111001100101110001010,1,3,55.0,infeasible
'0101100110101000000101100,1,3,24.0,infeasible
'1101110100111011110010001,1,3,79.0,infeasible
'1011111110001001001101000,1,3,61.0,infeasible
'1101001100001001000001011,1,3,41.0,infeasible
'0101011011101110100011001,1,3,51.0,infeasible
'0101111011100010001000101,1,3,70.0,infeasible
'0001110011010010101010100,1,3,37.0,infeasible
'0000101110100100001100001,1,3,42.0,infeasible
'0100010010011100001000011,1,3,31.0,infeasible
'1011001110000010100011001,1,3,32.0,infeasible
'0011000000001100010001100,1,3,16.0,infeasible
'0111010011110100101000110,1,3,37.0,infeasible
'1010011011000111001101000,1,3,65.0,infeasible
'1010000000010110101101000,1,3,55.0,infeasible
'1100010101001100001000110,1,3,61.0,infeasible
'0001000110111010110011000,1,3,35.0,infeasible
'0000011111010110100011100,1,3,47.0,infeasible
'0100101110010110011001000,1,3,60.0,infeasible
'1011001011111000100001101,1,3,57.0,infeasible
'0101101100100101110111000,1,4,30.0,infeasible
'1110111000100101000011011,1,4,78.0,infeasible
'0010101111111000100010111,1,4,35.0,infeasible
'1010011101010101010001011,1,4,28.0,infeasible
'1001000001100101001000111,1,4,46.0,infeasible
'1101101110001010000011110,1,4,41.0,infeasible
'1101100111111000110010101,1,4,59.0,infeasible
'1111011010010110101011001,1,4,81.0,infeasible
'1011111010101011100011101,1,4,63.0,infeasible
'1100111110101011010001110,1,4,51.0,infeasible
'1110111001101010110010110,1,4,49.0,infeasible
'0010001100111111110111000,1,4,49.0,infeasible
'0111000001001101010010101,1,4,28.0,infeasible
'1011001101101001110001101,1,4,35.0,infeasible
'1001111111101011100001111,1,4,66.0,infeasible
'0101100110001010101111000,1,4,16.0,infeasible
'1001001010010011010010011,1,4,23.0,infeasible
'1111000011111110100011110,1,4,59.0,infeasible
'1110111110101001001011001,1,4,84.0,infeasible
'1000100010110111100011011,1,4,48.0,infeasible
'0110000011111110011101000,1,4,41.0,infeasible
'1111101001001010010010011,1,4,45.0,infeasible
'1011101110111010010001011,1,4,49.0,infeasible
'1100110111101110111101000,1,4,63.0,infeasible
'0001100111100101101011001,1,4,41.0,infeasible
'0011011011011011100011110,1,4,16.0,infeasible
'1010110101001010111001100,1,4,43.0,infeasible
'0010000110101000101111000,1,4,17.0,infeasible
'1011101111101010010001011,1,4,41.0,infeasible
'0010111011101110010001110,1,4,41.0,infeasible
'1011100100000111011001001,1,4,58.0,infeasible
'1100111111101010110101100,1,4,55.0,infeasible
'0010000010101000011010100,1,4,16.0,infeasible
'1100011110001010011110000,1,4,26.0,infeasible
'0010001111011101110110100,1,4,28.0,infeasible
'1111101011101110111101000,1,4,64.0,infeasible
'0011001110111111110101100,1,4,32.0,infeasible
'0010001011101110110011001,1,4,29.0,infeasible
'0110110111111011010010101,1,4,43.0,infeasible
'1001101100111110110111000,1,4,46.0,infeasible
'0010011111110010001011100,1,4,19.0,infeasible
'1010100010001111111110100,1,5,46.0,infeasible
'1000010100011001110011011,1,5,29.0,infeasible
'0110111011001000100011111,1,5,41.0,infeasible
'0011011101111001010001111,1,5,27.0,infeasible
'1000010001011000010011110,1,5,26.0,infeasible
'1101101000011010010011101,1,5,52.0,infeasible
'1010001000111101110111100,1,5,35.0,infeasible
'0000011111101111010011011,1,5,35.0,infeasible
'1110010010111010111011001,1,5,49.0,infeasible
'0100000110111110110011110,1,5,35.0,infeasible
'1101010010011010011111000,1,5,33.0,infeasible
'0101111100001000100011111,1,5,48.0,infeasible
'1100100110110101011011001,1,5,45.0,infeasible
'0101101111101010111101100,1,5,19.0,infeasible
'0011111011101011110011011,1,5,40.0,infeasible
'0011100011011010010011111,1,6,26.0,infeasible
'0101101100110100000101001,1,3,40.0,feasible
'1111110001101101101001010,1,3,87.0,feasible
'1111000010011101110100001,1,3,60.0,feasible
'0100101110101111000110010,1,3,52.0,feasible
'1110100101100110111000010,1,3,77.0,feasible
'1100101011111001100110010,1,3,37.0,feasible
'0000111111111011010100101,1,4,47.0,feasible
'1000111010001101100101110,1,4,40.0,feasible
'1110101100101010010110001,1,4,39.0,feasible
'1001111110101001101101001,1,4,57.0,feasible
'0010110100000110001100110,1,4,38.0,feasible
'1001010011101000001100110,1,4,29.0,feasible
'1010010110111110100110101,1,4,46.0,feasible
'1001100100001001011000110,1,4,21.0,feasible
'0011011010111010111001010,1,4,18.0,feasible
'0111101110101011010100011,1,4,20.0,feasible
'0110100001101110100100111,1,4,31.0,feasible
'0110000101011110001100110,1,4,43.0,feasible
'1111010010111011101110010,1,4,39.0,feasible
'0011010101111101100111001,1,4,30.0,feasible
'1001011111010011000111010,1,4,10.0,feasible
