string,counts,energy_M,energy_Q,feasible
'1010101101001110000000000,1,0,145.0,infeasible
'1001010100011101100001000,1,1,79.0,infeasible
'1110010111001011000000100,1,1,106.0,infeasible
'0010100010010110100100000,1,1,64.0,infeasible
'1010001001000110100001000,1,1,76.0,infeasible
'1101001000110001000000100,1,1,66.0,infeasible
'0001001011010001000000100,1,1,26.0,infeasible
'1101000101100101100000010,1,1,85.0,infeasible
'1010010000010110000000100,1,1,85.0,infeasible
'1000010110011111000010000,1,1,112.0,infeasible
'0101011001100101000010000,1,1,65.0,infeasible
'1101110000111101100000011,1,2,105.0,infeasible
'1101011100011110001000001,1,2,123.0,infeasible
'0101100000101101010001000,1,2,45.0,infeasible
'0001110000010110100000110,1,2,59.0,infeasible
'0011111010100011010000010,1,2,47.0,infeasible
'0011001010110100100000101,1,2,33.0,infeasible
'1110101001101010010000001,1,2,91.0,infeasible
'0010000111011110100010100,1,2,67.0,infeasible
'0011101101010001000010100,1,2,37.0,infeasible
'0001001010111001110000100,1,2,21.0,infeasible
'0000001100100110001100000,1,2,48.0,infeasible
'1101001100000001000000101,1,2,66.0,infeasible
'1010111010011111001000100,1,2,138.0,infeasible
'1110001111010011101000100,1,2,108.0,infeasible
'0110001101000111110010000,1,2,63.0,infeasible
'0010111101001100100010001,1,2,82.0,infeasible
'1000111101000000110010000,1,2,55.0,infeasible
'0010100101001100000001100,1,2,39.0,infeasible
'1000111110101101010000010,1,2,74.0,infeasible
'0100001001111010001000100,1,2,42.0,infeasible
'1110001111011100110010000,1,2,80.0,infeasible
'0000010101001000100001100,1,2,21.0,infeasible
'1010101011111010000010001,1,2,83.0,infeasible
'0000101101000001010000100,1,2,28.0,infeasible
'0101110001001101000001010,1,2,61.0,infeasible
'1100111010011100101000010,1,2,104.0,infeasible
'0010100101010000100110000,1,2,24.0,infeasible
'0111101011001001001010000,1,2,42.0,infeasible
'0100110110111110111000000,1,2,97.0,infeasible
'1110011010111100000001010,1,2,67.0,infeasible
'1101001100011101100010010,1,2,71.0,infeasible
'0111101001110110110000010,1,2,60.0,infeasible
'0111101010111101000000101,1,2,80.0,infeasible
'0110011011101100001011000,1,3,36.0,infeasible
'0000101000111100101010001,1,3,53.0,infeasible
'0111011101100001100001011,1,3,29.0,infeasible
'0100011011111101000001110,1,3,27.0,infeasible
'1011010001000010000001011,1,3,29.0,infeasible
'0000010000111010110100100,1,3,14.0,infeasible
'1000011001110100000110100,1,3,34.0,infeasible
'1010100000010011110001100,1,3,40.0,infeasible
'1110001110011100110010001,1,3,71.0,infeasible
'0011110001000000001010100,1,3,26.0,infeasible
'0101111000110001100111000,1,3,52.0,infeasible
'0111110000010001011010000,1,3,37.0,infeasible
'1001011011001011100000111,1,3,36.0,infeasible
'0000000001101110110101000,1,3,37.0,infeasible
'0101111110000111010000011,1,3,80.0,infeasible
'1000000011000110001100100,1,3,61.0,infeasible
'1100011100001100001100100,1,3,56.0,infeasible
'1101011111001111110001100,1,3,71.0,infeasible
'0011001111100000111000100,1,3,29.0,infeasible
'0011110101101001010011000,1,3,39.0,infeasible
'1010101100110011110011000,1,3,47.0,infeasible
