string,counts,energy_M,energy_Q,feasible
'0100110001000011100000000,1,0,90.0,infeasible
'1011110010001100100000000,1,0,127.0,infeasible
'0101010100111010000000000,1,0,61.0,infeasible
'0100101110001110000000000,1,0,117.0,infeasible
'0000100101101000100100000,1,1,42.0,infeasible
'0010111011011110001000000,1,1,133.0,infeasible
'0011000111101100110000000,1,1,48.0,infeasible
'1010111000100100100000100,1,1,112.0,infeasible
'0110111110011001100001000,1,1,105.0,infeasible
'1111001001100111000000001,1,1,140.0,infeasible
'1001001001110000100000001,1,1,61.0,infeasible
'0000101000000111010000000,1,1,78.0,infeasible
'0101010001000111000100000,1,1,69.0,infeasible
'1111111010001010100001000,1,1,131.0,infeasible
'0111011001101001000000001,1,1,59.0,infeasible
'0001111111101100000001000,1,1,108.0,infeasible
'0101001011110000101000000,1,1,46.0,infeasible
'1111110000100100000001000,1,1,122.0,infeasible
'0001011100001111100000010,1,1,74.0,infeasible
'0101010111101011010000000,1,1,45.0,infeasible
'1101111101010101101000000,1,1,167.0,infeasible
'1100101101101010001000010,1,2,77.0,infeasible
'0010010100111101001100000,1,2,48.0,infeasible
'0000010101100000100001100,1,2,25.0,infeasible
'0101100101101111101000010,1,2,85.0,infeasible
'0101111011000001100011000,1,2,63.0,infeasible
'0011110000110010001000100,1,2,46.0,infeasible
'0110010001101111001100000,1,2,80.0,infeasible
'0010101001100010010100000,1,2,30.0,infeasible
'1100001101010101101000010,1,2,81.0,infeasible
'1001000000010011000001100,1,2,31.0,infeasible
'0000010000000100100001001,1,2,23.0,infeasible
'1110001000000101010100000,1,2,56.0,infeasible
'0000110001011000101010000,1,2,52.0,infeasible
'1101001100001001000010001,1,2,52.0,infeasible
'1010000001000011010000100,1,2,38.0,infeasible
'0011000010011000110010000,1,2,28.0,infeasible
'1000001101100000000011000,1,2,20.0,infeasible
'0110000001001110011000000,1,2,57.0,infeasible
'1011100111111100001100000,1,2,87.0,infeasible
'1101100010000111100100100,1,2,91.0,infeasible
'1000100000100001001010000,1,2,34.0,infeasible
'1010101101001011111000000,1,2,68.0,infeasible
'1010011011101010010100000,1,2,34.0,infeasible
'1110001001110001000100100,1,2,69.0,infeasible
