string,counts,energy_M,energy_Q,feasible
'000011010001000000,1,0,23.5,infeasible
'101001000110000000,1,0,23.5,infeasible
'101011001110000000,1,0,31.0,infeasible
'111100000010000000,1,0,20.0,infeasible
'111100000100000000,1,0,17.5,infeasible
'000011100110010000,1,1,27.5,infeasible
'100000000000000001,1,1,3.5,infeasible
'011101010110000100,1,1,23.0,infeasible
'101101010111000100,1,1,23.0,infeasible
'000110100001010000,1,1,13.5,infeasible
'100001100010001000,1,1,24.0,infeasible
'011001110010000100,1,1,32.5,infeasible
'000000100010000100,1,1,5.5,infeasible
'101011100100010000,1,1,24.5,infeasible
'011000100010010000,1,1,13.0,infeasible
'000011101010000010,1,1,26.0,infeasible
'100000110000000100,1,1,7.5,infeasible
'100010100000010000,1,1,6.5,infeasible
'010100000010010000,1,1,12.5,infeasible
'000100110110000010,1,1,13.5,infeasible
'100000000110000001,1,1,6.0,infeasible
'100011010110000100,1,1,18.5,infeasible
'110001000110000100,1,1,15.5,infeasible
'011001010001010000,1,1,21.0,infeasible
'011011101010000001,1,1,32.0,infeasible
'100101101100010000,1,1,32.5,infeasible
'101001000010000001,1,1,15.0,infeasible
'100011111011001000,1,1,37.5,infeasible
'100111100100010000,1,1,30.0,infeasible
'010100000101000001,1,1,9.0,infeasible
'101001001010010000,1,1,19.5,infeasible
'100001010110010000,1,1,21.0,infeasible
'000000011100000100,1,1,6.5,infeasible
'001111010110001000,1,1,24.5,infeasible
'111101111000000100,1,1,36.0,infeasible
'011011011010000010,1,1,28.0,infeasible
'010110100010010010,1,2,14.5,infeasible
'011110011001000101,1,2,9.5,infeasible
'100100001110101000,1,2,14.5,infeasible
'100000111110011000,1,2,14.5,infeasible
'111010111001001010,1,2,16.5,infeasible
'011110100111001010,1,2,18.0,infeasible
'111000100100010010,1,2,8.5,infeasible
'000000111100000101,1,2,7.5,infeasible
'001101000001011000,1,2,10.0,infeasible
'110001100101010010,1,2,18.5,infeasible
'111010110000000101,1,2,11.5,infeasible
'101000101111000101,1,2,9.5,infeasible
'101001111000000110,1,2,23.5,infeasible
'011101101100011000,1,2,29.0,infeasible
'011101010011011000,1,2,21.5,infeasible
'000010100001110000,1,2,9.5,infeasible
'101000010110001001,1,2,7.5,infeasible
'111100111101100010,1,2,21.0,infeasible
'100110100001000101,1,2,7.0,infeasible
'110001000111000101,1,2,13.0,infeasible
'100001100011100010,1,2,25.5,infeasible
'100011110000011000,1,2,21.5,infeasible
'011110110010000011,1,2,18.0,infeasible
'110111000111001001,1,2,17.5,infeasible
'011110000101110000,1,2,16.5,infeasible
'101011100011000110,1,2,20.0,infeasible
'010111100110001010,1,2,25.0,infeasible
'000000101100100010,1,2,9.0,infeasible
'000111101101000011,1,2,22.0,infeasible
'101001101000000101,1,2,18.5,infeasible
'011001010101001100,1,2,16.0,infeasible
'100001110010000101,1,2,23.5,infeasible
'000000001000010010,1,2,5.0,infeasible
'101011010001001100,1,2,12.5,infeasible
'100011101000000011,1,2,18.5,infeasible
'100000000011000101,1,2,7.5,infeasible
'100010100110010010,1,2,7.5,infeasible
'100011101011010010,1,2,23.5,infeasible
'001101011101000101,1,2,13.5,infeasible
'100001001011110000,1,2,23.5,infeasible
'101100010001000101,1,2,5.5,infeasible
'000001010010010010,1,2,12.5,infeasible
'100011001100000011,1,2,12.0,infeasible
'100000101000000101,1,2,6.0,infeasible
'110100111100001011,1,3,14.5,infeasible
'100110011000001101,1,3,8.5,infeasible
'011110011000111000,1,3,14.5,infeasible
'110101000001001101,1,3,10.0,infeasible
