string,counts,energy_M,energy_Q,feasible
'111011111011000000,1,0,56.5,infeasible
'100100010000000000,1,0,10.0,infeasible
'100101010001000000,1,0,27.5,infeasible
'101011000110000000,1,0,25.0,infeasible
'001000101000000000,1,0,12.5,infeasible
'010100110001010000,1,1,14.5,infeasible
'100100000001100000,1,1,9.0,infeasible
'010111010000000001,1,1,23.0,infeasible
'110101111100000100,1,1,36.0,infeasible
'111011000001010000,1,1,18.5,infeasible
'111100001000000010,1,1,17.5,infeasible
'000000011101000100,1,1,7.0,infeasible
'000101000011100000,1,1,26.5,infeasible
'111011111110000001,1,1,42.5,infeasible
'101000111010010000,1,1,16.0,infeasible
'010000010010000010,1,1,9.0,infeasible
'100010010111000100,1,1,9.0,infeasible
'000110101001000001,1,1,11.0,infeasible
'000101101000000100,1,1,23.5,infeasible
'000011101110000001,1,1,27.0,infeasible
'000011110101000100,1,1,27.5,infeasible
'010000101000010000,1,1,10.5,infeasible
'001011000010000001,1,1,14.0,infeasible
'100011101111000011,1,2,21.5,infeasible
'101011111010011000,1,2,28.0,infeasible
'010000001010000011,1,2,8.5,infeasible
'101000001101001100,1,2,10.0,infeasible
'001100101011011000,1,2,14.0,infeasible
'111011110000000011,1,2,31.5,infeasible
'010010110111000011,1,2,11.5,infeasible
'010111010000011000,1,2,17.0,infeasible
'100101001010001001,1,2,12.0,infeasible
'000101011111001100,1,2,17.5,infeasible
'001010101001001001,1,2,7.0,infeasible
'100111101110001100,1,2,23.5,infeasible
'000010101011100010,1,2,12.5,infeasible
'000010011011001001,1,2,7.0,infeasible
'100001011101000011,1,2,14.5,infeasible
'011010011100000011,1,2,13.5,infeasible
'000111100111000101,1,2,19.0,infeasible
'000010010100010010,1,2,4.5,infeasible
'111101110111011000,1,2,33.5,infeasible
'100111100100001100,1,2,19.5,infeasible
'011001111011110000,1,2,42.0,infeasible
'101001110110000011,1,2,24.5,infeasible
'011010111100001100,1,2,14.0,infeasible
'101100111000010010,1,2,11.5,infeasible
'100000011110001001,1,2,10.0,infeasible
'010111011001000110,1,2,17.5,infeasible
'111011000100001001,1,2,17.5,infeasible
'100100011011001100,1,2,8.5,infeasible
'111000011000001001,1,2,15.0,infeasible
'001011010010000101,1,2,12.0,infeasible
'010110111000000101,1,2,9.5,infeasible
'100000101000000110,1,2,5.5,infeasible
'111111111011001001,1,2,36.0,infeasible
'000101100111101000,1,2,28.5,infeasible
'111001000100101000,1,2,17.0,infeasible
'111111111101000110,1,2,33.0,infeasible
'111000000000010010,1,2,8.0,infeasible
'111100010001001001,1,2,12.5,infeasible
'000001111111000101,1,2,25.0,infeasible
'111000000011000101,1,2,12.0,infeasible
'101111110111110010,1,3,34.0,infeasible
'011001100101000111,1,3,17.5,infeasible
'011000100101001101,1,3,10.5,infeasible
'100101101000000111,1,3,15.5,infeasible
'110001111110001011,1,3,24.5,infeasible
'000111000100001101,1,3,8.0,infeasible
'110100000110001101,1,3,9.0,infeasible
'100111100101000111,1,3,16.0,infeasible
'101000111011001101,1,3,9.0,infeasible
'111000111001110010,1,3,10.0,infeasible
'001111100011000111,1,3,16.5,infeasible
'010001000100001011,1,3,12.5,infeasible
'011100100011001101,1,3,9.0,infeasible
'101010011010001101,1,3,7.0,infeasible
'110001100001001011,1,3,19.0,infeasible
'011111100110001101,1,3,16.5,infeasible
'111101000111001101,1,3,12.0,infeasible
'010010011001001011,1,3,9.5,infeasible
'110101101010001110,1,3,16.0,infeasible
'010011100001000111,1,3,16.0,infeasible
'011000001000001011,1,3,16.5,infeasible
'000011010000001101,1,3,11.0,infeasible
'010000101011001111,1,4,9.0,infeasible
'010101001011001111,1,4,7.0,infeasible
'011001010011001111,1,4,15.0,infeasible
'001011111001001111,1,4,15.5,infeasible
'010111011001001111,1,4,11.0,infeasible
'111011101011001111,1,4,15.5,infeasible
'001001011010001111,1,4,9.5,infeasible
'001101011000001111,1,4,11.5,infeasible
'000111101100001111,1,4,14.5,infeasible
'011110011111001111,1,4,12.0,infeasible
'000011111100001111,1,4,18.0,infeasible
'000101011110010001,1,2,18.5,feasible
'001110100000010001,1,2,7.5,feasible
'011101000101010001,1,2,14.0,feasible
'001000101111010001,1,2,12.0,feasible
'111111100100100100,1,2,27.5,feasible
'000110010111010001,1,2,11.5,feasible
'011100111011010100,1,2,14.5,feasible
'110011000111010001,1,2,14.5,feasible
'011100001101100100,1,2,11.0,feasible
'010110011110101001,1,3,12.0,feasible
'011101001110011001,1,3,15.0,feasible
'110100000100010110,1,3,8.5,feasible
'101011100101110001,1,3,17.0,feasible
'100001000001010011,1,3,6.0,feasible
'110110101100100101,1,3,9.0,feasible
'011110101100110100,1,3,13.5,feasible
'110101110101010101,1,3,17.0,feasible
'110000011010101001,1,3,8.5,feasible
'010001010001100101,1,3,12.5,feasible
'111010101010100011,1,3,10.0,feasible
'000101101011110100,1,3,26.5,feasible
'110011110101011010,1,3,19.0,feasible
'101110000000110100,1,3,8.5,feasible
'010110101110010011,1,3,12.0,feasible
'110101101101100101,1,3,19.0,feasible
'000011110011101001,1,3,23.0,feasible
'100011101100011100,1,3,17.0,feasible
'001101101111110001,1,3,27.0,feasible
'000011000010100101,1,3,9.0,feasible
'100001111100101001,1,3,27.0,feasible
'101111011100011001,1,3,15.5,feasible
'010110011001011010,1,3,12.0,feasible
'100101101011010101,1,3,15.0,feasible
'001010011010100101,1,3,4.0,feasible
'111100000001010101,1,3,8.5,feasible
'000000001011100110,1,3,6.5,feasible
'010111101110010101,1,3,16.0,feasible
'000101101110101001,1,3,21.0,feasible
'000111101010010011,1,3,16.5,feasible
'010101101011011001,1,3,17.5,feasible
'010000001110011001,1,3,12.5,feasible
'001100000111100110,1,3,7.5,feasible
'101010101101010110,1,3,6.0,feasible
'000110100101110001,1,3,10.0,feasible
'010110011011101001,1,3,11.0,feasible
'001101101110010011,1,3,16.0,feasible
'010100000110011010,1,3,10.0,feasible
'001101101010010101,1,3,12.5,feasible
'011000110001101001,1,3,10.0,feasible
'010110000111100011,1,3,12.0,feasible
'001100001010011100,1,3,8.0,feasible
'010111111100100011,1,3,30.0,feasible
'111111001100101001,1,3,19.5,feasible
'001101111000011010,1,3,20.5,feasible
'110000001010101100,1,3,7.5,feasible
'111011010110010011,1,3,13.5,feasible
'111010100111010101,1,3,7.5,feasible
'101111111000110100,1,3,28.0,feasible
'110010100001011010,1,3,6.0,feasible
'001101001001011001,1,3,8.0,feasible
'001110100010010110,1,3,8.5,feasible
'011101000111011100,1,3,10.0,feasible
'011110101111010101,1,3,11.0,feasible
'111010100110101001,1,3,9.5,feasible
'001101010001010110,1,3,10.0,feasible
'001010000001101001,1,3,4.0,feasible
'100010101011010101,1,3,6.5,feasible
'101110011010011010,1,3,11.5,feasible
'011001010101110001,1,3,14.5,feasible
'001001100100011001,1,3,13.0,feasible
'000011001000011001,1,3,7.5,feasible
'100011001011011011,1,4,6.0,feasible
'111000001110111010,1,4,13.0,feasible
'000111111001101011,1,4,19.5,feasible
'100001101011111001,1,4,17.0,feasible
'011101111000011101,1,4,16.5,feasible
'110111001110010111,1,4,8.0,feasible
'001010100101110011,1,4,5.0,feasible
'101101000010010111,1,4,7.5,feasible
'100001101100100111,1,4,16.0,feasible
'010000101000101011,1,4,9.0,feasible
'010100101100011110,1,4,9.5,feasible
'011010100000100111,1,4,10.0,feasible
'110001110101101101,1,4,20.0,feasible
'001101100101011011,1,4,10.0,feasible
'001011011000011101,1,4,9.0,feasible
'111011110000111001,1,4,19.0,feasible
'111010101101011011,1,4,12.0,feasible
'111001100010011011,1,4,14.5,feasible
'011101110000111010,1,4,21.5,feasible
'001010001101011101,1,4,11.5,feasible
'100111001110110011,1,4,13.5,feasible
'110000111101011110,1,4,8.0,feasible
'111110100100111100,1,4,7.5,feasible
'110010100100110101,1,4,4.5,feasible
'100100100011101011,1,4,6.0,feasible
'010000000111101101,1,4,9.0,feasible
'101111001100101011,1,4,13.0,feasible
'101101110000110101,1,4,18.5,feasible
'001111100111010111,1,4,11.5,feasible
'111100100001111100,1,4,5.0,feasible
'101001110111100111,1,4,18.5,feasible
'110000101110111001,1,4,10.0,feasible
'000100001001110101,1,4,9.5,feasible
'110101111101011011,1,4,17.5,feasible
'110111011101011101,1,4,10.0,feasible
'011111000000111001,1,4,11.0,feasible
'001110101010011101,1,4,5.5,feasible
'110110001011110011,1,4,13.5,feasible
'101110011101010111,1,4,9.5,feasible
'001011011001110011,1,4,10.0,feasible
'001010011011101101,1,4,6.0,feasible
'011001111110110101,1,4,20.5,feasible
'110100111101011110,1,4,8.0,feasible
'001101101000010111,1,4,11.0,feasible
'110001010011010111,1,4,10.0,feasible
'110011010010101011,1,4,11.5,feasible
'110011111001101101,1,4,19.0,feasible
'010111011001101101,1,4,10.5,feasible
'111011100001011011,1,4,14.5,feasible
'101001001011111100,1,4,11.0,feasible
'001000001000011011,1,4,12.0,feasible
'110101110101011101,1,4,13.5,feasible
'010010011111010111,1,4,7.5,feasible
'111010001001101011,1,4,12.0,feasible
'111000111111010111,1,4,8.0,feasible
'001011010001101110,1,4,9.5,feasible
'100000101101111001,1,4,9.5,feasible
'000101111000101011,1,4,19.5,feasible
'001000110011101011,1,4,6.5,feasible
'011100100101110110,1,4,7.0,feasible
'001010100011101111,1,5,8.0,feasible
'011000110011110111,1,5,9.0,feasible
'110011011000011111,1,5,11.5,feasible
'101111111110111101,1,5,16.0,feasible
'000100101010101111,1,5,6.5,feasible
'100010101001011111,1,5,10.5,feasible
'001001110100110111,1,5,17.0,feasible
'100100001111101111,1,5,11.0,feasible
'011011100110011111,1,5,10.5,feasible
'100010111001111011,1,5,6.5,feasible
'000111111101111110,1,5,20.0,feasible
'011110111010101111,1,5,8.0,feasible
'000101111100110111,1,5,18.5,feasible
'000110101011011111,1,5,8.0,feasible
'111010110011111011,1,5,8.0,feasible
'000101111110111101,1,5,17.5,feasible
'101111100011011111,1,5,10.0,feasible
'001111110001111011,1,5,16.5,feasible
'011010111110111110,1,5,8.0,feasible
'100111111010011111,1,5,11.5,feasible
'001110101010011111,1,5,8.0,feasible
'111001011001111111,1,6,11.0,feasible
'010111010011111111,1,6,9.5,feasible
