string,counts,energy_M,energy_Q,feasible
'100101010010000000,1,0,30.0,infeasible
'101100110111000000,1,0,26.5,infeasible
'101110010000000001,1,1,10.0,infeasible
'111101100101100000,1,1,39.0,infeasible
'011011000100000010,1,1,20.0,infeasible
'001101100000001000,1,1,24.0,infeasible
'111110000110001000,1,1,19.5,infeasible
'011010111001000100,1,1,13.5,infeasible
'010100110000000010,1,1,15.0,infeasible
'010000011011100000,1,1,18.0,infeasible
'101010001110000001,1,1,12.0,infeasible
'100011110001100000,1,1,38.0,infeasible
'110010010100000100,1,1,6.5,infeasible
'100100100000010000,1,1,9.0,infeasible
'001101001001000001,1,1,16.0,infeasible
'110101000000000001,1,1,17.5,infeasible
'010100101000001000,1,1,14.5,infeasible
'100110010100010000,1,1,12.5,infeasible
'000011000011000001,1,1,15.0,infeasible
'111100100000000100,1,1,11.5,infeasible
'101001101000000010,1,1,25.5,infeasible
'100110100001001000,1,1,11.0,infeasible
'001110000000000100,1,1,6.5,infeasible
'000100110000010000,1,1,11.0,infeasible
'011000110110000100,1,1,13.0,infeasible
'000000111001010000,1,1,12.5,infeasible
'110101110101001000,1,1,36.5,infeasible
'100111110101001000,1,1,35.0,infeasible
'101011000111000010,1,1,20.0,infeasible
'110100100111010000,1,1,20.0,infeasible
'100111010110000001,1,1,23.0,infeasible
'110100101101010010,1,2,14.5,infeasible
'101100000110100010,1,2,10.0,infeasible
'111110101001000110,1,2,14.0,infeasible
'111000011011010010,1,2,14.0,infeasible
'111100011011010010,1,2,18.0,infeasible
'100000111011001001,1,2,11.0,infeasible
'110101000100011000,1,2,13.0,infeasible
'101011011001000110,1,2,13.5,infeasible
'011111011011011000,1,2,28.0,infeasible
'001000110011001001,1,2,9.0,infeasible
'001001100101000101,1,2,16.0,infeasible
'100110110011010010,1,2,17.0,infeasible
'101111111010000110,1,2,28.0,infeasible
'100011100100000101,1,2,17.0,infeasible
'101110010101001010,1,2,11.0,infeasible
'100001110010110000,1,2,32.5,infeasible
'001111010011000011,1,2,19.5,infeasible
'100001110001000011,1,2,23.0,infeasible
'101000110000101000,1,2,8.0,infeasible
'010111000010100010,1,2,22.0,infeasible
'011100100111011000,1,2,15.5,infeasible
'111101001010110000,1,2,25.5,infeasible
'011110011101001100,1,2,13.5,infeasible
'101011100000100010,1,2,23.0,infeasible
'001101111001011000,1,2,27.5,infeasible
'111101001111000101,1,2,17.5,infeasible
'100011011000110000,1,2,22.0,infeasible
'110100100100101000,1,2,10.5,infeasible
'001110100100001001,1,2,8.0,infeasible
'101000001011110010,1,3,10.5,infeasible
'011111101111001101,1,3,19.0,infeasible
'101111000110110010,1,3,18.0,infeasible
'000011110010000111,1,3,18.0,infeasible
'001011000101001011,1,3,8.0,infeasible
'111111111100001110,1,3,28.0,infeasible
'010010011110111000,1,3,14.5,infeasible
'100101011011000111,1,3,10.5,infeasible
'100011011101001101,1,3,12.5,infeasible
'001110000101110010,1,3,13.0,infeasible
'010001001100001101,1,3,13.5,infeasible
'011110100001000111,1,3,12.5,infeasible
'010000010101001011,1,3,9.5,infeasible
'000110011001111000,1,3,13.5,infeasible
'101110011010110010,1,3,15.0,infeasible
'111000001010110010,1,3,10.0,infeasible
'011111001100110010,1,3,22.5,infeasible
'101100001001001101,1,3,8.5,infeasible
