string,counts,energy_M,energy_Q,feasible
'001000000000000000,1,0,4.5,infeasible
'010010100110000000,1,0,18.0,infeasible
'110111010000000000,1,0,33.5,infeasible
'001111100011000000,1,0,43.5,infeasible
'111000011100000000,1,0,21.0,infeasible
'000101100010000000,1,0,35.0,infeasible
'000010100101000000,1,0,11.5,infeasible
'011000101001000000,1,0,20.0,infeasible
'100100011110000000,1,0,21.5,infeasible
'010110011111000000,1,0,31.0,infeasible
'111000110100010000,1,1,13.5,infeasible
'011110101011001000,1,1,25.0,infeasible
'111001111111000010,1,1,45.0,infeasible
'101011001000000001,1,1,15.5,infeasible
'000000010001000010,1,1,3.5,infeasible
'101001111100000100,1,1,32.5,infeasible
'111111010010001000,1,1,30.5,infeasible
'100110001111010000,1,1,25.5,infeasible
'011001000111000010,1,1,23.0,infeasible
'101011111000010000,1,1,33.5,infeasible
'101110111110000100,1,1,19.0,infeasible
'000101010010001000,1,1,19.0,infeasible
'101001001101000010,1,1,18.5,infeasible
'111011010111000001,1,1,29.0,infeasible
'101010011100000100,1,1,9.0,infeasible
'100001110001010000,1,1,29.0,infeasible
'000010000110000001,1,1,5.0,infeasible
'011111000010000010,1,1,27.5,infeasible
'110110101011001000,1,1,23.0,infeasible
'010001111011010000,1,1,40.5,infeasible
'011100111000001000,1,1,20.5,infeasible
'100101010000000010,1,1,20.5,infeasible
'000010000100100000,1,1,6.0,infeasible
'100010000101101000,1,2,5.5,infeasible
'100100000111001010,1,2,9.5,infeasible
'011001011001101000,1,2,24.0,infeasible
'100110101111011000,1,2,20.0,infeasible
'100001110010001010,1,2,23.0,infeasible
'000100110001001010,1,2,7.0,infeasible
'110000110011001010,1,2,12.5,infeasible
'011111101010000011,1,2,28.5,infeasible
'000101111000010010,1,2,26.5,infeasible
'100110110011110000,1,2,23.5,infeasible
'100111011101000101,1,2,16.0,infeasible
'100111010000011000,1,2,15.5,infeasible
'000010000111101000,1,2,9.0,infeasible
'001001010011000101,1,2,14.0,infeasible
'110010010000001001,1,2,9.0,infeasible
'010000111011011000,1,2,15.0,infeasible
'111100010110001100,1,2,10.0,infeasible
'101110010111100010,1,2,16.5,infeasible
'001100111101011000,1,2,15.0,infeasible
'101111010111011000,1,2,22.0,infeasible
'101011010100110000,1,2,19.0,infeasible
'011100000100011000,1,2,11.0,infeasible
'101011010111000011,1,2,16.5,infeasible
'111010010001010010,1,2,9.5,infeasible
'100010001010101000,1,2,9.5,infeasible
'001001100100110000,1,2,23.5,infeasible
'001000010100000110,1,2,3.5,infeasible
'000011110011000101,1,2,23.0,infeasible
'110010000000000101,1,2,7.5,infeasible
'110001101100001010,1,2,26.0,infeasible
'000010111010000110,1,2,6.0,infeasible
'101101001110001010,1,2,17.5,infeasible
'001000010100001100,1,2,4.5,infeasible
