run,feasible,optimal_feasible
1,161,33
2,143,17
3,125,12
4,157,28
5,142,19
6,167,17
7,157,17
8,144,15
9,133,15
10,153,21
11,92,5
12,119,22
13,151,15
14,154,24
15,103,19
16,110,30
17,106,30
18,127,14
19,181,17
20,133,28
21,142,30
22,153,22
23,96,13
24,119,11
25,125,43
26,151,24
27,135,8
28,121,14
29,158,28
30,154,9
