string,counts,energy_M,energy_Q,feasible
'101101100101000000,1,0,37.0,infeasible
'011111011000000000,1,0,39.5,infeasible
'000010000001000000,1,0,6.0,infeasible
'010110000011000000,1,0,22.0,infeasible
'000011011001000000,1,0,27.5,infeasible
'010100000011000000,1,0,18.5,infeasible
'010111001100000000,1,0,34.0,infeasible
'100000000000000000,1,0,4.5,infeasible
'001101100011000000,1,0,40.0,infeasible
'101110010100000000,1,0,16.5,infeasible
'010011001100000000,1,0,28.0,infeasible
'100110011100000000,1,0,21.0,infeasible
'000011001110000000,1,0,28.0,infeasible
'111100010001000000,1,0,19.0,infeasible
'100010011001000000,1,0,13.0,infeasible
'010011010011000100,1,1,21.0,infeasible
'101011001110000010,1,1,21.5,infeasible
'000000110111001000,1,1,13.0,infeasible
'000101010010000100,1,1,18.0,infeasible
'001010010001001000,1,1,5.5,infeasible
'011100111011010000,1,1,27.0,infeasible
'111111000010000001,1,1,25.5,infeasible
'000101001000000100,1,1,13.5,infeasible
'010100010111001000,1,1,15.0,infeasible
'010000010010010000,1,1,9.0,infeasible
'011001000011010000,1,1,22.5,infeasible
'010001101000100000,1,1,33.0,infeasible
'000101000011000001,1,1,16.5,infeasible
'101101011111001000,1,1,32.0,infeasible
'100101011111001000,1,1,30.5,infeasible
'001010100001000010,1,1,8.0,infeasible
'011011001100000010,1,1,24.0,infeasible
'101001010010000010,1,1,20.0,infeasible
'100111100001000001,1,1,26.5,infeasible
'110111000011001000,1,1,25.0,infeasible
'001000100000000100,1,1,4.0,infeasible
'001010010101100000,1,1,9.5,infeasible
'100101101001100000,1,1,37.0,infeasible
'001011010101000100,1,1,16.0,infeasible
'110000010111000001,1,1,13.0,infeasible
'101101111011000100,1,1,36.5,infeasible
'001100110100000100,1,1,9.0,infeasible
'010100101100001000,1,1,18.0,infeasible
'111110110011010000,1,1,27.0,infeasible
'000010001111100000,1,1,19.5,infeasible
'100101000000100000,1,1,19.5,infeasible
'111011010100010000,1,1,23.0,infeasible
'010000101001100000,1,1,14.5,infeasible
'100111000110000100,1,1,18.0,infeasible
'000000011100001000,1,1,10.5,infeasible
'111100100010000010,1,1,19.5,infeasible
'010011111001010000,1,1,36.0,infeasible
'100111100100000001,1,1,26.5,infeasible
'010010100111000100,1,1,11.0,infeasible
'000001001100000001,1,1,14.5,infeasible
'011011101001000001,1,1,30.5,infeasible
'010010111000010000,1,1,14.5,infeasible
'010010010101100000,1,1,11.0,infeasible
'110111101011000001,1,1,36.5,infeasible
'000011010000001100,1,2,11.0,infeasible
'010011001000001001,1,2,14.0,infeasible
'000110101011110000,1,2,25.5,infeasible
'000010101110100010,1,2,12.5,infeasible
'110110011101101000,1,2,18.0,infeasible
'101110011001101000,1,2,13.0,infeasible
'010100011000110000,1,2,13.0,infeasible
'110000101110100010,1,2,13.5,infeasible
'110110011000110000,1,2,16.0,infeasible
'101001100001110000,1,2,23.0,infeasible
'010010111000110000,1,2,14.5,infeasible
'111010010011000101,1,2,11.0,infeasible
'000001010001001001,1,2,11.5,infeasible
'100111000010001001,1,2,11.5,infeasible
'111011110000110000,1,2,31.5,infeasible
'110001000100001010,1,2,14.0,infeasible
'100110111011101000,1,2,20.5,infeasible
'000110000001001010,1,2,8.0,infeasible
'110100100101100010,1,2,12.0,infeasible
'100111101010100010,1,2,32.5,infeasible
'100011110111001100,1,2,24.5,infeasible
'110011101001000011,1,2,22.0,infeasible
'110110011100001001,1,2,15.5,infeasible
'010110000101000101,1,2,7.0,infeasible
'111000110101101000,1,2,14.0,infeasible
'101001000010100010,1,2,13.5,infeasible
'101101010001101000,1,2,18.5,infeasible
