string,counts,energy_M,energy_Q,feasible
'100001011110000000,1,0,33.5,infeasible
'111011000100000000,1,0,27.0,infeasible
'011000111101000000,1,0,27.0,infeasible
'010101001000000000,1,0,27.0,infeasible
'101001100000000000,1,0,30.0,infeasible
'001101000100000000,1,0,22.0,infeasible
'101001010101000000,1,0,26.5,infeasible
'111100000010000000,1,0,20.0,infeasible
'100110110111000000,1,0,28.5,infeasible
'001101001011000000,1,0,32.0,infeasible
'110101000000000000,1,0,24.5,infeasible
'111110111000000000,1,0,31.0,infeasible
'111001001010000000,1,0,32.0,infeasible
'100101111000100000,1,1,43.0,infeasible
'010110010001010000,1,1,14.0,infeasible
'010111000000010000,1,1,20.0,infeasible
'110011010111100000,1,1,33.5,infeasible
'110111111000000100,1,1,36.0,infeasible
'011100001000100000,1,1,15.5,infeasible
'001110000011000001,1,1,12.5,infeasible
'011000111001001000,1,1,19.0,infeasible
'001011101100000001,1,1,26.5,infeasible
'011010001000100000,1,1,13.0,infeasible
'001011101100010000,1,1,30.0,infeasible
'000010010110001000,1,1,7.0,infeasible
'110010000010000100,1,1,7.5,infeasible
'101100011001001000,1,1,12.5,infeasible
'110110111001100000,1,1,26.0,infeasible
'010101100011100000,1,1,40.5,infeasible
'100101000011000001,1,1,18.0,infeasible
'011101110100000100,1,1,33.0,infeasible
'010100001000000010,1,1,12.5,infeasible
'010011101001000001,1,1,27.0,infeasible
'000001101000000001,1,1,22.0,infeasible
'110111101101001000,1,1,38.5,infeasible
'000110001100100000,1,1,18.0,infeasible
'010011101011000100,1,1,28.5,infeasible
'111000101110000010,1,1,20.0,infeasible
'111100000001000001,1,1,13.5,infeasible
'111111111110001000,1,1,50.0,infeasible
'101011001000000100,1,1,14.0,infeasible
'111001100100100000,1,1,33.5,infeasible
'001000011001000010,1,1,7.0,infeasible
'110000010001100000,1,1,8.5,infeasible
'111010101111000010,1,1,24.0,infeasible
'110111101100010000,1,1,38.0,infeasible
'101111001101000001,1,1,22.5,infeasible
'101011100010000001,1,1,25.5,infeasible
'111101101011100000,1,1,47.5,infeasible
'100110111101000010,1,1,21.0,infeasible
'000111000000010000,1,1,18.0,infeasible
'010001111001010000,1,1,34.5,infeasible
'110111101000000100,1,1,29.5,infeasible
'001011100011000001,1,1,26.5,infeasible
'111001010110100000,1,1,31.0,infeasible
'101101001001010000,1,1,21.0,infeasible
'110111011100000100,1,1,26.5,infeasible
'010110001011100000,1,1,24.0,infeasible
'000000011110100000,1,1,16.0,infeasible
'111110000010000001,1,1,17.5,infeasible
'010011001101000001,1,1,19.5,infeasible
'001110001100100000,1,1,18.5,infeasible
'110111101011100000,1,1,48.5,infeasible
'111101000100100000,1,1,25.5,infeasible
'000011101001100000,1,1,34.0,infeasible
'100100101001100000,1,1,17.0,infeasible
'011010001001000100,1,1,9.0,infeasible
'110101011011000001,1,1,28.5,infeasible
'000100011110110000,1,2,20.5,infeasible
'001000001011110000,1,2,15.5,infeasible
'000010101001000101,1,2,3.5,infeasible
'111101000110110000,1,2,23.0,infeasible
'010011011101010010,1,2,19.0,infeasible
'000100001001001001,1,2,6.0,infeasible
'001101011000010010,1,2,17.0,infeasible
'000110001000001100,1,2,7.5,infeasible
'111001010101110000,1,2,21.0,infeasible
'010011100100001001,1,2,20.5,infeasible
'101100010011000101,1,2,7.5,infeasible
'011100110011101000,1,2,18.0,infeasible
