run,shot_id,bitstring,probability,sum_x,feasible
23,1,'000000110110000,0.000125,4,False
23,1,'011011111111010,0.000125,11,False
23,1,'101010111010101,0.000125,9,False
23,1,'100001111110001,0.000125,8,False
23,1,'011000100001001,0.000125,5,False
23,1,'111100110011011,0.000125,10,False
23,1,'001110010101011,0.000125,8,False
23,1,'101101001110010,0.000125,8,False
23,1,'111110011001101,0.000125,10,False
23,1,'011100000010000,0.000125,4,False
23,1,'100110101000000,0.000125,5,False
23,1,'011100010100010,0.000125,6,False
23,1,'000110001110000,0.000125,5,False
23,1,'110100010010000,0.000125,5,False
23,1,'101001100000101,0.000125,6,False
23,1,'000000010011000,0.000125,3,False
23,1,'111110010011100,0.000125,9,False
23,1,'010111000000110,0.000125,6,False
23,1,'101010101101000,0.000125,7,False
23,1,'000000010100110,0.000125,4,False
23,1,'001000101000000,0.000125,3,False
23,1,'101110001001001,0.000125,7,False
23,1,'011111010111111,0.000125,12,False
23,1,'000011001101011,0.000125,7,False
23,1,'110111101101100,0.000125,10,False
23,1,'101001100110100,0.000125,7,False
23,1,'110001110111111,0.000125,11,False
23,1,'100011010110010,0.000125,7,False
23,1,'010000000111110,0.000125,6,False
23,1,'101111101110001,0.000125,10,False
23,1,'110110000101000,0.000125,6,False
23,1,'001110001101100,0.000125,7,False
23,1,'100001100110001,0.000125,6,False
23,1,'010111100011010,0.000125,8,False
23,1,'011100000010010,0.000125,5,False
23,1,'111100111100111,0.000125,11,False
23,1,'101011101100011,0.000125,9,False
23,1,'001011111101001,0.000125,9,False
23,1,'011000101110100,0.000125,7,False
23,1,'011010101110000,0.000125,7,False
23,1,'001100101110010,0.000125,7,False
23,1,'110001101100011,0.000125,8,False
23,1,'101001110010111,0.000125,9,False
23,1,'111001001001011,0.000125,8,False
23,1,'101001100110000,0.000125,6,False
23,1,'111011000000010,0.000125,6,False
23,1,'000111111101000,0.000125,8,False
23,1,'100010010010100,0.000125,5,False
23,1,'010010010100110,0.000125,6,False
23,1,'000110010111011,0.000125,8,False
23,1,'110001011000010,0.000125,6,False
23,1,'001111001001101,0.000125,8,False
23,1,'011110010101011,0.000125,9,False
23,1,'010101010101010,0.000125,7,False
23,1,'101100100010010,0.000125,6,False
23,1,'001010001000101,0.000125,5,False
23,1,'001000010110101,0.000125,6,False
23,1,'010001100011101,0.000125,7,False
23,1,'100010000101001,0.000125,5,False
23,1,'001101001011110,0.000125,8,False
23,1,'001110011000111,0.000125,8,False
23,1,'011001000000011,0.000125,5,False
23,1,'101000001001110,0.000125,6,False
23,1,'010110011111101,0.000125,10,False
23,1,'101010000000001,0.000125,4,False
23,1,'011111101010110,0.000125,10,False
23,1,'101001101001100,0.000125,7,False
23,1,'111010110111001,0.000125,10,False
23,1,'110000110100101,0.000125,7,False
23,1,'000111001100000,0.000125,5,False
23,1,'111110110011001,0.000125,10,False
23,1,'011100000101010,0.000125,6,False
23,1,'010110111101110,0.000125,10,False
23,1,'011001010011001,0.00025,7,False
23,2,'011001010011001,0.00025,7,False
23,1,'100001010111010,0.000125,7,False
23,1,'001111010110111,0.000125,10,False
23,1,'010010010010000,0.000125,4,False
23,1,'010110110001010,0.000125,7,False
23,1,'111110001010001,0.000125,8,False
23,1,'000110000100111,0.000125,6,False
23,1,'101100110100001,0.000125,7,False
23,1,'100101000110110,0.000125,7,False
23,1,'110000110110110,0.000125,8,False
23,1,'100011100000111,0.000125,7,False
23,1,'100101110111000,0.000125,8,False
23,1,'111110000111101,0.000125,10,False
23,1,'101000001011100,0.000125,6,False
23,1,'110010111010101,0.000125,9,False
23,1,'100011101111101,0.000125,10,False
23,1,'001101011101001,0.000125,8,False
23,1,'000100101001110,0.000125,6,False
23,1,'010000010110001,0.000125,5,False
23,1,'010010100010111,0.000125,7,False
23,1,'010011101110110,0.000125,9,False
23,1,'110011001100101,0.000125,8,False
23,1,'110001001001011,0.000125,7,False
23,1,'010110011100111,0.000125,9,False
23,1,'000001000011111,0.000125,6,False
23,1,'100001111000011,0.000125,7,False
23,1,'101000101111000,0.000125,7,False
23,1,'110001010100110,0.000125,7,False
23,1,'110000011100010,0.000125,6,False
23,1,'010010101110101,0.000125,8,False
23,1,'010110110000011,0.000125,7,False
23,1,'101000101101110,0.000125,8,False
23,1,'111000101100111,0.000125,9,False
23,1,'100100011101110,0.000125,8,False
23,1,'000101100101000,0.000125,5,False
23,1,'110010101011000,0.000125,7,False
23,1,'010101110100110,0.000125,8,False
23,1,'100101111010000,0.000125,7,False
23,1,'111010110111010,0.000125,10,False
23,1,'110011101111010,0.000125,10,False
23,1,'010000111000101,0.000125,6,False
23,1,'110110100111010,0.000125,9,False
23,1,'111010100001001,0.000125,7,False
23,1,'011001101010000,0.000125,6,False
23,1,'010010010001010,0.000125,5,False
23,1,'101101011001010,0.000125,8,False
23,1,'101111011110110,0.000125,11,False
23,1,'110111101100001,0.000125,9,False
23,1,'110011010111110,0.000125,10,False
23,1,'001011110011101,0.000125,9,False
23,1,'010001000001100,0.00025,4,False
23,2,'010001000001100,0.00025,4,False
23,1,'010001010100001,0.000125,5,False
23,1,'011011101110111,0.000125,11,False
23,1,'000110011000100,0.000125,5,False
23,1,'001100000011111,0.000125,7,False
23,1,'001101101011010,0.000125,8,False
23,1,'110101110011111,0.000125,11,False
23,1,'011100001001011,0.000125,7,False
23,1,'000110111100010,0.000125,7,False
23,1,'101010010001100,0.000125,6,False
23,1,'011000001010111,0.000125,7,False
23,1,'000100111100010,0.000125,6,False
23,1,'001111111010011,0.000125,10,False
23,1,'100010011010101,0.000125,7,False
23,1,'001000111111001,0.000125,8,False
23,1,'110000010111101,0.000125,8,False
23,1,'010010100100010,0.000125,5,False
23,1,'000101100111101,0.000125,8,False
23,1,'110100101010101,0.000125,8,False
23,1,'000110010001101,0.000125,6,False
23,1,'010111110001110,0.000125,9,False
23,1,'000000110101010,0.000125,5,False
23,1,'101011111000110,0.000125,9,False
23,1,'100111010100000,0.000125,6,False
23,1,'010101011011001,0.000125,8,False
23,1,'000110100000010,0.000125,4,False
23,1,'100100010010100,0.000125,5,False
23,1,'101010100111011,0.000125,9,False
23,1,'000110001100110,0.000125,6,False
23,1,'011101100101111,0.000125,10,False
23,1,'101101111001110,0.000125,10,False
23,1,'000101011001011,0.000125,7,False
23,1,'111100100000010,0.000125,6,False
23,1,'100100100010111,0.000125,7,False
23,1,'110100001000111,0.000125,7,False
23,1,'000011010101100,0.00025,6,False
23,2,'000011010101100,0.00025,6,False
23,1,'010110110111000,0.000125,8,False
23,1,'011010100000110,0.000125,6,False
23,1,'111011101101001,0.000125,10,False
23,1,'110111111011010,0.000125,11,False
23,1,'111011110011001,0.000125,10,False
23,1,'101111010001011,0.000125,9,False
23,1,'111010111100001,0.000125,9,False
23,1,'001000111000111,0.000125,7,False
23,1,'100101101100100,0.000125,7,False
23,1,'010010011111000,0.000125,7,False
23,1,'110100110011110,0.000125,9,False
23,1,'010111000110111,0.000125,9,False
23,1,'100011111100101,0.000125,9,False
23,1,'000110101000100,0.000125,5,False
23,1,'010011110000110,0.000125,7,False
23,1,'110101001011101,0.000125,9,False
23,1,'101011110111100,0.000125,10,False
23,1,'011110100110100,0.000125,8,False
23,1,'110011000101101,0.000125,8,False
23,1,'011110111101010,0.000125,10,False
23,1,'011000011111001,0.000125,8,False
23,1,'000011000110010,0.000125,5,False
23,1,'111111110000101,0.000125,10,False
23,1,'010110001110101,0.000125,8,False
23,1,'000010010000000,0.000125,2,False
23,1,'111001100110000,0.000125,7,False
23,1,'110110001011000,0.000125,7,False
23,1,'001000110000001,0.000125,4,False
23,1,'101111100111100,0.000125,10,False
23,1,'010001110010111,0.00025,8,False
23,2,'010001110010111,0.00025,8,False
23,1,'010100001001000,0.000125,4,False
23,1,'001001001000110,0.000125,5,False
23,1,'000011001101001,0.000125,6,False
23,1,'100110111001011,0.000125,9,False
23,1,'101110111000100,0.000125,8,False
23,1,'010111111010101,0.000125,10,False
23,1,'000010011110000,0.00025,5,False
23,2,'000010011110000,0.00025,5,False
23,1,'110000111010001,0.000125,7,False
23,1,'010011010000100,0.000125,5,False
23,1,'011011110110011,0.000125,10,False
23,1,'011101011011101,0.000125,10,False
23,1,'100001101010011,0.000125,7,False
23,1,'001110111100100,0.000125,8,False
23,1,'011101100001110,0.000125,8,False
23,1,'000001100110010,0.000125,5,False
23,1,'000100101000010,0.000125,4,False
23,1,'111111101101101,0.000125,12,False
23,1,'111011111010001,0.000125,10,False
23,1,'110010010001110,0.000125,7,False
23,1,'111011110010000,0.000125,8,False
23,1,'011000111010110,0.000125,8,False
23,1,'011010000000100,0.000125,4,False
23,1,'011111110101100,0.000125,10,False
23,1,'100011110110101,0.000125,9,False
23,1,'110111101010110,0.000125,10,False
23,1,'011011000100111,0.000125,8,False
23,1,'101001000011111,0.000125,8,False
23,1,'110010101001101,0.000125,8,False
23,1,'110010110000010,0.000125,6,False
23,1,'001001110110101,0.000125,8,False
23,1,'010001011001110,0.000125,7,False
23,1,'110101110010001,0.000125,8,False
23,1,'001110101000010,0.000125,6,False
23,1,'110110111101001,0.000125,10,False
23,1,'101011001110111,0.000125,10,False
23,1,'101100010011011,0.000125,8,False
23,1,'111011110001111,0.000125,11,False
23,1,'001111000010000,0.000125,5,False
23,1,'010011111101011,0.000125,10,False
23,1,'000110100011100,0.000125,6,False
23,1,'000011100010001,0.000125,5,False
23,1,'100111101011110,0.000125,10,False
23,1,'000100001010011,0.000125,5,False
23,1,'111001110110110,0.000125,10,False
23,1,'010010111100000,0.000125,6,False
23,1,'100110111100101,0.000125,9,False
23,1,'111011100000111,0.000125,9,False
23,1,'100011111110111,0.000125,11,False
23,1,'000011111110111,0.000125,10,False
23,1,'010011001010000,0.000125,5,False
23,1,'010101010000010,0.000125,5,False
23,1,'000000000001100,0.000125,2,False
23,1,'111011001111001,0.000125,10,False
23,1,'001000001011111,0.000125,7,False
23,1,'001111010100100,0.000125,7,False
23,1,'000100101101000,0.000125,5,False
23,1,'001010010100101,0.000125,6,False
23,1,'100011110111011,0.000125,10,False
23,1,'011110010011111,0.000125,10,False
23,1,'000101110100100,0.000125,6,False
23,1,'111001010110000,0.000125,7,False
23,1,'011011110010111,0.000125,10,False
23,1,'000110000111111,0.000125,8,False
23,1,'000111111011000,0.000125,8,False
23,1,'000011011101100,0.000125,7,False
23,1,'110001010110011,0.000125,8,False
23,1,'101011111011000,0.00025,9,False
23,2,'101011111011000,0.00025,9,False
23,1,'000111000001000,0.000125,4,False
23,1,'000100001011011,0.000125,6,False
23,1,'111110010111010,0.000125,10,False
23,1,'000111111111100,0.000125,10,False
23,1,'111000110000011,0.000125,7,False
23,1,'111101110011101,0.000125,11,False
23,1,'111011011001100,0.000125,9,False
23,1,'100000101010110,0.000125,6,False
23,1,'110101011011101,0.000125,10,False
23,1,'001101111111100,0.000125,10,False
23,1,'011001010111000,0.000125,7,False
23,1,'010100001110011,0.000125,7,False
23,1,'100100100110011,0.000125,7,False
23,1,'100101101001101,0.000125,8,False
23,1,'011110101000110,0.000125,8,False
23,1,'111101111000110,0.000125,10,False
23,1,'010101111001011,0.000125,9,False
23,1,'100011011110010,0.000125,8,False
23,1,'011100010100101,0.000125,7,False
23,1,'110010001100101,0.000125,7,False
23,1,'010100000000101,0.000125,4,False
23,1,'110011001000101,0.000125,7,False
23,1,'110101111001101,0.000125,10,False
23,1,'100110111111110,0.000125,11,False
23,1,'011111100101110,0.000125,10,False
23,1,'011011001000110,0.000125,7,False
23,1,'111000001000110,0.00025,6,False
23,2,'111000001000110,0.00025,6,False
23,1,'011000001100011,0.000125,6,False
23,1,'010000011011000,0.000125,5,False
23,1,'101101111101001,0.000125,10,False
23,1,'100001110010101,0.000125,7,False
23,1,'011111111000101,0.000125,10,False
23,1,'110011100000010,0.000125,6,False
23,1,'111000001110001,0.000125,7,False
23,1,'001111101110011,0.000125,10,False
23,1,'100101010101011,0.000125,8,False
23,1,'101001000110000,0.000125,5,False
23,1,'110001111101111,0.000125,11,False
23,1,'011110101110110,0.000125,10,False
23,1,'000000111001001,0.000125,5,False
23,1,'011000010001110,0.000125,6,False
23,1,'110110011101110,0.000125,10,False
23,1,'101100111011001,0.000125,9,False
23,1,'101011100010110,0.000125,8,False
23,1,'010100010100110,0.000125,6,False
23,1,'001011010010111,0.000125,8,False
23,1,'101111100110110,0.000125,10,False
23,1,'010111011010000,0.000125,7,False
23,1,'101101101110100,0.000125,9,False
23,1,'000110000101100,0.000125,5,False
23,1,'000000101110010,0.000125,5,False
23,1,'110000010011100,0.000125,6,False
23,1,'010110111100111,0.000125,10,False
23,1,'011100100010100,0.000125,6,False
23,1,'111111100011101,0.000125,11,False
23,1,'101111110000001,0.000125,8,False
23,1,'001111101001010,0.000125,8,False
23,1,'000001000001100,0.000125,3,False
23,1,'011001001001001,0.000125,6,False
23,1,'010000110010011,0.000125,6,False
23,1,'101011011111100,0.000125,10,False
23,1,'110101111100011,0.000125,10,False
23,1,'001101101010101,0.000125,8,False
23,1,'111001001110010,0.000125,8,False
23,1,'000010100010101,0.000125,5,False
23,1,'101011011100101,0.000125,9,False
23,1,'011101001101100,0.000125,8,False
23,1,'110111011100111,0.000125,11,False
23,1,'110111001001111,0.000125,10,False
23,1,'100111110001010,0.000125,8,False
23,1,'010011010110000,0.000125,6,False
23,1,'100110100110010,0.000125,7,False
23,1,'110011011111101,0.000125,11,False
23,1,'101010010000011,0.000125,6,False
23,1,'111011001100001,0.000125,8,False
23,1,'100010000010001,0.00025,4,False
23,2,'100010000010001,0.00025,4,False
23,1,'011000110011100,0.000125,7,False
23,1,'000110010010001,0.000125,5,False
23,1,'100101010000010,0.000125,5,False
23,1,'111110110011111,0.000125,12,False
23,1,'100010100010110,0.000125,6,False
23,1,'101111101010011,0.000125,10,False
23,1,'011100010000100,0.000125,5,False
23,1,'100100001110011,0.000125,7,False
23,1,'110011010001100,0.000125,7,False
23,1,'011010001010000,0.000125,5,False
23,1,'010101100110010,0.000125,7,False
23,1,'011100011111100,0.000125,9,False
23,1,'101010101101100,0.000125,8,False
23,1,'010111110101101,0.000125,10,False
23,1,'001100011101111,0.000125,9,False
23,1,'101110001100011,0.000125,8,False
23,1,'011010010010000,0.000125,5,False
23,1,'110111100101111,0.000125,11,False
23,1,'100010100111011,0.000125,8,False
23,1,'011011110100101,0.000125,9,False
23,1,'000111110010111,0.000125,9,False
23,1,'111110010001100,0.000125,8,False
23,1,'101101001110001,0.000125,8,False
23,1,'101110000011000,0.000125,6,False
23,1,'100110010000011,0.000125,6,False
23,1,'110110101001010,0.000125,8,False
23,1,'100011011000100,0.000125,6,False
23,1,'011111000111111,0.000125,11,False
23,1,'000011001011110,0.000125,7,False
23,1,'011110000100010,0.000125,6,False
23,1,'111110111101110,0.000125,12,False
23,1,'110110010111000,0.000125,8,False
23,1,'110000101101101,0.000125,8,False
23,1,'010101001111110,0.000125,9,False
23,1,'111101010101011,0.00025,10,False
23,2,'111101010101011,0.00025,10,False
23,1,'111100000001000,0.000125,5,False
23,1,'100001001110010,0.000125,6,False
23,1,'100001111010110,0.000125,8,False
23,1,'101110010010000,0.000125,6,False
23,1,'011111101001100,0.000125,9,False
23,1,'101001101101101,0.000125,9,False
23,1,'100100011001001,0.000125,6,False
23,1,'101111111101001,0.00025,11,False
23,2,'101111111101001,0.00025,11,False
23,1,'110010000011010,0.000125,6,False
23,1,'011111101010100,0.000125,9,False
23,1,'111100001010000,0.000125,6,False
23,1,'111001001111100,0.000125,9,False
23,1,'010011100010010,0.000125,6,False
23,1,'000111101000001,0.000125,6,False
23,1,'111000111010111,0.000125,10,False
23,1,'110011101001101,0.000125,9,False
23,1,'100011101010111,0.000125,9,False
23,1,'000110001011111,0.000125,8,False
23,1,'101011011010111,0.000125,10,False
23,1,'001011000111100,0.000125,7,False
23,1,'110100011011011,0.000125,9,False
23,1,'100001010010101,0.000125,6,False
