run,shot_id,bitstring,probability,sum_x,feasible
27,1,'111001010010011,0.00025,8,False
27,2,'111001010010011,0.00025,8,False
27,1,'101110001010110,0.000125,8,False
27,1,'110000001110000,0.000125,5,False
27,1,'110011100111011,0.000125,10,False
27,1,'110101001100011,0.000125,8,False
27,1,'000101001010000,0.000125,4,False
27,1,'110000110010000,0.000125,5,False
27,1,'001011000010001,0.000125,5,False
27,1,'011111010110110,0.000125,10,False
27,1,'010001110011000,0.000125,6,False
27,1,'101100001001011,0.000125,7,False
27,1,'111100000110100,0.000125,7,False
27,1,'110010001110001,0.000125,7,False
27,1,'010110011000000,0.000125,5,False
27,1,'111001000010001,0.000125,6,False
27,1,'011100100101000,0.000125,6,False
27,1,'110101111100000,0.000125,8,False
27,1,'000101111100101,0.000125,8,False
27,1,'011011010100010,0.000125,7,False
27,1,'011111101011110,0.000125,11,False
27,1,'110011010101111,0.000125,10,False
27,1,'010001111000101,0.000125,7,False
27,1,'111001100001001,0.000125,7,False
27,1,'000111000001001,0.000125,5,False
27,1,'111110001011010,0.000125,9,False
27,1,'000101010111001,0.000125,7,False
27,1,'100011111010111,0.000125,10,False
27,1,'010010000101010,0.000125,5,False
27,1,'101101011100000,0.000125,7,False
27,1,'000101010001110,0.000125,6,False
27,1,'001111101111001,0.000125,10,False
27,1,'010101100011111,0.000125,9,False
27,1,'001101011111000,0.000125,8,False
27,1,'101000111111011,0.000125,10,False
27,1,'100111101100111,0.000125,10,False
27,1,'101100101001110,0.000125,8,False
27,1,'001001100101110,0.000125,7,False
27,1,'101101000011111,0.000125,9,False
27,1,'011000000111110,0.000125,7,False
27,1,'101001101111011,0.000125,10,False
27,1,'101111110111101,0.000125,12,False
27,1,'010010000000010,0.000125,3,False
27,1,'000010011100001,0.000125,5,False
27,1,'000010111011010,0.000125,7,False
27,1,'001100000011101,0.000125,6,False
27,1,'100000001011010,0.000125,5,False
27,1,'011010100101111,0.000125,9,False
27,1,'011001011010001,0.000125,7,False
27,1,'101100001000010,0.000125,5,False
27,1,'101011101010100,0.000125,8,False
27,1,'011100110010100,0.000125,7,False
27,1,'101000011101101,0.000125,8,False
27,1,'100101011110010,0.000125,8,False
27,1,'000101011100110,0.000125,7,False
27,1,'111111100010110,0.000125,10,False
27,1,'101101000100111,0.000125,8,False
27,1,'011101100100111,0.000125,9,False
27,1,'001010011110010,0.000125,7,False
27,1,'110110010110110,0.000125,9,False
27,1,'001010011010101,0.000125,7,False
27,1,'000101101101111,0.000125,9,False
27,1,'000100010110011,0.000125,6,False
27,1,'000001011011111,0.000125,8,False
27,1,'100011110000110,0.000125,7,False
27,1,'000000110001100,0.000125,4,False
27,1,'101110100011011,0.000125,9,False
27,1,'000100100010110,0.000125,5,False
27,1,'001011000100011,0.000125,6,False
27,1,'011100001011110,0.000125,8,False
27,1,'011010011110111,0.000125,10,False
27,1,'011110001101110,0.000125,9,False
27,1,'001110000010110,0.000125,6,False
27,1,'100101010101001,0.000125,7,False
27,1,'011101001100001,0.000125,7,False
27,1,'111001000100000,0.000125,5,False
27,1,'010100010110100,0.000125,6,False
27,1,'001110101101000,0.000125,7,False
27,1,'110100001101111,0.000125,9,False
27,1,'110100100010011,0.000125,7,False
27,1,'000100011001101,0.000125,6,False
27,1,'110001101100000,0.000125,6,False
27,1,'001111011001000,0.000125,7,False
27,1,'011011000111011,0.000125,9,False
27,1,'111100110110110,0.000125,10,False
27,1,'100011010011001,0.000125,7,False
27,1,'100010001111010,0.000125,7,False
27,1,'110101111001110,0.000125,10,False
27,1,'111101111000101,0.000125,10,False
27,1,'100010001111000,0.000125,6,False
27,1,'000111100000100,0.000125,5,False
27,1,'110101011101001,0.000125,9,False
27,1,'110100000111101,0.000125,8,False
27,1,'010010001010010,0.000125,5,False
27,1,'110000000111000,0.000125,5,False
27,1,'001001010110101,0.000125,7,False
27,1,'100001011111111,0.000125,10,False
27,1,'100000100001010,0.000125,4,False
27,1,'011110111000101,0.000125,9,False
27,1,'001100110111001,0.000125,8,False
27,1,'101101001100010,0.000125,7,False
27,1,'001110010000010,0.000125,5,False
27,1,'010100001000110,0.000125,5,False
27,1,'011100010110111,0.000125,9,False
27,1,'011100001000101,0.000125,6,False
27,1,'101010101101010,0.000125,8,False
27,1,'011110010111100,0.000125,9,False
27,1,'001111111110010,0.000125,10,False
27,1,'110100110110101,0.000125,9,False
27,1,'000110001110010,0.000125,6,False
27,1,'010010101001111,0.000125,8,False
27,1,'011101000101100,0.000125,7,False
27,1,'101111110001100,0.000125,9,False
27,1,'110010110111110,0.000125,10,False
27,1,'011111001001101,0.000125,9,False
27,1,'011100110110111,0.000125,10,False
27,1,'000110010010010,0.000125,5,False
27,1,'000100101111001,0.000125,7,False
27,1,'111111110110011,0.000125,12,False
27,1,'100011110000111,0.000125,8,False
27,1,'111110000001101,0.000125,8,False
27,1,'000000011001010,0.000125,4,False
27,1,'110111110010111,0.000125,11,False
27,1,'001000110010100,0.000125,5,False
27,1,'011100001110000,0.000125,6,False
27,1,'110101011001111,0.000125,10,False
27,1,'001011101011011,0.000125,9,False
27,1,'100010000010000,0.000125,3,False
27,1,'110101111111011,0.000125,12,False
27,1,'111101000010000,0.000125,6,False
27,1,'011110111110000,0.000125,9,False
27,1,'111001100111111,0.000125,11,False
27,1,'101101100111011,0.000125,10,False
27,1,'011101101000010,0.000125,7,False
27,1,'000110101101110,0.000125,8,False
27,1,'001111010101101,0.000125,9,False
27,1,'010111001011011,0.000125,9,False
27,1,'001111000010100,0.000125,6,False
27,1,'010110111111001,0.000125,10,False
27,1,'111111111110011,0.000125,13,False
27,1,'100101010001101,0.000125,7,False
27,1,'011101101011001,0.000125,9,False
27,1,'110110111100100,0.000125,9,False
27,1,'001110101110100,0.000125,8,False
27,1,'110111101111001,0.000125,11,False
27,1,'111110111101111,0.000125,13,False
27,1,'100101010001110,0.000125,7,False
27,1,'000100000111000,0.000125,4,False
27,1,'011010100110111,0.000125,9,False
27,1,'010110000110100,0.000125,6,False
27,1,'110111111111100,0.000125,12,False
27,1,'110111111011011,0.000125,12,False
27,1,'011111010111111,0.000125,12,False
27,1,'011100001100000,0.000125,5,False
27,1,'010011000100111,0.000125,7,False
27,1,'011011100011110,0.000125,9,False
27,1,'011011011001110,0.000125,9,False
27,1,'101011110110010,0.000125,9,False
27,1,'010001101000101,0.000125,6,False
27,1,'111101000100000,0.000125,6,False
27,1,'110010000101110,0.000125,7,False
27,1,'011000001011011,0.000125,7,False
27,1,'010000011010011,0.000125,6,False
27,1,'010000000011111,0.000125,6,False
27,1,'101000000000001,0.000125,3,False
27,1,'110100010111111,0.000125,10,False
27,1,'100000000001111,0.000125,5,False
27,1,'110100001100111,0.000125,8,False
27,1,'111111101100000,0.000125,9,False
27,1,'110010001001000,0.000125,5,False
27,1,'011100100111011,0.000125,9,False
27,1,'101001101100001,0.000125,7,False
27,1,'110011110111110,0.000125,11,False
27,1,'001111001001101,0.000125,8,False
27,1,'101111111110110,0.000125,12,False
27,1,'001010111001010,0.000125,7,False
27,1,'011010100001011,0.000125,7,False
27,1,'110101111101010,0.000125,10,False
27,1,'110111010010111,0.000125,10,False
27,1,'000101011001001,0.000125,6,False
27,1,'000110010011110,0.000125,7,False
27,1,'011001110100110,0.000125,8,False
27,1,'010000010110111,0.000125,7,False
27,1,'010011001000001,0.000125,5,False
27,1,'110101101100001,0.000125,8,False
27,1,'111000111000011,0.000125,8,False
27,1,'001011010110101,0.000125,8,False
27,1,'111010100101101,0.000125,9,False
27,1,'100010010101111,0.000125,8,False
27,1,'001010000110011,0.000125,6,False
27,1,'010001000001011,0.000125,5,False
27,1,'000110101111011,0.000125,9,False
27,1,'111001111101011,0.000125,11,False
27,1,'000100011101010,0.000125,6,False
27,1,'010001110110000,0.000125,6,False
27,1,'111000000001010,0.000125,5,False
27,1,'000000111110010,0.000125,6,False
27,1,'001111111001010,0.000125,9,False
27,1,'001000010101011,0.000125,6,False
27,1,'001001101001101,0.000125,7,False
27,1,'110111000011101,0.000125,9,False
27,1,'111111110010110,0.000125,11,False
27,1,'011011001011001,0.000125,8,False
27,1,'000001010110100,0.000125,5,False
27,1,'000011100110110,0.000125,7,False
27,1,'100111001111010,0.00025,9,False
27,2,'100111001111010,0.00025,9,False
27,1,'101000011110101,0.000125,8,False
27,1,'010010011000000,0.000125,4,False
27,1,'001111001011011,0.000125,9,False
27,1,'110011011101111,0.000125,11,False
27,1,'010001010110100,0.000125,6,False
27,1,'000101100000110,0.000125,5,False
27,1,'011110001010100,0.000125,7,False
27,1,'000010010000001,0.000125,3,False
27,1,'010011111110000,0.000125,8,False
27,1,'110010010000000,0.000125,4,False
27,1,'011111100010101,0.000125,9,False
27,1,'011111000100110,0.000125,8,False
27,1,'000001101101000,0.000125,5,False
27,1,'110001010001011,0.000125,7,False
27,1,'111010111001101,0.000125,10,False
27,1,'000011001001100,0.000125,5,False
27,1,'000101000001111,0.000125,6,False
27,1,'001000101111110,0.000125,8,False
27,1,'101100100111111,0.000125,10,False
27,1,'000111101000111,0.000125,8,False
27,1,'100111000110110,0.000125,8,False
27,1,'100111011100001,0.000125,8,False
27,1,'111011101101000,0.000125,9,False
27,1,'111100100111111,0.000125,11,False
27,1,'100101101100000,0.000125,6,False
27,1,'111100011110110,0.000125,10,False
27,1,'010101111000100,0.000125,7,False
27,1,'010010101011100,0.000125,7,False
27,1,'111011100010100,0.000125,8,False
27,1,'000000110100000,0.000125,3,False
27,1,'100000110111001,0.000125,7,False
27,1,'100000101000100,0.000125,4,False
27,1,'111001100111110,0.000125,10,False
27,1,'001100011111110,0.000125,9,False
27,1,'100110111101011,0.000125,10,False
27,1,'101011011010000,0.000125,7,False
27,1,'100100001111101,0.000125,8,False
27,1,'011011011000000,0.000125,6,False
27,1,'100011001100011,0.000125,7,False
27,1,'100001100111110,0.000125,8,False
27,1,'010110110000000,0.000125,5,False
27,1,'001000011110111,0.000125,8,False
27,1,'100111001110110,0.000125,9,False
27,1,'000100110000011,0.000125,5,False
27,1,'010011111110111,0.000125,11,False
27,1,'010000110111000,0.000125,6,False
27,1,'000010111100010,0.000125,6,False
27,1,'110000000100111,0.000125,6,False
27,1,'001110010111110,0.000125,9,False
27,1,'100001111000000,0.000125,5,False
27,1,'000000111110111,0.000125,8,False
27,1,'110001010000010,0.000125,5,False
27,1,'100111011001111,0.000125,10,False
27,1,'000110100001011,0.000125,6,False
27,1,'011010010100010,0.00025,6,False
27,2,'011010010100010,0.00025,6,False
27,1,'010001001100110,0.000125,6,False
27,1,'110010101100111,0.000125,9,False
27,1,'010110011010111,0.000125,9,False
27,1,'110111100110010,0.000125,9,False
27,1,'000110000100110,0.000125,5,False
27,1,'000100100011010,0.000125,5,False
27,1,'100011010101001,0.000125,7,False
27,1,'110011000100001,0.000125,6,False
27,1,'001110011010000,0.000125,6,False
27,1,'100000100100101,0.000125,5,False
27,1,'010101110111001,0.000125,9,False
27,1,'100010111011001,0.000125,8,False
27,1,'011111101101110,0.000125,11,False
27,1,'010000111100001,0.000125,6,False
27,1,'010110100011000,0.000125,6,False
27,1,'100000110001011,0.000125,6,False
27,1,'001010110110011,0.000125,8,False
27,1,'101000001110111,0.000125,8,False
27,1,'001001111000011,0.000125,7,False
27,1,'111111001110100,0.000125,10,False
27,1,'111111011100111,0.000125,12,False
27,1,'111010011010011,0.000125,9,False
27,1,'110011101100101,0.000125,9,False
27,1,'011000001110010,0.000125,6,False
27,1,'001111011111011,0.00025,11,False
27,2,'001111011111011,0.00025,11,False
27,1,'011100011011010,0.000125,8,False
27,1,'110010010100110,0.000125,7,False
27,1,'001000001110011,0.000125,6,False
27,1,'101100111000101,0.000125,8,False
27,1,'000100100001110,0.000125,5,False
27,1,'000010111111110,0.00025,9,False
27,2,'000010111111110,0.00025,9,False
27,1,'101111110000010,0.00025,8,False
27,2,'101111110000010,0.00025,8,False
27,1,'101011111001011,0.000125,10,False
27,1,'100000000000001,0.000125,2,False
27,1,'011001000100001,0.000125,5,False
27,1,'000100001010101,0.000125,5,False
27,1,'110000100001101,0.000125,6,False
27,1,'111000100110011,0.000125,8,False
27,1,'100010110010110,0.000125,7,False
27,1,'000111010101001,0.000125,7,False
27,1,'010001011010010,0.000125,6,False
27,1,'001000100101000,0.000125,4,False
27,1,'110010100001011,0.000125,7,False
27,1,'110000010110100,0.000125,6,False
27,1,'011010000111111,0.000125,9,False
27,1,'011101111111001,0.000125,11,False
27,1,'110101110001010,0.000125,8,False
27,1,'011010111000100,0.000125,7,False
27,1,'111001010111111,0.000125,11,False
27,1,'010000011101011,0.000125,7,False
27,1,'111010101111110,0.000125,11,False
27,1,'010010100010001,0.000125,5,False
27,1,'111110011111111,0.000125,13,False
27,1,'000101111111100,0.000125,9,False
27,1,'000010101000101,0.000125,5,False
27,1,'110101110110011,0.000125,10,False
27,1,'100000010010010,0.000125,4,False
27,1,'000001010001001,0.000125,4,False
27,1,'010111101111101,0.000125,11,False
27,1,'010111110111100,0.000125,10,False
27,1,'011000001010000,0.000125,4,False
27,1,'010011010001010,0.00025,6,False
27,2,'010011010001010,0.00025,6,False
27,1,'111000100010111,0.000125,8,False
27,1,'000101000101111,0.000125,7,False
27,1,'011000111010111,0.000125,9,False
