string,counts,energy_M,feasible
'0000000,298,0,infeasible
'0000001,109,1,infeasible
'0100000,108,1,infeasible
'0010000,84,1,infeasible
'1000000,77,1,infeasible
'0001000,48,1,infeasible
'0000010,47,1,infeasible
'0000100,40,1,infeasible
'1100000,59,2,infeasible
'1000100,59,2,infeasible
'0010100,52,2,infeasible
'0011000,52,2,infeasible
'0010010,50,2,infeasible
'0100100,49,2,infeasible
'1001000,48,2,infeasible
'1000001,45,2,infeasible
'0000011,43,2,infeasible
'0001100,41,2,infeasible
'0010001,35,2,infeasible
'0000110,33,2,infeasible
'0001010,27,2,infeasible
'0001001,24,2,infeasible
'0000101,17,2,infeasible
'0001110,53,3,infeasible
'0010110,36,3,infeasible
'0011100,35,3,infeasible
'1100100,31,3,infeasible
'0011010,28,3,infeasible
'0010011,26,3,infeasible
'1001001,26,3,infeasible
'0000111,24,3,infeasible
'0011001,21,3,infeasible
'0001101,21,3,infeasible
'0010101,20,3,infeasible
'0001011,13,3,infeasible
'0011110,55,4,infeasible
'0001111,28,4,infeasible
'0011101,28,4,infeasible
'0010111,25,4,infeasible
'0011011,18,4,infeasible
'0011111,27,5,infeasible
'1010000,67,2,feasible
'0101000,62,2,feasible
'0110000,59,2,feasible
'0100001,41,2,feasible
'0100010,39,2,feasible
'1000010,36,2,feasible
'1110000,74,3,feasible
'1011000,49,3,feasible
'0110010,47,3,feasible
'1100010,44,3,feasible
'1010100,43,3,feasible
'1010010,42,3,feasible
'1101000,41,3,feasible
'0111000,40,3,feasible
'1000110,39,3,feasible
'0101100,39,3,feasible
'1010001,37,3,feasible
'1001010,33,3,feasible
'0101010,32,3,feasible
'1100001,32,3,feasible
'0100110,30,3,feasible
'1001100,30,3,feasible
'0110100,27,3,feasible
'0101001,23,3,feasible
'1000101,22,3,feasible
'0110001,22,3,feasible
'0100011,21,3,feasible
'0100101,18,3,feasible
'1000011,16,3,feasible
'0101110,85,4,feasible
'1011100,53,4,feasible
'1001110,50,4,feasible
'0111100,48,4,feasible
'0111010,45,4,feasible
'1101100,44,4,feasible
'1001101,41,4,feasible
'1111000,41,4,feasible
'1101010,41,4,feasible
'1110010,40,4,feasible
'1010110,39,4,feasible
'0110110,39,4,feasible
'1011010,36,4,feasible
'1110001,33,4,feasible
'1110100,32,4,feasible
'1100110,30,4,feasible
'1010101,29,4,feasible
'0101011,26,4,feasible
'0110101,22,4,feasible
'1001011,22,4,feasible
'0100111,20,4,feasible
'1011001,20,4,feasible
'0101101,19,4,feasible
'1101001,18,4,feasible
'0110011,17,4,feasible
'1000111,15,4,feasible
'1100011,15,4,feasible
'1010011,12,4,feasible
'1100101,10,4,feasible
'0111001,10,4,feasible
'1011110,139,5,feasible
'1101110,72,5,feasible
'0111110,58,5,feasible
'1111010,55,5,feasible
'1110110,49,5,feasible
'1111100,39,5,feasible
'0101111,33,5,feasible
'1011011,33,5,feasible
'1011101,28,5,feasible
'1010111,27,5,feasible
'1101011,26,5,feasible
'1110011,24,5,feasible
'1001111,22,5,feasible
'1101101,22,5,feasible
'0111011,21,5,feasible
'1110101,20,5,feasible
'1100111,19,5,feasible
'0110111,17,5,feasible
'1111001,16,5,feasible
'0111101,16,5,feasible
'1111110,76,6,feasible
'1011111,36,6,feasible
'1101111,27,6,feasible
'0111111,25,6,feasible
'1111011,23,6,feasible
'1111101,16,6,feasible
'1110111,16,6,feasible
'1111111,28,7,feasible
