string,counts,energy_M,feasible
'0000000,206,0,infeasible
'0100000,253,1,infeasible
'0010000,111,1,infeasible
'0000001,94,1,infeasible
'1000000,73,1,infeasible
'0001000,67,1,infeasible
'0000100,63,1,infeasible
'0000010,46,1,infeasible
'1100000,140,2,infeasible
'1000100,58,2,infeasible
'0100100,56,2,infeasible
'0010010,55,2,infeasible
'0010001,51,2,infeasible
'1001000,50,2,infeasible
'0010100,46,2,infeasible
'0000110,44,2,infeasible
'1000001,41,2,infeasible
'0011000,39,2,infeasible
'0001100,39,2,infeasible
'0000011,36,2,infeasible
'0001010,30,2,infeasible
'0000101,28,2,infeasible
'0001001,27,2,infeasible
'0001110,76,3,infeasible
'1100100,45,3,infeasible
'0011100,39,3,infeasible
'0010110,32,3,infeasible
'0011010,29,3,infeasible
'0000111,19,3,infeasible
'1001001,18,3,infeasible
'0001011,18,3,infeasible
'0010101,17,3,infeasible
'0001101,17,3,infeasible
'0010011,15,3,infeasible
'0011001,11,3,infeasible
'0011110,36,4,infeasible
'0001111,20,4,infeasible
'0011101,13,4,infeasible
'0011011,9,4,infeasible
'0010111,5,4,infeasible
'0011111,11,5,infeasible
'0110000,171,2,feasible
'1010000,118,2,feasible
'0100001,87,2,feasible
'0101000,64,2,feasible
'0100010,46,2,feasible
'1000010,25,2,feasible
'1110000,121,3,feasible
'0110001,61,3,feasible
'1001100,53,3,feasible
'0110010,47,3,feasible
'1100001,46,3,feasible
'1101000,46,3,feasible
'1011000,43,3,feasible
'1010001,43,3,feasible
'0111000,42,3,feasible
'1010100,41,3,feasible
'0101100,40,3,feasible
'1010010,39,3,feasible
'0101010,36,3,feasible
'1100010,36,3,feasible
'0100110,33,3,feasible
'0110100,31,3,feasible
'1000110,31,3,feasible
'1001010,24,3,feasible
'1000101,20,3,feasible
'0101001,18,3,feasible
'1000011,16,3,feasible
'0100101,15,3,feasible
'0100011,14,3,feasible
'0101110,76,4,feasible
'1110001,50,4,feasible
'1101100,48,4,feasible
'1110010,46,4,feasible
'1110100,39,4,feasible
'1100110,39,4,feasible
'0110110,39,4,feasible
'1001110,39,4,feasible
'1011100,37,4,feasible
'0111100,33,4,feasible
'1010110,32,4,feasible
'0111010,32,4,feasible
'1101010,31,4,feasible
'1111000,30,4,feasible
'1011010,30,4,feasible
'1001101,21,4,feasible
'1100101,20,4,feasible
'1010101,18,4,feasible
'1101001,17,4,feasible
'0110011,16,4,feasible
'0111001,16,4,feasible
'1011001,15,4,feasible
'0101101,11,4,feasible
'1010011,10,4,feasible
'1100011,10,4,feasible
'0110101,10,4,feasible
'1000111,10,4,feasible
'0101011,10,4,feasible
'0100111,8,4,feasible
'1001011,7,4,feasible
'1101110,63,5,feasible
'1111100,51,5,feasible
'1110110,45,5,feasible
'0111110,41,5,feasible
'1011110,37,5,feasible
'1111010,31,5,feasible
'1111001,21,5,feasible
'1110101,20,5,feasible
'1101101,19,5,feasible
'0101111,19,5,feasible
'1110011,17,5,feasible
'0111011,15,5,feasible
'1001111,15,5,feasible
'0110111,14,5,feasible
'1101011,12,5,feasible
'1010111,11,5,feasible
'0111101,9,5,feasible
'1100111,8,5,feasible
'1011101,8,5,feasible
'1011011,7,5,feasible
'1111110,93,6,feasible
'1011111,23,6,feasible
'1101111,22,6,feasible
'0111111,19,6,feasible
'1111101,13,6,feasible
'1110111,13,6,feasible
'1111011,11,6,feasible
'1111111,53,7,feasible
