string,counts,energy_M,feasible
'0000000,200,0,infeasible
'0100000,283,1,infeasible
'0010000,153,1,infeasible
'1000000,118,1,infeasible
'0001000,82,1,infeasible
'0000100,67,1,infeasible
'0000010,66,1,infeasible
'0000001,60,1,infeasible
'1100000,123,2,infeasible
'0011000,77,2,infeasible
'1001000,67,2,infeasible
'0100100,65,2,infeasible
'0001100,57,2,infeasible
'0010001,53,2,infeasible
'0010100,48,2,infeasible
'0000110,45,2,infeasible
'0010010,41,2,infeasible
'0001010,39,2,infeasible
'1000100,31,2,infeasible
'1000001,23,2,infeasible
'0000011,22,2,infeasible
'0001001,20,2,infeasible
'0000101,19,2,infeasible
'0001110,91,3,infeasible
'0011100,64,3,infeasible
'0010110,38,3,infeasible
'1100100,34,3,infeasible
'0011010,33,3,infeasible
'0001101,24,3,infeasible
'0011001,22,3,infeasible
'0010011,22,3,infeasible
'0010101,16,3,infeasible
'0000111,15,3,infeasible
'1001001,15,3,infeasible
'0001011,10,3,infeasible
'0011110,66,4,infeasible
'0001111,19,4,infeasible
'0011101,16,4,infeasible
'0010111,10,4,infeasible
'0011011,8,4,infeasible
'0011111,9,5,infeasible
'0110000,178,2,feasible
'0100010,109,2,feasible
'1010000,83,2,feasible
'0100001,77,2,feasible
'0101000,77,2,feasible
'1000010,39,2,feasible
'1110000,88,3,feasible
'0110010,54,3,feasible
'1011000,48,3,feasible
'0111000,48,3,feasible
'1101000,48,3,feasible
'0110001,47,3,feasible
'0101100,43,3,feasible
'1100001,41,3,feasible
'1001100,41,3,feasible
'1010010,40,3,feasible
'0110100,40,3,feasible
'0100011,39,3,feasible
'0101001,37,3,feasible
'1100010,35,3,feasible
'0101010,31,3,feasible
'1010100,29,3,feasible
'0100110,28,3,feasible
'0100101,23,3,feasible
'1010001,21,3,feasible
'1001010,19,3,feasible
'1000110,16,3,feasible
'1000101,13,3,feasible
'1000011,11,3,feasible
'1111000,69,4,feasible
'1001110,56,4,feasible
'0111100,46,4,feasible
'1011100,43,4,feasible
'1110100,41,4,feasible
'0101110,40,4,feasible
'1100110,33,4,feasible
'1110001,32,4,feasible
'1110010,32,4,feasible
'1011010,31,4,feasible
'1101010,30,4,feasible
'0111010,30,4,feasible
'1101100,28,4,feasible
'1010110,27,4,feasible
'0101101,26,4,feasible
'1001101,23,4,feasible
'0110011,20,4,feasible
'1101001,19,4,feasible
'0110101,17,4,feasible
'0110110,17,4,feasible
'1010011,16,4,feasible
'1010101,16,4,feasible
'0111001,15,4,feasible
'0101011,14,4,feasible
'1011001,14,4,feasible
'1100101,13,4,feasible
'1100011,9,4,feasible
'0100111,8,4,feasible
'1001011,7,4,feasible
'1000111,6,4,feasible
'1111010,63,5,feasible
'1111100,54,5,feasible
'1011110,53,5,feasible
'1101110,46,5,feasible
'0111110,41,5,feasible
'1110110,31,5,feasible
'0111101,17,5,feasible
'1110011,15,5,feasible
'0101111,14,5,feasible
'1011101,14,5,feasible
'1111001,13,5,feasible
'1011011,12,5,feasible
'1101101,12,5,feasible
'1010111,11,5,feasible
'1110101,10,5,feasible
'1101011,9,5,feasible
'1001111,9,5,feasible
'0111011,8,5,feasible
'1100111,7,5,feasible
'0110111,4,5,feasible
'1111110,42,6,feasible
'1111101,13,6,feasible
'1101111,11,6,feasible
'0111111,9,6,feasible
'1011111,8,6,feasible
'1111011,7,6,feasible
'1110111,6,6,feasible
'1111111,9,7,feasible
