string,counts,energy_M,feasible
'0000000,108,0,infeasible
'0100000,444,1,infeasible
'0010000,63,1,infeasible
'1000000,57,1,infeasible
'0001000,56,1,infeasible
'0000001,39,1,infeasible
'0000100,35,1,infeasible
'0000010,34,1,infeasible
'0100100,94,2,infeasible
'1100000,87,2,infeasible
'1001000,56,2,infeasible
'0011000,53,2,infeasible
'0010010,53,2,infeasible
'0010001,47,2,infeasible
'0000110,42,2,infeasible
'0010100,41,2,infeasible
'0001010,36,2,infeasible
'0001100,32,2,infeasible
'0001001,29,2,infeasible
'1000001,27,2,infeasible
'0000101,23,2,infeasible
'1000100,21,2,infeasible
'0000011,20,2,infeasible
'0001110,61,3,infeasible
'0010110,47,3,infeasible
'1100100,36,3,infeasible
'0011010,35,3,infeasible
'0011100,31,3,infeasible
'1001001,30,3,infeasible
'0011001,29,3,infeasible
'0001101,26,3,infeasible
'0010011,25,3,infeasible
'0000111,25,3,infeasible
'0010101,23,3,infeasible
'0001011,12,3,infeasible
'0001111,50,4,infeasible
'0011110,39,4,infeasible
'0011011,20,4,infeasible
'0011101,17,4,infeasible
'0010111,17,4,infeasible
'0011111,22,5,infeasible
'0110000,116,2,feasible
'0100001,98,2,feasible
'0100010,88,2,feasible
'0101000,67,2,feasible
'1010000,61,2,feasible
'1000010,51,2,feasible
'1100010,72,3,feasible
'1110000,62,3,feasible
'0101100,56,3,feasible
'0110010,53,3,feasible
'0100110,51,3,feasible
'0110100,46,3,feasible
'0100011,41,3,feasible
'1010010,40,3,feasible
'0101010,39,3,feasible
'1000110,39,3,feasible
'0111000,38,3,feasible
'0110001,37,3,feasible
'0101001,37,3,feasible
'1011000,35,3,feasible
'1010001,34,3,feasible
'1010100,34,3,feasible
'1000101,33,3,feasible
'1001100,33,3,feasible
'1101000,32,3,feasible
'0100101,27,3,feasible
'1000011,25,3,feasible
'1100001,24,3,feasible
'1001010,23,3,feasible
'1111000,56,4,feasible
'0111100,52,4,feasible
'1110010,49,4,feasible
'1110001,48,4,feasible
'1101100,44,4,feasible
'0101110,42,4,feasible
'1101010,40,4,feasible
'1110100,40,4,feasible
'0101101,40,4,feasible
'1001110,37,4,feasible
'1011010,32,4,feasible
'1100110,32,4,feasible
'0111010,31,4,feasible
'1010110,27,4,feasible
'0110110,27,4,feasible
'0110011,24,4,feasible
'1011100,22,4,feasible
'0110101,21,4,feasible
'0100111,19,4,feasible
'1011001,19,4,feasible
'1001101,18,4,feasible
'1101001,18,4,feasible
'0101011,18,4,feasible
'1100101,17,4,feasible
'1100011,17,4,feasible
'1010101,16,4,feasible
'1001011,16,4,feasible
'0111001,16,4,feasible
'1000111,13,4,feasible
'1010011,13,4,feasible
'1110110,46,5,feasible
'0111110,43,5,feasible
'1011110,39,5,feasible
'1101110,34,5,feasible
'1101011,31,5,feasible
'1111100,31,5,feasible
'1001111,29,5,feasible
'0111101,29,5,feasible
'1110011,28,5,feasible
'1111010,27,5,feasible
'0111011,25,5,feasible
'1101101,22,5,feasible
'1110101,21,5,feasible
'1111001,19,5,feasible
'1010111,19,5,feasible
'1011101,17,5,feasible
'0101111,16,5,feasible
'1100111,15,5,feasible
'0110111,15,5,feasible
'1011011,9,5,feasible
'1111110,39,6,feasible
'1011111,25,6,feasible
'1111011,23,6,feasible
'1101111,21,6,feasible
'0111111,21,6,feasible
'1111101,20,6,feasible
'1110111,13,6,feasible
'1111111,25,7,feasible
