string,counts,energy_M,feasible
'0000000,163,0,infeasible
'0000010,172,1,infeasible
'0100000,148,1,infeasible
'0000100,110,1,infeasible
'0010000,102,1,infeasible
'0001000,100,1,infeasible
'1000000,71,1,infeasible
'0000001,46,1,infeasible
'0100100,114,2,infeasible
'0010010,110,2,infeasible
'0000110,84,2,infeasible
'0001100,84,2,infeasible
'0001010,73,2,infeasible
'1100000,64,2,infeasible
'0010100,61,2,infeasible
'0000101,55,2,infeasible
'1000100,49,2,infeasible
'0011000,48,2,infeasible
'0000011,47,2,infeasible
'1001000,46,2,infeasible
'0010001,45,2,infeasible
'1000001,28,2,infeasible
'0001001,27,2,infeasible
'0001110,76,3,infeasible
'0010110,63,3,infeasible
'0011010,46,3,infeasible
'1100100,44,3,infeasible
'0011100,36,3,infeasible
'0001101,35,3,infeasible
'0000111,24,3,infeasible
'0010011,24,3,infeasible
'0010101,22,3,infeasible
'0001011,19,3,infeasible
'1001001,16,3,infeasible
'0011001,13,3,infeasible
'0011110,65,4,infeasible
'0001111,24,4,infeasible
'0010111,19,4,infeasible
'0011101,14,4,infeasible
'0011011,13,4,infeasible
'0011111,28,5,infeasible
'0100010,127,2,feasible
'0101000,96,2,feasible
'0110000,91,2,feasible
'1000010,45,2,feasible
'0100001,41,2,feasible
'1010000,40,2,feasible
'0101010,86,3,feasible
'0100110,84,3,feasible
'0110010,77,3,feasible
'0101100,54,3,feasible
'0100101,53,3,feasible
'1100010,48,3,feasible
'1000110,48,3,feasible
'0110100,45,3,feasible
'0100011,43,3,feasible
'1010010,36,3,feasible
'1101000,33,3,feasible
'1001010,32,3,feasible
'1010100,30,3,feasible
'1110000,28,3,feasible
'0111000,28,3,feasible
'1001100,28,3,feasible
'1000101,26,3,feasible
'0101001,25,3,feasible
'0110001,24,3,feasible
'1011000,22,3,feasible
'1100001,17,3,feasible
'1000011,17,3,feasible
'1010001,11,3,feasible
'0101110,74,4,feasible
'1001110,44,4,feasible
'0111100,42,4,feasible
'0111010,41,4,feasible
'0110110,39,4,feasible
'1101100,37,4,feasible
'1011100,35,4,feasible
'1101010,32,4,feasible
'1011010,32,4,feasible
'1100110,32,4,feasible
'0101101,25,4,feasible
'1110010,25,4,feasible
'1010110,24,4,feasible
'0101011,23,4,feasible
'1110100,22,4,feasible
'1010101,21,4,feasible
'1111000,21,4,feasible
'1100101,21,4,feasible
'0100111,19,4,feasible
'1001101,15,4,feasible
'1100011,13,4,feasible
'0110101,12,4,feasible
'1011001,12,4,feasible
'0110011,11,4,feasible
'0111001,11,4,feasible
'1001011,9,4,feasible
'1010011,8,4,feasible
'1000111,7,4,feasible
'1101001,7,4,feasible
'1110001,5,4,feasible
'1011110,54,5,feasible
'0111110,49,5,feasible
'1111010,46,5,feasible
'1111100,38,5,feasible
'1110110,35,5,feasible
'1101110,31,5,feasible
'0101111,31,5,feasible
'1101101,18,5,feasible
'0111101,17,5,feasible
'1011101,14,5,feasible
'1001111,13,5,feasible
'1110011,11,5,feasible
'1110101,10,5,feasible
'1011011,10,5,feasible
'1100111,10,5,feasible
'0111011,9,5,feasible
'0110111,8,5,feasible
'1101011,7,5,feasible
'1010111,6,5,feasible
'1111001,6,5,feasible
'1111110,30,6,feasible
'1111101,15,6,feasible
'0111111,11,6,feasible
'1101111,8,6,feasible
'1111011,7,6,feasible
'1011111,7,6,feasible
'1110111,6,6,feasible
'1111111,11,7,feasible
