string,counts,energy_M,feasible
'0000000,111,0,infeasible
'0100000,89,1,infeasible
'0000010,77,1,infeasible
'1000000,77,1,infeasible
'0001000,60,1,infeasible
'0010000,54,1,infeasible
'0000100,43,1,infeasible
'0000001,36,1,infeasible
'1100000,77,2,infeasible
'0000110,54,2,infeasible
'0100100,51,2,infeasible
'0001001,48,2,infeasible
'0010010,47,2,infeasible
'1001000,44,2,infeasible
'0000011,43,2,infeasible
'0001010,41,2,infeasible
'0000101,40,2,infeasible
'0001100,40,2,infeasible
'0010001,39,2,infeasible
'0011000,36,2,infeasible
'1000001,34,2,infeasible
'0010100,33,2,infeasible
'1000100,20,2,infeasible
'0001110,62,3,infeasible
'0001101,34,3,infeasible
'1100100,33,3,infeasible
'0011100,31,3,infeasible
'0011001,30,3,infeasible
'0011010,29,3,infeasible
'0010110,27,3,infeasible
'0010101,25,3,infeasible
'0001011,23,3,infeasible
'0000111,21,3,infeasible
'0010011,20,3,infeasible
'1001001,19,3,infeasible
'0011110,84,4,infeasible
'0011011,22,4,infeasible
'0001111,20,4,infeasible
'0010111,16,4,infeasible
'0011101,15,4,infeasible
'0011111,38,5,infeasible
'1010000,218,2,feasible
'0101000,72,2,feasible
'0110000,57,2,feasible
'1000010,46,2,feasible
'0100001,37,2,feasible
'0100010,35,2,feasible
'1010001,100,3,feasible
'1110000,53,3,feasible
'0110001,51,3,feasible
'1100001,42,3,feasible
'1011000,38,3,feasible
'0111000,38,3,feasible
'1010100,38,3,feasible
'0101010,37,3,feasible
'1100010,37,3,feasible
'0100110,37,3,feasible
'0100101,37,3,feasible
'0101100,35,3,feasible
'1001100,35,3,feasible
'1000110,33,3,feasible
'1010010,31,3,feasible
'0110010,31,3,feasible
'0110100,29,3,feasible
'1001010,27,3,feasible
'0101001,25,3,feasible
'1101000,24,3,feasible
'1000011,21,3,feasible
'0100011,20,3,feasible
'1000101,15,3,feasible
'1001110,95,4,feasible
'1011100,70,4,feasible
'0101110,50,4,feasible
'1110100,43,4,feasible
'1110010,41,4,feasible
'1011010,40,4,feasible
'0111010,39,4,feasible
'1111000,39,4,feasible
'1110001,36,4,feasible
'0110110,35,4,feasible
'1101010,35,4,feasible
'1010011,31,4,feasible
'1101100,31,4,feasible
'1011001,31,4,feasible
'1100110,29,4,feasible
'0111100,29,4,feasible
'1100101,28,4,feasible
'0110101,27,4,feasible
'0111001,25,4,feasible
'1101001,23,4,feasible
'0101011,23,4,feasible
'0110011,23,4,feasible
'0101101,23,4,feasible
'1100011,22,4,feasible
'1010110,22,4,feasible
'1010101,20,4,feasible
'1001101,17,4,feasible
'0100111,16,4,feasible
'1001011,15,4,feasible
'1000111,9,4,feasible
'1011110,71,5,feasible
'1101110,56,5,feasible
'1111100,50,5,feasible
'0111110,49,5,feasible
'1111010,42,5,feasible
'1011011,36,5,feasible
'1110011,35,5,feasible
'1110110,33,5,feasible
'0101111,32,5,feasible
'1001111,31,5,feasible
'1111001,30,5,feasible
'1011101,30,5,feasible
'1010111,29,5,feasible
'1101011,29,5,feasible
'1101101,28,5,feasible
'0111011,25,5,feasible
'0111101,24,5,feasible
'1110101,18,5,feasible
'1100111,18,5,feasible
'0110111,18,5,feasible
'0111111,50,6,feasible
'1101111,50,6,feasible
'1111011,40,6,feasible
'1111110,39,6,feasible
'1111101,30,6,feasible
'1011111,28,6,feasible
'1110111,27,6,feasible
'1111111,43,7,feasible
