string,counts,energy_M,energy_Q,feasible
'111100110001100010000000,1,0,130.0,infeasible
'101111110100000000000000,1,0,123.0,infeasible
'101110011011101100000000,1,0,155.0,infeasible
'101101010011011010000000,1,0,90.0,infeasible
'010111110000101010001000,1,1,119.0,infeasible
'100001011011001000000010,1,1,55.0,infeasible
'111011110110110100000001,1,1,177.0,infeasible
'110010011001110100010000,1,1,123.0,infeasible
'100001100110011000001000,1,1,33.0,infeasible
'000110001001010110000100,1,1,49.0,infeasible
'101000011111011100000001,1,1,92.0,infeasible
'000000000110000100000100,1,1,19.0,infeasible
'011011111010100000100000,1,1,158.0,infeasible
'011000001100100000010000,1,1,76.0,infeasible
'010011000011001100001000,1,1,75.0,infeasible
'110110001110000100000001,1,1,79.0,infeasible
'100000000000010000010000,1,1,10.0,infeasible
'000111011110101110000001,1,1,134.0,infeasible
'010000010101010100000100,1,1,68.0,infeasible
'001010110100010100000001,1,1,70.0,infeasible
'110010000010100010000100,1,1,62.0,infeasible
'110111101101111000000010,1,1,138.0,infeasible
'111110011001000110001000,1,1,119.0,infeasible
'010000100111101000000001,1,1,70.0,infeasible
'011001110100111110000101,1,2,113.0,infeasible
'010011110101100011000001,1,2,113.0,infeasible
'101001101010011010001001,1,2,28.0,infeasible
'101011101110000010100100,1,2,68.0,infeasible
'101111110000001010100100,1,2,77.0,infeasible
'011011010100010111000001,1,2,113.0,infeasible
'101010110100101101100000,1,2,98.0,infeasible
'000100000101001100100100,1,2,12.0,infeasible
'000100001010000110100100,1,2,24.0,infeasible
'100100100000101000000101,1,2,23.0,infeasible
'101001110100111100001001,1,2,68.0,infeasible
'110000101100001100000101,1,2,35.0,infeasible
'110111100110111010100100,1,2,110.0,infeasible
'000011110111101001000100,1,2,123.0,infeasible
'110000000110010110000101,1,2,38.0,infeasible
'101100101111110110100100,1,2,62.0,infeasible
'100000001111110000001100,1,2,51.0,infeasible
'000110111010110111001000,1,2,117.0,infeasible
'110000101011011110010001,1,2,49.0,infeasible
'000101101111111011000001,1,2,87.0,infeasible
'011010011011111000000101,1,2,129.0,infeasible
'101010110100001101000001,1,2,63.0,infeasible
'101011101000110010000101,1,2,76.0,infeasible
'111101100010010011000001,1,2,75.0,infeasible
'010001100100000000000011,1,2,25.0,infeasible
'001101001111110001000001,1,2,76.0,infeasible
'000111110101010000011000,1,2,59.0,infeasible
'110000101101011010010100,1,2,36.0,infeasible
'111011100010010000000101,1,2,83.0,infeasible
'010111000011011111000001,1,2,97.0,infeasible
'011100010101100101000100,1,2,100.0,infeasible
'011011011100111110001101,1,3,110.0,infeasible
'101001111101001011100100,1,3,65.0,infeasible
'001110101100010000001011,1,3,22.0,infeasible
'110011101101101010000111,1,3,54.0,infeasible
'001001000001000010001101,1,3,11.0,infeasible
'100001100010101000000111,1,3,21.0,infeasible
'110000110100011100001110,1,3,31.0,infeasible
'111010000101011000000111,1,3,38.0,infeasible
'001010000101010100011001,1,3,14.0,infeasible
'011011101100011000010101,1,3,72.0,infeasible
'110111100111000100011001,1,3,71.0,infeasible
'110000101000011100001101,1,3,20.0,infeasible
'001111000010010111001001,1,3,47.0,infeasible
'100001111110111010001101,1,3,74.0,infeasible
'000101001101000110001101,1,3,17.0,infeasible
'000110001110101000011010,1,3,23.0,infeasible
'100100110111111011100100,1,3,74.0,infeasible
'000111101001110000010011,1,3,50.0,infeasible
'110110000011011111100100,1,3,52.0,infeasible
'101001110011001000010101,1,3,27.0,infeasible
'100100111000101101001001,1,3,47.0,infeasible
'101101101010011100011100,1,3,16.0,infeasible
'001001000001001010001111,1,4,15.0,infeasible
'100001001010101110011101,1,4,16.0,infeasible
'001000001110000000011101,1,4,30.0,infeasible
'111110000000100110011101,1,4,52.0,infeasible
'111101101111110100010111,1,4,55.0,infeasible
'100110010111000010011011,1,4,30.0,infeasible
'111011110000110000100001,1,2,122.0,feasible
'111000110101011010100001,1,2,62.0,feasible
'101010010110110010100010,1,2,63.0,feasible
'110011011110111010100010,1,2,122.0,feasible
'101001001001000100100001,1,2,18.0,feasible
'110111001111011010100010,1,2,68.0,feasible
'000010011011111001000010,1,2,113.0,feasible
'001100100101011001010000,1,2,23.0,feasible
'011101111100110000110000,1,2,122.0,feasible
'001001011001110100100010,1,2,61.0,feasible
'111101100011110011000010,1,2,94.0,feasible
'010000101110111010101000,1,2,57.0,feasible
'100100110010010000100001,1,2,19.0,feasible
'110001010011111001000101,1,3,75.0,feasible
'100000001000101111001100,1,3,38.0,feasible
'010001110101111001010100,1,3,77.0,feasible
'111100101010001111000011,1,3,49.0,feasible
'001110101101101001100001,1,3,54.0,feasible
'101101000000011101010100,1,3,18.0,feasible
'111100011101101101100001,1,3,96.0,feasible
'011101000001000001110000,1,3,46.0,feasible
'010001001100101001100010,1,3,33.0,feasible
'101000110010110011100010,1,3,40.0,feasible
'011101000001011111000101,1,3,54.0,feasible
'011000111010100010101001,1,3,52.0,feasible
'111111100110100000110001,1,3,96.0,feasible
'111010000100100100101001,1,3,44.0,feasible
'101100001011000100101100,1,3,19.0,feasible
'101100000110000101100001,1,3,16.0,feasible
'101110001100000111000101,1,3,36.0,feasible
'010101110000101101010001,1,3,58.0,feasible
'011101011011000001001100,1,3,75.0,feasible
'011001010000101010101001,1,3,42.0,feasible
'000111111000011101100001,1,3,86.0,feasible
'101110101110101111100001,1,3,65.0,feasible
'111110011110100101010001,1,3,112.0,feasible
'011000010101011000111000,1,3,40.0,feasible
'111000101011101001000101,1,3,58.0,feasible
'100110010101010000101100,1,3,30.0,feasible
'101011010010110110100101,1,3,65.0,feasible
'011001101000001001001100,1,3,27.0,feasible
'010111000110011100110001,1,3,57.0,feasible
'101011111011000000101100,1,3,73.0,feasible
'101000000010110110111000,1,3,31.0,feasible
'100100110000101001100001,1,3,29.0,feasible
'001000100110101111101000,1,3,34.0,feasible
'100000101111101100100110,1,3,26.0,feasible
'101101010101001111101000,1,3,34.0,feasible
'100000011001010101001100,1,3,51.0,feasible
'001111101100010101101000,1,3,63.0,feasible
'110100100011100100101001,1,3,38.0,feasible
'000011010110101111000101,1,3,83.0,feasible
'100111000010111111001010,1,3,75.0,feasible
'011001001011010111100001,1,3,53.0,feasible
'111110000000111101001100,1,3,78.0,feasible
'011110110011000001101001,1,4,64.0,feasible
'011111010011100001010011,1,4,72.0,feasible
'101101100001101011010011,1,4,24.0,feasible
'010100111001000010111100,1,4,40.0,feasible
'010001000111111101101100,1,4,40.0,feasible
'011010010111111010101101,1,4,53.0,feasible
'101000111010000001001011,1,4,34.0,feasible
'101001001110101000111001,1,4,15.0,feasible
'100100110000001111101001,1,4,14.0,feasible
'111111101111111111011010,1,4,86.0,feasible
'111001100101101101101100,1,4,30.0,feasible
'011111101000001010101101,1,4,59.0,feasible
'111001010110010101101010,1,4,25.0,feasible
'011001010100010111001110,1,4,34.0,feasible
'111000101010111011110001,1,4,55.0,feasible
'100110010101001111001101,1,4,32.0,feasible
'100011101000001001011001,1,4,36.0,feasible
'000110011001011001001101,1,4,37.0,feasible
'101101011010011111011001,1,4,31.0,feasible
'000110101001101010110110,1,4,22.0,feasible
'101000000011010111101001,1,4,22.0,feasible
'010101101011000110110101,1,4,35.0,feasible
'010111010111100011001110,1,4,48.0,feasible
'000110011000011000101101,1,4,27.0,feasible
'110111001100010101100101,1,4,47.0,feasible
'100100000011100001011100,1,4,20.0,feasible
'111100100001111110111001,1,4,68.0,feasible
'000010101010111001001101,1,4,48.0,feasible
'110100111000001011100101,1,4,41.0,feasible
'011110101011100101101001,1,4,60.0,feasible
'011000100100001000111001,1,4,43.0,feasible
'101001001110011000100111,1,4,7.0,feasible
'111101101100110001100101,1,4,54.0,feasible
'000000010101000011101100,1,4,36.0,feasible
'100110101111001011010011,1,4,21.0,feasible
'011101110101110110101101,1,4,52.0,feasible
'010110101100100101101001,1,4,36.0,feasible
'101000000000100101001101,1,4,15.0,feasible
'010000010010101101011001,1,4,34.0,feasible
'001100111011010001100110,1,4,31.0,feasible
'011011111010111011001101,1,4,99.0,feasible
'010011101000010001001011,1,4,37.0,feasible
'010111110110101111101100,1,4,80.0,feasible
'100111011100110111010101,1,4,78.0,feasible
'111110111000000010101101,1,4,65.0,feasible
'001101110110110100111001,1,4,23.0,feasible
'110001000001101011111000,1,4,22.0,feasible
'110000010011010111101001,1,4,26.0,feasible
'100010000000101001101001,1,4,31.0,feasible
'010001100011110000110101,1,4,29.0,feasible
'001011110110101011010101,1,4,56.0,feasible
'100100110111001101011001,1,4,25.0,feasible
'100100110100110010101101,1,4,26.0,feasible
'100010010110100100101011,1,4,19.0,feasible
'011111100110101011011010,1,4,66.0,feasible
'101000010000110111110001,1,4,31.0,feasible
'001010111111011001100011,1,4,52.0,feasible
'101110111111110110100111,1,4,54.0,feasible
'010001100010101111001101,1,4,27.0,feasible
'101100100100101001011001,1,4,24.0,feasible
'110100111010011011101100,1,4,36.0,feasible
'000010101101001001111000,1,4,28.0,feasible
'000000101000001011010110,1,4,15.0,feasible
'001001100010110001001011,1,4,33.0,feasible
'101010100110010000110111,1,5,23.0,feasible
'001100001100010010111110,1,5,28.0,feasible
'111001100100011101011101,1,5,24.0,feasible
'101010001000110100111101,1,5,16.0,feasible
'101100000100000001110110,1,5,29.0,feasible
'100111011010111011101011,1,5,52.0,feasible
'101000110110110011001111,1,5,31.0,feasible
'000101010001100011101011,1,5,13.0,feasible
'111001101110101010110111,1,5,25.0,feasible
'101101001011101001111001,1,5,19.0,feasible
'101010101110011111111001,1,5,16.0,feasible
'001101101101000111111001,1,5,18.0,feasible
'100010011000000110111011,1,5,35.0,feasible
'011000000001001011101101,1,5,27.0,feasible
'101111000000111010101111,1,5,38.0,feasible
'011111000110100000110111,1,5,48.0,feasible
'010111001000010111011110,1,5,24.0,feasible
'100100000010000111101101,1,5,31.0,feasible
'111111000000000011101101,1,5,51.0,feasible
'100000111011010111101110,1,5,44.0,feasible
'101100010100100101011101,1,5,27.0,feasible
'110010010100000001011011,1,5,34.0,feasible
'011100110000001001011110,1,5,41.0,feasible
'111011100000010101110011,1,5,60.0,feasible
'111011100000011010111101,1,5,53.0,feasible
'101000010111101001111001,1,5,25.0,feasible
'000101000011011011101101,1,5,18.0,feasible
'000111101010100101111010,1,5,37.0,feasible
'011000110100010011110101,1,5,37.0,feasible
'111100110010111010111101,1,5,46.0,feasible
'001100001100001011101011,1,5,16.0,feasible
'101101001011001001101011,1,5,18.0,feasible
'010101000101010001011011,1,5,29.0,feasible
'000100101101111111111101,1,6,26.0,feasible
'111110110100111010111111,1,6,42.0,feasible
'001001101011101101111011,1,6,15.0,feasible
'010111101111101001111101,1,6,33.0,feasible
'000011000100011111111110,1,6,47.0,feasible
'111000101011001111110111,1,6,30.0,feasible
'001111011101010001011111,1,6,40.0,feasible
'111101001111110111111101,1,6,29.0,feasible
'010100100111110101111101,1,6,24.0,feasible
'101001011100000110111111,1,6,55.0,feasible
'100100001100010001101111,1,6,36.0,feasible
'101001001111110101111101,1,6,13.0,feasible
'001101110011111001110111,1,6,21.0,feasible
'100100001010110111111011,1,6,27.0,feasible
'100001100100101101111111,1,7,43.0,feasible
