string,counts,energy_M,energy_Q,feasible
'000100111110001000000000,1,0,87.0,infeasible
'000101110111110010000000,1,0,126.0,infeasible
'001000000001000010000000,1,0,21.0,infeasible
'111101000010000000000000,1,0,89.0,infeasible
'010100111000111100001000,1,1,118.0,infeasible
'101000110100011010010000,1,1,50.0,infeasible
'100111111111111000000010,1,1,162.0,infeasible
'110101011010001100010000,1,1,90.0,infeasible
'111000111110111000100000,1,1,145.0,infeasible
'110000111111001010010000,1,1,91.0,infeasible
'010101011010101100100000,1,1,109.0,infeasible
'100000100001000100010000,1,1,12.0,infeasible
'110110100011101010000010,1,1,90.0,infeasible
'101110001011111000010000,1,1,99.0,infeasible
'100000001110001010010000,1,1,21.0,infeasible
'100010111110111000100000,1,1,141.0,infeasible
'011001011001001000010010,1,2,66.0,infeasible
'101110100011000100000110,1,2,35.0,infeasible
'100000111110101010000101,1,2,76.0,infeasible
'100110101110010010000011,1,2,32.0,infeasible
'101011001010110001100000,1,2,97.0,infeasible
'011101111011111110001010,1,2,117.0,infeasible
'111100101001110000010010,1,2,82.0,infeasible
'101011011001111011100000,1,2,142.0,infeasible
'011011000001110100010010,1,2,91.0,infeasible
'011000110110100000001010,1,2,58.0,infeasible
'010110011001110000011000,1,2,89.0,infeasible
'011001011110000010010010,1,2,78.0,infeasible
'000011000010010000100100,1,2,42.0,infeasible
'001001000110111001100000,1,2,68.0,infeasible
'110111111010110110010010,1,2,122.0,infeasible
'101100100000101011001000,1,2,35.0,infeasible
'101100001000110011000001,1,2,54.0,infeasible
'011110001111110000011000,1,2,100.0,infeasible
'011011100110010100010010,1,2,78.0,infeasible
'110001010110001000011000,1,2,44.0,infeasible
'010101100111011000001100,1,2,37.0,infeasible
'001001011110010100001100,1,2,63.0,infeasible
'111001000111010110100100,1,2,54.0,infeasible
'000111001011000000010010,1,2,36.0,infeasible
'110100111010001001100000,1,2,64.0,infeasible
'111101111001000100001001,1,2,90.0,infeasible
'111011100101100110010010,1,2,91.0,infeasible
'110011001011110011100000,1,2,113.0,infeasible
'101101011001010101001000,1,2,59.0,infeasible
'111110110110010000000011,1,2,93.0,infeasible
'000011100001000111100000,1,2,85.0,infeasible
'001010001000000010001100,1,2,19.0,infeasible
'101010000011001000001010,1,2,27.0,infeasible
'000010000001011001001000,1,2,32.0,infeasible
'111011111110100110010100,1,2,146.0,infeasible
'110001011001111101100000,1,2,115.0,infeasible
'011100111000111100000011,1,2,114.0,infeasible
'100100110111110010011000,1,2,57.0,infeasible
'010000011001000010011100,1,3,46.0,infeasible
'011101111101000010001110,1,3,70.0,infeasible
'100011101001110010010011,1,3,49.0,infeasible
'110101111001010110001101,1,3,54.0,infeasible
'001011010111110010010011,1,3,54.0,infeasible
'111010000001111100001110,1,3,54.0,infeasible
'101000001110111000011100,1,3,43.0,infeasible
'001101111000110100001011,1,3,41.0,infeasible
'100101001110111100001101,1,3,41.0,infeasible
'110010100011111010011010,1,3,59.0,infeasible
'110011101100011100011001,1,3,50.0,infeasible
'001011111000101000011100,1,3,66.0,infeasible
'010010101001110100001110,1,3,35.0,infeasible
'011101000100001000000111,1,3,43.0,infeasible
'011011100100010000010011,1,3,71.0,infeasible
'110110100001001000011010,1,3,41.0,infeasible
'101101111110011110011010,1,3,40.0,infeasible
'111111001000101000001110,1,3,60.0,infeasible
'000111000110101000001110,1,3,32.0,infeasible
'000010100001001000001101,1,3,18.0,infeasible
'011101011111011010001011,1,3,76.0,infeasible
'101001101000000010010101,1,3,18.0,infeasible
'111011111111111010001101,1,3,127.0,infeasible
'000000000001000001100100,1,3,10.0,infeasible
'101000101001000110011011,1,4,23.0,infeasible
'010011000100110010010111,1,4,38.0,infeasible
'011001000111001010011101,1,4,41.0,infeasible
'011110111110010000011110,1,4,64.0,infeasible
'011111111001001010011101,1,4,78.0,infeasible
'011101001000000010011101,1,4,53.0,infeasible
'010111000011000010010111,1,4,45.0,infeasible
'100010010010111010011110,1,4,34.0,infeasible
'000111000110101100011011,1,4,24.0,infeasible
'001100011011100110011101,1,4,40.0,infeasible
'110010001111110010010111,1,4,30.0,infeasible
'011011010001101110011101,1,4,48.0,infeasible
'001000001110110100011011,1,4,26.0,infeasible
'000100000010011100010111,1,4,18.0,infeasible
'000111001000010000011111,1,5,29.0,infeasible
