string,counts,energy_M,energy_Q,feasible
'100111101011000100010000,1,1,75.0,infeasible
'011111101010100010000001,1,1,145.0,infeasible
'010010101011111011000000,1,1,146.0,infeasible
'101111000111101110000010,1,1,94.0,infeasible
'011000001110001110000001,1,1,79.0,infeasible
'001001010101110110010000,1,1,86.0,infeasible
'100000010111010010000100,1,1,58.0,infeasible
'100000001101101000000100,1,1,48.0,infeasible
'101010001111001010001000,1,1,52.0,infeasible
'111110010001110100000010,1,1,127.0,infeasible
'011111010000110110000100,1,1,164.0,infeasible
'110011001111100110010100,1,2,78.0,infeasible
'010000111001000100001100,1,2,54.0,infeasible
'100011001011000100001001,1,2,50.0,infeasible
'001010010011101000001100,1,2,54.0,infeasible
'111111001010001010000011,1,2,85.0,infeasible
'010101011101101010000011,1,2,82.0,infeasible
'001011010111100110001001,1,2,77.0,infeasible
'001010010110100101001000,1,2,73.0,infeasible
'011000001100001110010100,1,2,59.0,infeasible
'011001100100111110000110,1,2,79.0,infeasible
'010110001110100000011000,1,2,55.0,infeasible
'111010111100111111100000,1,2,177.0,infeasible
'101110100110110110010010,1,2,61.0,infeasible
'010011100010000010010010,1,2,58.0,infeasible
'101011100100000001000001,1,2,58.0,infeasible
'100010110000100110001001,1,2,45.0,infeasible
'101111000110100110001001,1,2,62.0,infeasible
'010100001110010100100100,1,2,38.0,infeasible
'101010110001001111100000,1,2,73.0,infeasible
'010001000001100110001100,1,2,32.0,infeasible
'101111011111100111001000,1,2,133.0,infeasible
'001111111101001110000011,1,2,89.0,infeasible
'111100110111101000011000,1,2,97.0,infeasible
'010110011100100110010100,1,2,105.0,infeasible
'101110101010011000001001,1,2,46.0,infeasible
'101110100101100010010010,1,2,40.0,infeasible
'100110010110111000011000,1,2,73.0,infeasible
'011010101100001010000110,1,2,55.0,infeasible
'101111111110010100000110,1,2,101.0,infeasible
'101110010110001011100000,1,2,65.0,infeasible
'100100000010001111100100,1,3,21.0,infeasible
'000011010101011011100100,1,3,77.0,infeasible
'010101111101011010001011,1,3,49.0,infeasible
'101101100110101000001101,1,3,26.0,infeasible
'110100110100111100010011,1,3,68.0,infeasible
'111111001110010100011100,1,3,65.0,infeasible
'010101110011100110000111,1,3,42.0,infeasible
'011001110011100100010110,1,3,45.0,infeasible
'001101100111011100010110,1,3,12.0,infeasible
'100001110001001000010101,1,3,19.0,infeasible
'100110111110101110010101,1,3,67.0,infeasible
'010011001110011100010101,1,3,43.0,infeasible
'001111010111001011100100,1,3,74.0,infeasible
'010000011100010110011100,1,3,58.0,infeasible
'000000010101100110011010,1,3,23.0,infeasible
'011011111110100010001101,1,3,98.0,infeasible
'110101100010001100011100,1,3,28.0,infeasible
'000000010000001000010011,1,3,18.0,infeasible
'011110010010100001100100,1,3,72.0,infeasible
'010000100010011110000111,1,3,21.0,infeasible
'010111000001001110011001,1,3,52.0,infeasible
'000011010011101110010101,1,3,46.0,infeasible
'011111100000101110001011,1,3,79.0,infeasible
'110011111000110010001101,1,3,82.0,infeasible
'000010010100101000001011,1,3,31.0,infeasible
'100010100000101110010101,1,3,31.0,infeasible
'000110100101000010010101,1,3,18.0,infeasible
'010111100101011010001101,1,3,47.0,infeasible
'011101010110000110011100,1,3,65.0,infeasible
'101110000001100011100100,1,3,33.0,infeasible
'000001100011100110010110,1,3,16.0,infeasible
'010111110010100110011101,1,4,44.0,infeasible
'111101001111100000001111,1,4,44.0,infeasible
'010110011001010100011101,1,4,39.0,infeasible
'011011100000100010010111,1,4,56.0,infeasible
'000110110001000110011011,1,4,19.0,infeasible
'010000000111101100011011,1,4,36.0,infeasible
'100011110100000000011101,1,4,48.0,infeasible
'010011110101010010011111,1,5,32.0,infeasible
'110001000100000100011111,1,5,42.0,infeasible
'111011000101001100011111,1,5,44.0,infeasible
'011011100100001100011111,1,5,49.0,infeasible
'111101110001100110011111,1,5,37.0,infeasible
'111111110011000000101000,1,2,107.0,feasible
'010001010001100101000010,1,2,52.0,feasible
'110101010000011010100010,1,2,38.0,feasible
'101111110110110101000010,1,2,125.0,feasible
'000000010011011000101000,1,2,25.0,feasible
'111101010001100100100010,1,2,65.0,feasible
'111110111001111110110000,1,2,147.0,feasible
'011011000110101110101000,1,2,92.0,feasible
'011101110111011000100010,1,2,71.0,feasible
'001110000100000101000110,1,3,20.0,feasible
'100110000001001010100101,1,3,16.0,feasible
'001110100011100111000110,1,3,42.0,feasible
'100000001100101110100101,1,3,29.0,feasible
'111101001111001101101000,1,3,49.0,feasible
'111100001000011111101000,1,3,42.0,feasible
'111110110001100011000110,1,3,71.0,feasible
'011110010101100001101000,1,3,71.0,feasible
'111010100001110001000110,1,3,61.0,feasible
'111100101111100011000011,1,3,62.0,feasible
'101010111001110111010100,1,3,91.0,feasible
'110011110110110011010001,1,3,101.0,feasible
'011111111001001100101001,1,3,94.0,feasible
'101111000111111111000011,1,3,82.0,feasible
'011111110001101001000101,1,3,108.0,feasible
'111010001110111001101000,1,3,79.0,feasible
'101000011110100001010010,1,3,53.0,feasible
'011111100000101110110001,1,3,106.0,feasible
'011011110100011010101100,1,3,74.0,feasible
'000011000010101010100101,1,3,41.0,feasible
'111110011101110001001100,1,3,113.0,feasible
'000001100001001100110100,1,3,15.0,feasible
'100010110011011001000110,1,3,48.0,feasible
'110111001010101110101100,1,3,58.0,feasible
'010001010110101010101001,1,3,35.0,feasible
'110111010101101101010100,1,3,90.0,feasible
'100101010111101111101000,1,3,58.0,feasible
'011001110011000111001010,1,3,46.0,feasible
'001100000011101101000011,1,3,35.0,feasible
'011111001000100011100001,1,3,87.0,feasible
'110000001110011001001100,1,3,26.0,feasible
'100110110001100111010100,1,3,54.0,feasible
'100101000101000101000110,1,3,12.0,feasible
'111010100000010010101010,1,3,41.0,feasible
'000000000101001100100101,1,3,10.0,feasible
'000111110110010000101001,1,3,53.0,feasible
'101101110011101001000101,1,3,53.0,feasible
'101100000110000001010100,1,3,12.0,feasible
'111111011011100110110100,1,3,104.0,feasible
'000100100000011101100110,1,4,19.0,feasible
'010000100100001110110011,1,4,27.0,feasible
'111101010100101000110101,1,4,59.0,feasible
'011110010110111010101110,1,4,49.0,feasible
'010000100011100110110011,1,4,26.0,feasible
'010101100101100100110011,1,4,27.0,feasible
'010111010011100000110101,1,4,43.0,feasible
'011101111001010001001011,1,4,51.0,feasible
'000001010110010111100011,1,4,24.0,feasible
'001101010011000000101110,1,4,19.0,feasible
'011101011001000101101001,1,4,53.0,feasible
'110110010010111111101001,1,4,59.0,feasible
'010001111010011100101110,1,4,23.0,feasible
'111111010110100100110101,1,4,68.0,feasible
'000001101001100101110010,1,4,19.0,feasible
'101001010111000011101001,1,4,27.0,feasible
'111010101100100001000111,1,4,40.0,feasible
'100110100001000010100111,1,4,29.0,feasible
'110011111101100111010011,1,4,69.0,feasible
'001000100010101000110101,1,4,15.0,feasible
'110010111010000001010110,1,4,48.0,feasible
'111111010101111111101100,1,4,95.0,feasible
'100010100011001000110110,1,4,27.0,feasible
'110101001101000001100011,1,4,20.0,feasible
'111011110001101010100111,1,4,55.0,feasible
'010111010110011000101101,1,4,40.0,feasible
'110110001110001011000111,1,4,24.0,feasible
'001011100010010010110011,1,4,41.0,feasible
'011111110100101010110011,1,4,78.0,feasible
'111100111011111111010011,1,4,88.0,feasible
'100101101010100101100011,1,4,15.0,feasible
'100000101001001111000111,1,4,16.0,feasible
'010010011001000111100110,1,4,54.0,feasible
'011101110101011101110001,1,4,56.0,feasible
'111110000000000000111100,1,4,52.0,feasible
'010110010001101011011001,1,4,39.0,feasible
'001011110100000011100110,1,4,67.0,feasible
'011110110001000001110010,1,4,56.0,feasible
'100101100000001000101110,1,4,23.0,feasible
'111100001100101001001101,1,4,48.0,feasible
'101000000001011110110110,1,4,21.0,feasible
'101111001110100011101100,1,4,39.0,feasible
'001001000111110101100101,1,4,30.0,feasible
'001010001011111101011001,1,4,43.0,feasible
'011011000111101101100110,1,4,53.0,feasible
'011011110111100011001101,1,4,74.0,feasible
'100110010111111001001101,1,4,61.0,feasible
'001100100011000010110110,1,4,19.0,feasible
