string,counts,energy_M,energy_Q,feasible
'011101110111100100000000,1,0,167.0,infeasible
'001010001101101100000000,1,0,100.0,infeasible
'101101111001110000000000,1,0,139.0,infeasible
'101100011011000000000000,1,0,88.0,infeasible
'011010010011011010000000,1,0,136.0,infeasible
'111011010000100111000000,1,1,154.0,infeasible
'001111010001101110000010,1,1,98.0,infeasible
'111010101010100000100000,1,1,99.0,infeasible
'011011111011111111000000,1,1,246.0,infeasible
'100101000110100101000000,1,1,59.0,infeasible
'101111110000010100100000,1,1,104.0,infeasible
'011110110100101000001000,1,1,127.0,infeasible
'101100011101110010010000,1,1,108.0,infeasible
'110000101100110100010000,1,1,80.0,infeasible
'010010111000111010100000,1,1,142.0,infeasible
'011011100000100100000100,1,1,113.0,infeasible
'110000100000000110000010,1,1,31.0,infeasible
'010111011011010000010000,1,1,123.0,infeasible
'000101100111111100000100,1,1,83.0,infeasible
'001100110101010110001000,1,1,54.0,infeasible
'110000001101100011000000,1,1,68.0,infeasible
'000011011111000000001000,1,1,103.0,infeasible
'110010010010001100010000,1,1,71.0,infeasible
'000100110010101010100000,1,1,55.0,infeasible
'101011010110111010001000,1,1,129.0,infeasible
'001100111010101010000001,1,1,90.0,infeasible
'100101011101101000000100,1,1,101.0,infeasible
'011001001100101000000010,1,1,76.0,infeasible
'010011101110111000000001,1,1,143.0,infeasible
'001101110010001010100000,1,1,51.0,infeasible
'011010000100101100100100,1,2,70.0,infeasible
'001100100110001000001100,1,2,12.0,infeasible
'101011011101100100001001,1,2,85.0,infeasible
'000010110001101111000001,1,2,81.0,infeasible
'011110001101111000100100,1,2,100.0,infeasible
'011101010000001100001100,1,2,60.0,infeasible
'110011111111110100001001,1,2,136.0,infeasible
'101101011101101111001000,1,2,98.0,infeasible
'110000110110001001100000,1,2,46.0,infeasible
'111010110011101000100100,1,2,90.0,infeasible
'000111110000111100100100,1,2,113.0,infeasible
'010101101010101101000100,1,2,74.0,infeasible
'011111011111101000100100,1,2,144.0,infeasible
'001111010000101000010100,1,2,70.0,infeasible
'110110111010110000100100,1,2,107.0,infeasible
'110010010100110110001100,1,2,83.0,infeasible
'010110010111101000010010,1,2,74.0,infeasible
'010001000011010000001001,1,2,39.0,infeasible
'100010001010101100100100,1,2,50.0,infeasible
'010110001101010011001000,1,2,52.0,infeasible
'101000110011001101000100,1,2,49.0,infeasible
